trial,k,members,weights,ndcg5,recall1,recall5,mean_booked_rank,n_queries,n_booked
68,9,"A1,A2,B1,B7,C9,D4,E10,E3,F8","0.1686,0.0843,0.1377,0.2154,0.0463,0.0507,0.0202,0.0162,0.2607",0.42590693960453424,0.2549620548744892,0.6449941622883829,5.90725335668418,19979,13704
422,9,"A11,A2,A6,B3,B6,B7,C9,D11,F13","0.2622,0.0376,0.1419,0.1515,0.0080,0.0450,0.1142,0.1498,0.0899",0.4257920283703553,0.25605662580268534,0.6457238762405137,5.908056042031523,19979,13704
427,9,"A1,B10,B6,B7,D14,D4,E1,E4,E9","0.0139,0.0593,0.1718,0.1195,0.2415,0.0355,0.0181,0.0240,0.3163",0.42575589938302216,0.25634851138353765,0.6453590192644484,5.904845300642148,19979,13704
403,10,"A5,B10,B7,C9,D11,D4,E4,I1,I3,I6","0.0016,0.1975,0.0086,0.3424,0.0723,0.1110,0.0409,0.1133,0.0717,0.0407",0.42573114058198674,0.2553998832457677,0.6465995329830706,5.911631640396965,19979,13704
262,6,"A1,A13,B10,C9,E4,F8","0.1230,0.2816,0.1584,0.2405,0.0537,0.1429",0.425701356668437,0.2546701692936369,0.6457238762405137,5.91199649737303,19979,13704
79,8,"B10,B3,B7,C9,E10,E4,E6,H2","0.0664,0.0606,0.0989,0.0721,0.0293,0.1189,0.2680,0.2858",0.42566413791993557,0.25459719789842383,0.6473292469352014,5.914550496205488,19979,13704
491,6,"B10,C11,C8,D4,E4,F13","0.0613,0.1941,0.1391,0.2054,0.1326,0.2676",0.42565342626827785,0.2548161120840631,0.6474751897256276,5.905137186223,19979,13704
227,10,"A1,A11,A5,B1,D14,E4,E7,E9,H2,I3","0.0422,0.0252,0.0695,0.0127,0.2383,0.1049,0.0255,0.1842,0.1049,0.1926",0.4256213136497478,0.2562025685931115,0.6449941622883829,5.90535610040864,19979,13704
5,10,"A13,B10,B6,C6,E10,E7,H2,I1,I3,I6","0.1100,0.1629,0.0074,0.1209,0.1943,0.2547,0.0340,0.0019,0.0633,0.0507",0.4256176694385232,0.25693228254524225,0.6443374197314653,5.9042615294804435,19979,13704
399,9,"A5,B1,B10,C6,D14,D4,E9,F2,I6","0.0704,0.1410,0.0564,0.1727,0.0817,0.1901,0.1490,0.0679,0.0709",0.4255349793584607,0.25459719789842383,0.6465995329830706,5.91199649737303,19979,13704
382,6,"A6,B10,B3,C9,E6,I6","0.0260,0.1058,0.0719,0.1089,0.3925,0.2949",0.4255248426974267,0.2558377116170461,0.6455049620548745,5.926736719206072,19979,13704
494,9,"A6,B10,B9,C8,C9,D14,E10,E3,I6","0.0735,0.0453,0.1444,0.1479,0.0704,0.1176,0.1044,0.0331,0.2634",0.4255244952867758,0.2537215411558669,0.646964389959136,5.913747810858144,19979,13704
371,6,"A1,B1,B3,C8,E9,H2","0.0194,0.3429,0.2691,0.1787,0.0480,0.1420",0.42549656008796627,0.2555458260361938,0.6434617629889083,5.921555750145942,19979,13704
478,9,"A6,B10,B3,D11,D14,E3,E4,E9,I1","0.0913,0.0493,0.1747,0.1980,0.0977,0.1939,0.1243,0.0256,0.0452",0.4254941484947799,0.2561295971978984,0.6454319906596614,5.906085814360771,19979,13704
149,7,"A11,A13,A5,B1,B3,E7,I3","0.1822,0.0509,0.0132,0.1297,0.3029,0.1502,0.1708",0.42548988087424566,0.2570052539404553,0.6434617629889083,5.919950379451255,19979,13704
254,10,"A11,A13,B1,B3,B7,C8,C9,E4,I1,I6","0.3334,0.0353,0.0203,0.0041,0.2634,0.0220,0.1320,0.0157,0.0453,0.1285",0.42546865601229666,0.2559836544074723,0.6447752481027437,5.9035318155283125,19979,13704
202,10,"A13,A2,B7,C6,D14,E1,E3,E4,F1,I3","0.2376,0.0060,0.1027,0.0238,0.0829,0.0441,0.0544,0.0063,0.0263,0.4161",0.42546405612257865,0.25634851138353765,0.6449211908931699,5.90915061295972,19979,13704
146,10,"A1,A6,B1,B3,B7,B9,C11,E4,E9,I3","0.2071,0.0325,0.0415,0.0801,0.0052,0.1153,0.0639,0.3355,0.0529,0.0661",0.4254495953642077,0.2549620548744892,0.6449941622883829,5.906961471103328,19979,13704
78,3,"A13,B10,B3","0.4764,0.0865,0.4371",0.4254477096245237,0.25605662580268534,0.6447022767075307,5.9306771745475775,19979,13704
155,9,"A11,B10,B9,C8,C9,E4,E6,F1,F8","0.1065,0.1970,0.0488,0.1643,0.0312,0.0632,0.0994,0.2089,0.0807",0.4254380037017062,0.2553998832457677,0.6449941622883829,5.911339754816112,19979,13704
82,10,"A11,B1,B3,B6,B7,D4,E3,E7,F2,I3","0.0791,0.0635,0.1273,0.1110,0.1456,0.0802,0.2662,0.0277,0.0575,0.0419",0.42542810795686187,0.2549620548744892,0.6438995913601868,5.897985989492119,19979,13704
335,9,"A13,A5,B3,E3,E4,F13,F8,I1,I6","0.0063,0.1354,0.1051,0.0281,0.0975,0.1956,0.1931,0.1080,0.1309",0.4254272085220668,0.25707822533566843,0.6455049620548745,5.899080560420315,19979,13704
377,9,"A1,A11,A5,B10,D14,E1,E10,E4,I6","0.1811,0.1106,0.0142,0.0973,0.2146,0.2661,0.0598,0.0008,0.0556",0.4254271534003795,0.25547285464098074,0.6463076474022184,5.917031523642732,19979,13704
248,10,"A1,A2,B1,B3,B6,E4,F2,F8,I1,I3","0.1357,0.0806,0.0066,0.0449,0.0535,0.1549,0.0776,0.1745,0.2095,0.0621",0.4254209024303006,0.25547285464098074,0.6454319906596614,5.897913018096906,19979,13704
438,5,"A13,B1,B10,B3,E1","0.0274,0.0892,0.3598,0.3696,0.1541",0.42541129113833165,0.258610624635143,0.6438266199649737,5.914988324576766,19979,13704
331,9,"A11,A2,A5,A6,B10,E10,E4,F2,I6","0.1523,0.0875,0.1761,0.1232,0.0985,0.0968,0.0849,0.0773,0.1033",0.4254111587618864,0.25547285464098074,0.6476211325160537,5.913674839462931,19979,13704
72,9,"B3,D4,E3,F1,F13,F8,I1,I3,I6","0.1244,0.1508,0.0077,0.3454,0.0117,0.1561,0.1394,0.0196,0.0449",0.42538337525940306,0.25758902510216,0.6449211908931699,5.914477524810274,19979,13704
397,7,"B10,C9,D11,E10,E3,E4,E7","0.1069,0.0372,0.3261,0.2908,0.0193,0.1357,0.0840",0.42537858860843863,0.2543782837127846,0.6464535901926445,5.911777583187391,19979,13704
