dropped,ndcg5_without,delta_vs_base,recall5_without,mbr_without
I3,0.42548592037892047,0.0002804019575732286,0.6455049620548745,5.909296555750146
A1,0.4254490807806097,0.0002435623592624836,0.6457238762405137,5.905720957384705
F13,0.42537103097990653,0.0001655125585592887,0.6447752481027437,5.907764156450671
B3,0.4252894083717413,8.38899503940449e-05,0.6452130764740222,5.911120840630473
B9,0.42519547267174496,-1.0045749602283216e-05,0.6446293053123175,5.913382953882079
B10,0.4251886528415364,-1.6865579810843023e-05,0.6452130764740222,5.911777583187391
C11,0.42518296624325613,-2.2552178091106434e-05,0.6447022767075307,5.914331582019848
C9,0.4251167714670937,-8.874695425353796e-05,0.645067133683596,5.910391126678342
F1,0.42507499863629594,-0.00013051978505129735,0.6439725627553999,5.909004670169294
D4,0.4249444928701567,-0.0002610255511905635,0.6442644483362522,5.913601868067717
