ensemble_id,trial,k,members,ndcg5,recall1,recall5,mean_booked_rank,n_queries,n_booked,method,weights
W1_random_subset_000,265,9.0,"B1,B10,B7,C8,D11,D14,E3,E4,I3",0.42601983484382944,0.2548161120840631,0.6473292469352014,5.900539988324577,19979,13704,W1_random_subsets,
W1_random_subset_001,373,5.0,"B1,E3,E4,E7,F13",0.42601417975047146,0.2568593111500292,0.6465995329830706,5.894483362521892,19979,13704,W1_random_subsets,
W1_random_subset_002,443,10.0,"A13,A6,B7,C9,E1,E10,E3,E4,E6,F8",0.42597921336517125,0.25722416812609455,0.6451401050788091,5.9039696438995914,19979,13704,W1_random_subsets,
W1_random_subset_003,304,4.0,"B10,B3,C9,I3",0.42591030248927036,0.25634851138353765,0.6446293053123175,5.914331582019848,19979,13704,W1_random_subsets,
W1_random_subset_004,426,10.0,"A1,B10,B3,C9,D11,E3,E4,E6,F1,I1",0.42590602398953814,0.2558377116170461,0.6463076474022184,5.906231757151197,19979,13704,W1_random_subsets,
W1_random_subset_005,395,5.0,"B3,B7,C9,D11,E3",0.4258549761282428,0.25569176882662,0.6457238762405137,5.912580268534734,19979,13704,W1_random_subsets,
W1_random_subset_006,332,9.0,"B1,B10,D14,E10,E3,F1,F13,F8,I6",0.4258304695667398,0.25459719789842383,0.6471103327495622,5.907983070636311,19979,13704,W1_random_subsets,
W1_random_subset_007,143,8.0,"A13,A6,B1,B7,E3,E4,E7,F1",0.42581569010574544,0.2552539404553415,0.646964389959136,5.89966433158202,19979,13704,W1_random_subsets,
W1_random_subset_008,239,7.0,"B1,B3,B9,C11,E3,F1,F13",0.4258073983610074,0.25503502626970226,0.6472562755399883,5.908274956217163,19979,13704,W1_random_subsets,
W1_random_subset_009,42,7.0,"B1,B3,B9,C9,D4,E4,E7",0.4257724096617107,0.25634851138353765,0.6451401050788091,5.901269702276707,19979,13704,W1_random_subsets,
W1_random_subset_010,428,10.0,"A1,A2,A5,B3,B9,E6,E7,F13,F2,F8",0.42576903369012387,0.2559836544074723,0.645942790426153,5.908056042031523,19979,13704,W1_random_subsets,
W1_random_subset_011,192,8.0,"A1,A6,B1,B6,D11,E3,E4,I3",0.4256999190983391,0.25576474022183304,0.6456509048453006,5.899737302977233,19979,13704,W1_random_subsets,
W1_random_subset_012,315,10.0,"A2,B3,B9,C9,D14,E1,E4,F1,F13,I1",0.4256944538474195,0.25678633975481613,0.6457238762405137,5.90156158785756,19979,13704,W1_random_subsets,
W1_random_subset_013,145,7.0,"A1,A13,B10,E1,E4,E6,F8",0.4256694449013511,0.25576474022183304,0.6447752481027437,5.914185639229422,19979,13704,W1_random_subsets,
W1_random_subset_014,154,10.0,"A13,B7,B9,C11,C9,D4,E3,E4,E7,I1",0.42564255982089905,0.2555458260361938,0.6447752481027437,5.897402218330415,19979,13704,W1_random_subsets,
W1_random_subset_015,301,10.0,"A1,A13,A2,A5,A6,B3,E10,E3,E7,F2",0.4256388599646251,0.25605662580268534,0.6468184471687098,5.904188558085231,19979,13704,W1_random_subsets,
W1_random_subset_016,309,6.0,"A6,B3,B9,E3,I3,I6",0.42558816335341276,0.25678633975481613,0.6464535901926445,5.904334500875657,19979,13704,W1_random_subsets,
W1_random_subset_017,185,6.0,"A11,A2,B10,B3,C6,F2",0.4255565105211576,0.2561295971978984,0.646015761821366,5.908566841798015,19979,13704,W1_random_subsets,
W1_random_subset_018,25,7.0,"A11,A6,B7,D4,E1,E4,E6",0.4255392484350683,0.256713368359603,0.6453590192644484,5.908566841798015,19979,13704,W1_random_subsets,
W1_random_subset_019,180,6.0,"B1,B9,E4,E6,F1,F13",0.4255381959981364,0.25488908347927614,0.646891418563923,5.920899007589025,19979,13704,W1_random_subsets,
W2_random_weights_000,211,,,0.4262075345594431,0.25766199649737304,0.6438995913601868,5.918272037361354,19979,13704,W2_random_weights,"0.4159,0.0738,0.0375,0.1176,0.1670,0.0052,0.0654,0.0063,0.0093,0.1018"
W2_random_weights_001,239,,,0.4261989197675585,0.2580268534734384,0.6451401050788091,5.914769410391127,19979,13704,W2_random_weights,"0.3362,0.0738,0.0376,0.2417,0.0233,0.1663,0.0188,0.0873,0.0020,0.0130"
W2_random_weights_002,244,,,0.42616048400667383,0.2581727962638646,0.6445563339171045,5.907837127845885,19979,13704,W2_random_weights,"0.2385,0.1470,0.0823,0.1578,0.0713,0.1326,0.0138,0.1191,0.0192,0.0185"
W2_random_weights_003,57,,,0.42611075951623817,0.25722416812609455,0.6451401050788091,5.907764156450671,19979,13704,W2_random_weights,"0.2546,0.0757,0.0889,0.0605,0.1400,0.1015,0.0388,0.1405,0.0834,0.0160"
W2_random_weights_004,148,,,0.4259951875558873,0.2559106830122592,0.6451401050788091,5.908420899007589,19979,13704,W2_random_weights,"0.2201,0.1108,0.2134,0.1152,0.1110,0.0279,0.1448,0.0098,0.0059,0.0410"
W2_random_weights_005,281,,,0.4259883202069632,0.25809982486865146,0.6436806771745476,5.912434325744308,19979,13704,W2_random_weights,"0.4401,0.0900,0.1134,0.0210,0.1326,0.0631,0.0096,0.0312,0.0694,0.0294"
W2_random_weights_006,167,,,0.42594776404894635,0.2565674255691769,0.6463076474022184,5.908639813193228,19979,13704,W2_random_weights,"0.2288,0.2202,0.0236,0.0622,0.1477,0.0970,0.0443,0.0406,0.1108,0.0248"
W2_random_weights_007,377,,,0.42594148696158746,0.25707822533566843,0.6448482194979568,5.916082895504962,19979,13704,W2_random_weights,"0.3190,0.0169,0.0721,0.0846,0.0818,0.0811,0.1090,0.1745,0.0389,0.0220"
W2_random_weights_008,47,,,0.4259405633418908,0.2581727962638646,0.6441185055458261,5.915645067133684,19979,13704,W2_random_weights,"0.2853,0.1437,0.0262,0.1586,0.0111,0.1455,0.0243,0.1879,0.0025,0.0150"
W2_random_weights_009,260,,,0.4259375534395778,0.25634851138353765,0.6451401050788091,5.913601868067717,19979,13704,W2_random_weights,"0.1881,0.2245,0.0173,0.0146,0.2199,0.0080,0.0136,0.2325,0.0630,0.0184"
W2_random_weights_010,306,,,0.4259343343749917,0.2559106830122592,0.6455049620548745,5.911339754816112,19979,13704,W2_random_weights,"0.3026,0.0520,0.0852,0.0374,0.2571,0.0834,0.0266,0.0620,0.0277,0.0660"
W2_random_weights_011,359,,,0.4259164747850534,0.2555458260361938,0.6458698190309399,5.911558669001751,19979,13704,W2_random_weights,"0.1320,0.3055,0.1099,0.0348,0.1664,0.0149,0.0527,0.0919,0.0559,0.0360"
W2_random_weights_012,72,,,0.42590204048125613,0.25824576765907764,0.6441185055458261,5.911120840630473,19979,13704,W2_random_weights,"0.3587,0.0059,0.0996,0.0566,0.0385,0.1703,0.1062,0.0565,0.0268,0.0810"
W2_random_weights_013,77,,,0.4258966827362196,0.25809982486865146,0.6454319906596614,5.907764156450671,19979,13704,W2_random_weights,"0.1604,0.0753,0.0892,0.0067,0.0007,0.1597,0.0431,0.2459,0.1832,0.0358"
