feature,gain,split
prop_location_score2,1708142.5023155212,3712
prop_dest_book_rate,834063.7574882507,3726
location2_rank_norm,827788.8818283081,3036
prop_click_rate,663585.4482421875,2677
price_vs_prop_mean,647512.6137580872,2971
prop_price_zscore,596481.5485954285,3045
prop_avg_position,531150.9165229797,3959
location2_rank,499460.84370803833,1820
value_score_rank,447823.3104019165,1686
price_ratio_to_hist,443631.0414085388,4113
prop_rel_rate,358749.62089920044,2170
loc2_vs_mean,337711.72585868835,3261
price_z_score,327936.250038147,2512
price_diff_from_hist,321746.04249954224,3491
price_rank,294856.8077201843,1377
price_vs_median,286476.0218696594,2278
prop_site_book_rate,272209.3614692688,3082
dest_count,263886.6867866516,2603
prop_location_score1,237343.0830078125,2352
value_score_rank_norm,230357.77699661255,2175
loc1_vs_mean,226308.75722122192,2870
promo_x_cheap,208695.28999328613,1383
price_vs_mean,206470.7853126526,2031
review_vs_mean,205981.4222831726,2393
location_total,202389.23536491394,2314
review_percentile,191955.33848571777,2288
prop_count,185141.408203125,2527
query_hotel_count,183942.6248435974,1408
log_price_z_score,183934.1630859375,1810
orig_destination_distance,180828.81045913696,2754
price_per_night_per_star,180073.37589263916,2511
prop_std_price,173169.15143203735,2465
prop_click_count,169707.70922470093,1611
query_star_mean,167825.29378128052,2231
prop_book_rate,157122.0783958435,2152
price_vs_dest_mean,156300.25873947144,2046
prop_mean_price,152774.98571777344,2012
price_per_night,152272.23820495605,2200
review_vs_dest_mean,148089.25646591187,2065
price_vs_max,147801.61978149414,2139
dest_click_rate,147212.64778518677,2204
prop_book_given_click,144360.37254333496,2265
quality_rank_avg,144156.93240737915,2128
price_per_guest,143537.555683136,2227
total_cost,140786.00768470764,2169
srch_booking_window,140334.56887054443,2104
dest_mean_price,137890.75998687744,2023
value_score,133377.99797439575,1795
price_to_min_ratio,132167.8595123291,1933
price_percentile,129834.6538696289,1518
dest_mean_star,129738.52576828003,1894
location_total_rank_norm,128459.03883361816,1962
dest_book_rate,127906.54082107544,1963
review_rank_norm,126483.70342636108,1718
dest_mean_review,122420.95666503906,1907
star_vs_mean,120075.37795257568,1606
location1_rank_norm,119400.05597305298,1912
star_percentile,115147.44492340088,1519
srch_destination_id,114742.57425308228,1882
price_per_person,113288.22003936768,1872
site_dest_book_rate,111724.56553649902,1823
star_vs_dest_mean,111554.09494781494,1707
site_book_rate,110971.06982421875,1632
prop_log_historical_price,110333.15459060669,1617
query_price_std,108034.56712341309,1670
price_per_star,107694.20003890991,1625
value_gap,105863.49320602417,1631
comp_advantage_rank_norm,105688.51974105835,1743
query_price_mean,103353.1249923706,1502
review_rank,102961.5283241272,1093
starrating_rank_norm,101458.50633239746,1454
price_vs_min,100876.63613128662,1455
comp_rate_pct_mean,97118.66191291809,1588
price_rank_norm,90258.72430419922,1232
log_distance,88599.81941223145,1379
price_per_room,86287.44065475464,1329
country_book_rate,85674.62255096436,1237
price_usd,84776.58703613281,1231
site_country_book_rate,83813.23487854004,1329
srch_query_affinity_score,82435.20351791382,1021
comp_rate_pct_max,81369.07581329346,1308
cpair_book_rate,80768.84115219116,1288
hour,80484.57273864746,1347
log_prop_count,77971.27038955688,1118
price_ratio_to_visitor_hist,77161.72860336304,870
query_affinity_exp,73072.08172225952,905
comp_rate_pct_min,70672.43998718262,1145
comp_advantage_rank,65737.85767555237,988
location_total_rank,62424.370098114014,971
price_diff_from_visitor_hist,58584.05456161499,721
star_review_product,58299.730529785156,516
location1_rank,58289.671085357666,922
distance_x_international,55678.1646156311,812
starrating_rank,54536.337673187256,760
abs_star_diff,51466.32486343384,662
visitor_hist_adr_usd,47196.15488052368,600
star_diff,44595.22145843506,579
prop_review_score,43532.869525909424,400
visitor_location_country_id,42103.80363845825,671
prop_country_id,41247.719356536865,586
site_id,39552.71210479736,591
month,36482.019187927246,603
visitor_hist_starrating,36350.87267303467,469
star_x_brand,36125.65475463867,369
srch_length_of_stay,29490.653366088867,421
dayofweek,27980.721168518066,495
log_price,27394.62456893921,430
promotion_flag,26940.82413482666,147
prop_starrating,26153.32604598999,94
total_guests,23405.92728805542,381
comp_rate_count,22913.979358673096,389
comp_inv_count,21273.199131011963,338
prop_brand_bool,20483.285049438477,178
comp_rate_sum,18593.960567474365,307
srch_adults_count,18370.68165588379,284
has_location_score2,17299.163192749023,11
srch_children_count,17293.80573272705,276
is_domestic,15498.588722229004,181
n_best_flags,11635.649211883545,148
comp_more_expensive_count,10402.945064544678,168
is_overpriced,8243.638298034668,38
comp_rate_advantage,7400.406097412109,120
is_last_minute,7269.2680015563965,84
comp_no_inv_count,6911.16911315918,125
comp_cheaper_count,6895.49019241333,119
srch_room_count,6064.156826019287,95
is_discounted,4069.304615020752,27
is_family,3758.3960037231445,62
is_long_window,3606.935214996338,55
srch_saturday_night_bool,3596.887195587158,52
is_short_window,2078.900104522705,37
is_weekend_search,2078.426887512207,32
review_is_zero,1593.6497077941895,20
is_best_location1,787.5102043151855,12
is_best_star,752.6506996154785,10
starrating_is_zero,586.0587043762207,6
is_best_review,369.31039810180664,4
has_query_affinity,324.1044006347656,6
has_historical_price,256.86389541625977,5
has_distance,203.7348976135254,4
is_cheapest,133.12399291992188,1
is_most_expensive,130.93349838256836,2
has_visitor_history,0.0,0
