feature,gain,split
prop_location_score2,1119774.4136066437,2655
location2_rank_norm,594413.1871757507,1892
prop_dest_book_rate,576271.0300273895,2644
price_vs_prop_mean,492776.16166496277,2158
prop_click_rate,428220.7208251953,1799
prop_price_zscore,414064.98614501953,2240
price_ratio_to_hist,283760.51073265076,3029
prop_avg_position,267463.05160713196,2618
location2_rank,266514.4236984253,1188
price_z_score,219205.68903541565,2081
prop_rel_rate,214659.07872962952,1401
loc2_vs_mean,211335.0809173584,2233
value_score_rank,207173.25727653503,1254
value_score_rank_norm,191801.0527896881,1678
price_diff_from_hist,191249.8311958313,2396
price_vs_median,184049.8087902069,1723
prop_site_book_rate,161056.96583366394,1986
promo_x_cheap,149619.65111541748,1168
prop_location_score1,135602.1605052948,1778
loc1_vs_mean,134966.66416740417,2163
price_vs_mean,133154.26268577576,1383
review_vs_mean,124098.10509300232,1834
dest_count,120853.42205429077,1571
location_total,117757.97746658325,1637
price_rank,111551.87769508362,1005
review_percentile,108936.11378097534,1632
log_price_z_score,106270.9454421997,1371
prop_click_count,97957.16676712036,1211
prop_count,94586.92212867737,1637
prop_std_price,93073.66943740845,1661
price_percentile,88326.79874229431,1233
prop_mean_price,84290.1966457367,1405
query_star_mean,82077.7869796753,1408
orig_destination_distance,81113.90785980225,1674
price_vs_dest_mean,80601.21288490295,1373
price_per_night_per_star,79919.04956245422,1402
prop_book_rate,79041.50232505798,1336
price_per_night,74882.73768043518,1382
star_vs_mean,74457.77540969849,1236
review_vs_dest_mean,74324.87179756165,1370
review_rank_norm,73150.5169506073,1243
value_score,72591.65183830261,1227
quality_rank_avg,72329.79635810852,1433
price_per_guest,71679.83058738708,1460
prop_book_given_click,70853.30656433105,1503
price_vs_max,69291.55160140991,1262
srch_booking_window,66530.09007644653,1293
total_cost,65569.44310951233,1367
dest_book_rate,65255.5514087677,1256
dest_mean_price,65150.676456451416,1220
star_percentile,64659.979946136475,1084
location_total_rank_norm,64578.05332374573,1290
dest_mean_star,63962.862215042114,1144
price_to_min_ratio,62988.688817977905,1218
dest_click_rate,62810.01532173157,1254
site_book_rate,62209.643728256226,1194
prop_log_historical_price,57694.42408370972,1121
dest_mean_review,56768.09080886841,1156
price_ratio_to_visitor_hist,55626.35285949707,857
starrating_rank_norm,54927.76244544983,976
price_rank_norm,54912.21192359924,913
location1_rank_norm,54723.51556587219,1125
query_price_std,54382.15326881409,1084
star_vs_dest_mean,53274.55051231384,1079
price_per_person,53128.00026512146,1152
value_gap,51786.022161483765,1075
site_dest_book_rate,51032.89930343628,1103
price_per_star,50102.85785102844,1046
query_price_mean,49829.73530769348,949
comp_advantage_rank_norm,49376.63737487793,1074
review_rank,47834.8128452301,748
country_book_rate,47250.08364677429,929
srch_destination_id,47193.849309921265,1069
comp_rate_pct_mean,46948.97972679138,1009
srch_query_affinity_score,45051.20055580139,788
site_country_book_rate,44404.02293205261,957
price_vs_min,43444.75070953369,884
comp_rate_pct_max,41643.71525764465,909
price_per_room,41066.82215309143,842
price_diff_from_visitor_hist,39816.03575897217,686
cpair_book_rate,39624.36848258972,864
price_usd,39577.81363105774,794
query_affinity_exp,39476.44109916687,698
log_prop_count,39331.92886161804,731
log_distance,37923.98106956482,798
query_hotel_count,34741.757289886475,647
comp_advantage_rank,34404.35838890076,709
comp_rate_pct_min,33305.79803085327,717
hour,32043.74962234497,728
prop_review_score,32023.80410194397,353
location1_rank,29388.56392288208,593
star_review_product,29196.269704818726,418
location_total_rank,28894.139352798462,604
visitor_hist_adr_usd,28043.487607955933,504
abs_star_diff,27384.69970703125,513
star_diff,26333.593183517456,497
star_x_brand,25332.605140686035,339
prop_country_id,24844.695512771606,479
starrating_rank,24730.141717910767,456
distance_x_international,24279.0479927063,506
visitor_location_country_id,23647.342430114746,527
site_id,23408.540561676025,491
visitor_hist_starrating,21539.78646850586,401
log_price,16468.836235046387,367
month,16296.378608703613,367
promotion_flag,16109.725568771362,110
prop_brand_bool,12952.19881439209,153
dayofweek,12330.874988555908,300
prop_starrating,12162.315683364868,89
srch_adults_count,11379.445989608765,219
srch_length_of_stay,11230.334188461304,239
comp_rate_count,11017.058294296265,253
total_guests,10850.132997512817,239
comp_inv_count,9851.76490020752,199
comp_rate_sum,9769.967496871948,208
srch_children_count,9346.566204071045,182
has_location_score2,7547.382873535156,19
is_overpriced,6642.16322517395,49
n_best_flags,5945.069118499756,107
is_domestic,5237.641885757446,94
comp_more_expensive_count,4990.4973068237305,107
is_last_minute,4241.795593261719,65
srch_room_count,3387.9447021484375,69
comp_rate_advantage,3312.693407058716,70
srch_saturday_night_bool,2990.344596862793,68
comp_cheaper_count,2939.7189083099365,69
comp_no_inv_count,2780.4735069274902,73
is_family,1636.0351085662842,33
is_long_window,1397.696201324463,25
is_discounted,1323.5829029083252,16
review_is_zero,1181.2181015014648,19
is_weekend_search,885.1684093475342,20
is_short_window,815.120397567749,21
is_best_star,344.8787956237793,7
starrating_is_zero,332.5350036621094,2
has_query_affinity,315.6004943847656,7
is_best_location1,249.36909866333008,5
has_distance,185.34929656982422,4
is_best_review,179.3130989074707,4
has_historical_price,126.17190170288086,3
is_cheapest,88.35189819335938,1
is_most_expensive,34.039100646972656,1
has_visitor_history,0.0,0
