feature,gain,split
prop_location_score2,1628298.033756256,4114
prop_dest_book_rate,898758.9099349976,3925
location2_rank,773430.6010856628,2084
prop_click_rate,753428.6700057983,3126
prop_price_zscore,612557.8720932007,3506
location2_rank_norm,597990.4685573578,3149
price_vs_prop_mean,594378.907245636,3127
prop_avg_position,530314.1987552643,4297
price_ratio_to_hist,443236.0966949463,4256
value_score_rank,428921.7330169678,1709
loc2_vs_mean,401544.91554641724,3551
price_z_score,341018.3337726593,2759
price_diff_from_hist,335297.32232284546,3544
prop_rel_rate,287936.6101512909,2251
dest_count,285050.00200653076,2960
price_vs_median,281167.93775177,2383
value_score_rank_norm,275662.6978816986,2421
prop_location_score1,262902.1683807373,2416
prop_site_book_rate,252585.1233215332,3157
price_rank,247281.12004470825,1348
loc1_vs_mean,244159.04399490356,3304
price_vs_mean,242555.67596244812,2206
promo_x_cheap,235929.72980308533,1385
prop_book_rate,208459.25464630127,2337
orig_destination_distance,207628.55632019043,3327
review_vs_mean,195649.92540550232,2455
prop_count,188863.30479049683,2772
location_total,187426.3815422058,2564
prop_mean_price,186384.67657089233,2354
query_hotel_count,186112.31296920776,1436
prop_std_price,183748.58948516846,2584
price_vs_dest_mean,181187.8113670349,2552
price_per_night_per_star,179258.06833839417,2604
query_star_mean,175525.9157371521,2369
review_percentile,174928.66040420532,2257
price_per_night,169553.99180412292,2469
price_percentile,167709.85438919067,1691
log_price_z_score,165389.09578704834,1863
review_rank_norm,155081.9411907196,1995
srch_booking_window,152383.04280853271,2300
prop_click_count,151871.6319770813,1635
review_vs_dest_mean,151554.69478225708,2222
dest_click_rate,150551.73377037048,2353
price_vs_max,149097.21655845642,2281
quality_rank_avg,147955.73125076294,2304
dest_book_rate,147114.62237548828,2334
prop_book_given_click,145420.18493270874,2370
price_per_guest,144750.6223602295,2331
price_to_min_ratio,144061.86114120483,2178
dest_mean_price,137977.0410003662,2063
total_cost,136829.13290405273,2223
dest_mean_star,134295.65479660034,1962
dest_mean_review,130733.9990940094,2070
query_price_std,128909.52243041992,2027
value_score,128579.33280944824,1765
star_vs_mean,127361.16150093079,1736
star_percentile,125079.70767974854,1668
location_total_rank_norm,123376.00772476196,1998
location1_rank_norm,123247.14295196533,1973
site_dest_book_rate,121304.38775062561,1983
site_book_rate,118217.67106056213,1809
price_per_star,117846.61139297485,1808
star_vs_dest_mean,117515.91578674316,1814
srch_destination_id,116894.20412445068,1991
comp_advantage_rank_norm,116662.84002304077,1958
price_per_person,112330.60444641113,1887
query_price_mean,112015.98232650757,1695
prop_log_historical_price,111517.10023880005,1738
review_rank,110974.28467559814,1240
price_vs_min,110545.98526000977,1674
value_gap,108314.83647727966,1714
starrating_rank_norm,106453.14129066467,1664
price_rank_norm,100666.24522781372,1424
log_prop_count,99685.64875984192,1316
srch_query_affinity_score,98255.75111579895,1229
price_per_room,93671.68703079224,1467
comp_rate_pct_mean,90425.8256072998,1481
site_country_book_rate,88399.94276809692,1469
comp_rate_pct_max,86970.14476966858,1443
price_usd,86871.17030334473,1289
country_book_rate,86682.48521995544,1300
cpair_book_rate,86666.36142349243,1411
log_distance,86167.87009429932,1348
hour,83317.06912231445,1437
comp_rate_pct_min,82460.97019577026,1401
price_ratio_to_visitor_hist,72708.34953308105,870
comp_advantage_rank,67976.25332260132,1070
location1_rank,65643.85689163208,1018
location_total_rank,65273.97904205322,1027
starrating_rank,64425.31744766235,825
query_affinity_exp,63311.37724685669,785
price_diff_from_visitor_hist,62797.65881347656,750
star_review_product,56305.71357345581,616
abs_star_diff,51518.410373687744,674
visitor_hist_adr_usd,50414.76893234253,649
distance_x_international,47354.55230331421,745
prop_country_id,45250.42169570923,649
prop_review_score,44799.795391082764,423
visitor_location_country_id,43629.54249191284,688
month,42733.22610092163,751
star_diff,39903.84633255005,537
site_id,38863.4660987854,625
visitor_hist_starrating,38369.37859725952,538
star_x_brand,34843.844593048096,366
log_price,31509.06227493286,478
srch_length_of_stay,30292.66526031494,435
dayofweek,30181.340614318848,543
promotion_flag,27186.695205688477,172
prop_brand_bool,25319.341720581055,205
comp_inv_count,24581.75750350952,396
total_guests,24470.36894607544,396
prop_starrating,23332.557903289795,88
comp_rate_count,23061.483474731445,393
comp_rate_sum,22516.728145599365,383
srch_children_count,20098.996559143066,318
is_domestic,19736.533813476562,235
srch_adults_count,18189.825187683105,290
has_location_score2,16758.881267547607,17
is_discounted,14453.594982147217,36
n_best_flags,11410.251586914062,158
is_overpriced,10396.765842437744,63
comp_more_expensive_count,9313.665622711182,163
comp_rate_advantage,8673.36264038086,141
comp_no_inv_count,8667.75330734253,159
srch_room_count,7298.276599884033,118
comp_cheaper_count,7117.221374511719,132
is_last_minute,5786.1224937438965,79
is_family,3161.4617042541504,49
srch_saturday_night_bool,2906.9233932495117,42
is_long_window,2474.3550910949707,43
review_is_zero,2328.044101715088,30
is_short_window,1848.7379112243652,33
is_weekend_search,1797.8985977172852,30
is_best_location1,876.5677032470703,15
is_best_star,828.5458030700684,12
starrating_is_zero,721.1810150146484,3
has_query_affinity,668.0443000793457,10
is_best_review,549.6586990356445,7
is_cheapest,423.9544982910156,5
has_distance,208.18579864501953,4
has_historical_price,198.10850143432617,4
is_most_expensive,51.67539978027344,1
has_visitor_history,0.0,0
