feature,gain,split
prop_location_score2,1776205.6707077026,3647
prop_dest_book_rate,843810.1425666809,3179
prop_click_rate,709615.8050575256,2697
location2_rank_norm,660858.2086677551,2416
price_vs_prop_mean,649169.9808616638,2915
prop_price_zscore,602369.3126487732,3018
location2_rank,562302.3703422546,1817
prop_avg_position,553580.677406311,3937
price_ratio_to_hist,462579.41011428833,3892
value_score_rank,442929.704120636,1682
loc2_vs_mean,309037.3311958313,2916
price_diff_from_hist,306525.2395591736,3330
price_vs_median,292697.61194229126,2143
prop_rel_rate,275589.4326324463,2042
dest_count,274873.07845687866,2605
prop_location_score1,271102.65561294556,2485
price_z_score,261292.66802215576,2298
price_rank,258700.29705047607,1251
price_vs_mean,246726.6870956421,1850
value_score_rank_norm,246035.0124015808,1990
prop_site_book_rate,240650.57036972046,2667
promo_x_cheap,231143.95839309692,1365
loc1_vs_mean,227115.90621185303,2787
orig_destination_distance,223405.97829437256,3186
prop_count,208714.6399307251,2675
log_price_z_score,202295.33114242554,1907
prop_book_rate,201519.9633178711,1985
review_percentile,194386.34900665283,2153
review_vs_mean,189566.74813842773,2210
prop_click_count,184581.14041137695,1671
prop_std_price,177543.90015792847,2406
location_total,171571.6350631714,2113
price_percentile,169567.12002563477,1688
prop_mean_price,169027.84763336182,2094
price_per_night,168049.15816116333,2237
query_star_mean,167117.98501205444,2152
review_vs_dest_mean,160491.7713508606,2092
srch_booking_window,157930.4380722046,2204
query_hotel_count,157294.32092285156,1219
dest_click_rate,150289.62856292725,2200
price_vs_max,149991.05094909668,2003
price_per_night_per_star,149301.55757141113,2032
price_per_guest,148492.48431396484,2186
price_vs_dest_mean,146341.96074295044,2072
total_cost,143865.88595199585,2175
dest_mean_star,142619.44189834595,1861
value_score,142131.01579284668,1757
dest_mean_review,136512.47092819214,1982
price_to_min_ratio,135299.6636619568,1958
prop_book_given_click,134345.67610549927,1946
quality_rank_avg,133400.34252166748,1986
dest_book_rate,132634.7739906311,1893
comp_advantage_rank_norm,128354.65406036377,1986
star_vs_mean,126491.12525558472,1551
location_total_rank_norm,125849.44357681274,1830
site_book_rate,125019.04356384277,1835
price_per_star,122352.0634841919,1833
location1_rank_norm,122043.29065322876,1781
dest_mean_price,121970.39316177368,1669
star_vs_dest_mean,121954.78448867798,1615
site_dest_book_rate,120623.85808181763,1823
review_rank,120184.76941680908,1121
star_percentile,120086.71393585205,1545
review_rank_norm,118626.74357223511,1559
prop_log_historical_price,117712.96412277222,1659
price_per_person,117647.27188110352,1787
starrating_rank_norm,113468.56861877441,1511
query_price_std,112743.40314102173,1632
query_price_mean,108240.52449417114,1515
value_gap,107725.481716156,1625
price_vs_min,103253.67079162598,1330
srch_destination_id,95256.94485473633,1441
