feature,gain,split
prop_location_score2,1763324.94383049,5223
prop_dest_book_rate,902218.3785648346,5436
location2_rank_norm,895087.8361492157,4472
prop_click_rate,723213.9435653687,3888
price_vs_prop_mean,679985.876909256,4091
prop_price_zscore,646688.3717556,4251
prop_avg_position,575195.5403823853,5818
location2_rank,517969.7750263214,2561
price_ratio_to_hist,507935.1730937958,5773
value_score_rank,460031.2621421814,2308
prop_rel_rate,428974.3644618988,3433
loc2_vs_mean,399259.88743019104,4638
price_diff_from_hist,389441.0278110504,4876
price_z_score,357997.86093711853,3429
dest_count,339311.16068840027,3989
prop_site_book_rate,337958.86939811707,4558
price_vs_median,336970.52668762207,3136
price_rank,306279.42327308655,1701
loc1_vs_mean,286454.0214328766,4228
prop_location_score1,279258.9229507446,3258
value_score_rank_norm,278273.9443740845,3301
review_vs_mean,263576.8268318176,3636
orig_destination_distance,248538.4137325287,4363
price_vs_mean,248075.14270210266,2913
prop_count,240022.73684692383,3786
location_total,239354.5772895813,3265
review_percentile,238980.0800895691,3383
promo_x_cheap,227530.21327781677,1864
prop_std_price,226523.88591003418,3657
log_price_z_score,221467.43793678284,2599
price_vs_dest_mean,215502.49827194214,3235
price_per_night_per_star,211968.3879184723,3408
query_star_mean,211485.4947090149,3216
query_hotel_count,207312.27277565002,1879
price_per_night,205288.34132957458,3307
prop_book_rate,198429.13039779663,3148
prop_mean_price,197071.71445274353,3042
price_vs_max,196468.42027664185,3297
total_cost,195387.49493026733,3301
price_per_guest,194114.28942871094,3408
dest_click_rate,193637.64429855347,3195
prop_click_count,189187.04442977905,2090
review_vs_dest_mean,188585.21436691284,3022
prop_book_given_click,187453.6133556366,3275
dest_mean_price,185144.51008987427,3029
quality_rank_avg,184095.0587387085,3158
srch_booking_window,182557.79479408264,3052
dest_book_rate,182194.69270896912,3142
price_to_min_ratio,180053.56611824036,2998
dest_mean_star,173231.26745224,2844
location_total_rank_norm,172777.56526756287,2984
value_score,170012.36187934875,2657
srch_destination_id,168793.4210548401,3092
price_percentile,168462.43600463867,2269
query_price_std,167541.48289489746,2899
dest_mean_review,166653.82754325867,2896
review_rank_norm,165659.81698417664,2683
site_dest_book_rate,162490.6714630127,2957
location1_rank_norm,162223.02549171448,2868
price_per_person,158645.8885822296,2940
price_per_star,155167.2352142334,2642
star_vs_mean,153706.31132888794,2381
comp_advantage_rank_norm,150506.80331802368,2808
prop_log_historical_price,149076.8320159912,2463
query_price_mean,146633.15428352356,2437
star_percentile,146592.0108642578,2231
value_gap,144589.44884681702,2524
starrating_rank_norm,139855.07668876648,2207
star_vs_dest_mean,139731.89411354065,2383
site_book_rate,139710.8399105072,2308
price_vs_min,139568.17671012878,2284
comp_rate_pct_mean,128204.77696228027,2345
review_rank,124295.63475990295,1573
price_rank_norm,119714.45633125305,1896
price_per_room,116839.71459960938,2079
country_book_rate,115987.82528305054,1833
site_country_book_rate,115661.08940887451,2014
hour,113394.58455276489,2103
cpair_book_rate,112906.66576766968,1992
log_distance,110629.526845932,1900
price_usd,109852.3552684784,1822
comp_rate_pct_max,107982.62246894836,1949
comp_rate_pct_min,97793.28100585938,1794
log_prop_count,96243.82190322876,1570
srch_query_affinity_score,93916.66108131409,1279
comp_advantage_rank,92703.6609840393,1547
price_ratio_to_visitor_hist,85673.61077690125,1101
location_total_rank,85368.99716186523,1511
query_affinity_exp,83703.09363174438,1192
location1_rank,77669.06562614441,1359
starrating_rank,75824.05264282227,1166
star_review_product,69576.14226150513,711
distance_x_international,67985.44026947021,1093
price_diff_from_visitor_hist,63101.812969207764,860
visitor_location_country_id,58848.34878349304,1016
visitor_hist_adr_usd,58738.76996231079,813
abs_star_diff,57745.417667388916,801
month,54513.33543586731,997
prop_country_id,52885.15634727478,830
site_id,51000.150674819946,860
prop_review_score,47028.2120552063,485
star_diff,44952.68846321106,680
dayofweek,44202.18579864502,883
star_x_brand,42761.83988380432,529
visitor_hist_starrating,39091.81195259094,576
log_price,36261.247301101685,668
comp_inv_count,34256.55610847473,598
total_guests,31271.819360733032,549
srch_length_of_stay,31062.833862304688,517
comp_rate_count,30241.48247528076,583
promotion_flag,26424.935413360596,160
comp_rate_sum,25251.801637649536,458
srch_adults_count,24539.4172039032,421
prop_brand_bool,23796.107982635498,225
srch_children_count,23677.867923736572,414
prop_starrating,21528.14094543457,123
is_domestic,18934.82750892639,231
n_best_flags,16345.422283172607,243
has_location_score2,12850.455684661865,14
comp_more_expensive_count,11634.530099868774,205
comp_no_inv_count,10927.417013168335,217
is_overpriced,10275.745306015015,54
comp_rate_advantage,10126.506568908691,182
is_last_minute,8621.032146453857,116
comp_cheaper_count,8428.621297836304,159
srch_room_count,7482.983913421631,119
is_family,4221.080295562744,71
is_discounted,3762.4648513793945,30
srch_saturday_night_bool,3145.779312133789,51
is_long_window,2629.796588897705,39
is_short_window,2505.586296081543,43
is_weekend_search,1970.705909729004,34
is_best_location1,1110.4770069122314,19
review_is_zero,1087.9592170715332,12
starrating_is_zero,909.1538047790527,8
is_best_star,907.0179901123047,10
has_query_affinity,611.7394981384277,9
has_distance,515.096996307373,9
has_historical_price,483.0933952331543,8
is_best_review,452.7653045654297,8
is_cheapest,36.858699798583984,1
is_most_expensive,36.61640167236328,1
has_visitor_history,0.0,0
