feature,gain,split
prop_location_score2,558225.9950037003,2891
prop_dest_book_rate,336946.45706272125,2764
location2_rank_norm,320585.25733947754,2232
price_vs_prop_mean,255354.3066072464,2415
prop_price_zscore,224843.60409545898,2467
prop_click_rate,207482.27322292328,2111
prop_avg_position,138890.51528644562,2605
price_ratio_to_hist,134679.51993846893,3226
loc2_vs_mean,133762.42756557465,2590
location2_rank,130309.44952964783,1183
value_score_rank_norm,119034.40078258514,1901
price_z_score,110404.15361499786,2290
price_diff_from_hist,101851.36906814575,2794
prop_rel_rate,101470.84073448181,1649
value_score_rank,99040.0307006836,1297
price_vs_median,95578.75955200195,2035
prop_location_score1,82202.91584777832,1924
prop_site_book_rate,81102.29550266266,2250
loc1_vs_mean,77758.74678230286,2384
promo_x_cheap,77131.17840194702,1282
review_vs_mean,66312.72724723816,2178
location_total,63951.67449760437,1798
price_vs_mean,63033.07084751129,1630
review_percentile,54563.74715423584,1815
price_vs_dest_mean,54090.67300701141,1894
log_price_z_score,51442.93836593628,1551
price_vs_max,49999.24491882324,1890
prop_count,49929.36705112457,1884
prop_std_price,49777.39461135864,1904
price_percentile,49517.459297180176,1397
prop_mean_price,48236.998520851135,1626
price_rank,48133.74185180664,1031
star_vs_mean,45870.94551563263,1618
price_per_guest,44923.77330970764,1965
price_per_night,43112.325717926025,1782
orig_destination_distance,43019.008321762085,1938
price_per_night_per_star,42582.56510925293,1602
review_vs_dest_mean,42271.84576702118,1714
prop_book_rate,42051.607513427734,1438
star_percentile,41681.31896495819,1352
prop_click_count,40709.76584529877,1217
review_rank_norm,40043.73942184448,1462
total_cost,38470.974164009094,1676
prop_book_given_click,38077.127182006836,1662
value_score,36612.85888385773,1448
quality_rank_avg,34523.416223526,1486
prop_log_historical_price,33706.20896911621,1366
country_book_rate,32814.921518325806,1291
price_to_min_ratio,32785.606828689575,1401
site_country_book_rate,31803.804022789,1442
location_total_rank_norm,31748.05817604065,1376
star_vs_dest_mean,31638.152174949646,1386
starrating_rank_norm,30428.3650932312,1099
price_per_person,29156.74770259857,1367
price_ratio_to_visitor_hist,28838.24700641632,951
location1_rank_norm,28508.476322174072,1250
price_per_star,27584.13973426819,1174
price_vs_min,27434.157696723938,1117
price_rank_norm,27171.85781478882,1031
comp_advantage_rank_norm,27051.177577018738,1283
value_gap,26293.154004096985,1175
price_usd,26109.69932460785,1007
price_per_room,24767.638397216797,1090
comp_rate_pct_mean,24668.83601665497,1095
cpair_book_rate,23768.59400844574,1110
review_rank,23330.385717391968,772
log_prop_count,21422.40172290802,822
log_distance,20600.86081123352,956
price_diff_from_visitor_hist,20219.244072914124,763
comp_rate_pct_max,19042.013335227966,890
location1_rank,17826.601806640625,722
srch_query_affinity_score,17801.216214179993,687
query_affinity_exp,16829.035727500916,639
comp_advantage_rank,16199.486827850342,703
star_review_product,16138.42901134491,503
location_total_rank,15771.572218894958,675
comp_rate_pct_min,15328.560111045837,726
prop_country_id,15050.178807258606,666
distance_x_international,14685.299942016602,671
abs_star_diff,14141.427890777588,561
prop_review_score,13087.705981254578,361
star_x_brand,13036.063269615173,367
star_diff,12785.925110816956,518
starrating_rank,11579.827708244324,461
log_price,8225.008006095886,375
promotion_flag,7241.709701538086,131
prop_starrating,7088.395134925842,138
comp_rate_count,5802.753101348877,270
prop_brand_bool,5186.894396781921,154
comp_inv_count,5158.546901702881,241
is_overpriced,4424.642719268799,49
comp_rate_sum,4298.092286109924,187
has_location_score2,3810.344422340393,16
is_domestic,2768.665404319763,95
n_best_flags,2639.219494819641,112
comp_more_expensive_count,2458.3824911117554,108
comp_no_inv_count,1658.2276935577393,85
comp_rate_advantage,1446.2945022583008,63
comp_cheaper_count,1055.2941007614136,54
is_discounted,852.8737058639526,20
review_is_zero,365.6864995956421,12
is_best_location1,328.1873970031738,13
starrating_is_zero,275.19559478759766,7
is_best_star,267.54429721832275,11
is_best_review,206.17799854278564,11
has_query_affinity,205.86259746551514,8
is_cheapest,68.74350166320801,2
has_historical_price,56.678199768066406,2
is_most_expensive,23.242599487304688,1
visitor_hist_starrating,0.0,0
visitor_location_country_id,0.0,0
srch_length_of_stay,0.0,0
srch_destination_id,0.0,0
site_id,0.0,0
visitor_hist_adr_usd,0.0,0
query_hotel_count,0.0,0
srch_booking_window,0.0,0
srch_room_count,0.0,0
is_weekend_search,0.0,0
srch_adults_count,0.0,0
srch_children_count,0.0,0
srch_saturday_night_bool,0.0,0
month,0.0,0
hour,0.0,0
has_distance,0.0,0
dayofweek,0.0,0
has_visitor_history,0.0,0
is_family,0.0,0
is_long_window,0.0,0
is_short_window,0.0,0
is_last_minute,0.0,0
query_price_mean,0.0,0
query_star_mean,0.0,0
query_price_std,0.0,0
total_guests,0.0,0
site_dest_book_rate,0.0,0
site_book_rate,0.0,0
dest_book_rate,0.0,0
dest_click_rate,0.0,0
dest_count,0.0,0
dest_mean_price,0.0,0
dest_mean_star,0.0,0
dest_mean_review,0.0,0
