feature,gain,split
value_score_rank,14486505.968772888,2631
location2_rank_norm,14124575.62299347,4774
price_rank,10437112.16557312,1906
prop_click_rate,7915910.32686615,4550
prop_dest_book_rate,7002232.979187012,5454
location2_rank,6540776.753372192,3433
prop_location_score2,5194779.104774475,5745
prop_avg_position,5141489.132827759,5791
price_ratio_to_hist,3415319.909889221,5785
prop_rel_rate,3152935.8137054443,3689
price_diff_from_hist,3115665.0961380005,5272
price_vs_prop_mean,2843468.437133789,3930
prop_price_zscore,2686112.659286499,4617
review_rank,2625683.52633667,2044
loc2_vs_mean,2585542.074317932,5133
review_vs_mean,2535599.853538513,3908
price_z_score,2497467.030319214,3301
query_hotel_count,2444340.75138855,2000
dest_count,2415988.5033569336,4147
loc1_vs_mean,2382746.856376648,4486
orig_destination_distance,2342581.381088257,5450
price_vs_median,2295437.33404541,3269
query_star_mean,2230247.960029602,4148
price_vs_mean,2225835.040458679,3177
prop_mean_price,2132092.708114624,3434
prop_site_book_rate,2098646.7016067505,4827
price_vs_dest_mean,2015397.3368682861,4014
review_percentile,1994521.3292312622,3689
location_total,1979994.8635101318,3421
prop_location_score1,1964486.8791656494,2667
dest_book_rate,1862317.2709274292,3969
dest_mean_price,1855518.7866210938,4088
star_percentile,1838083.7965545654,2736
price_vs_max,1828173.1892547607,3961
price_per_night_per_star,1811828.433189392,3648
prop_count,1792890.9415054321,3941
dest_mean_star,1748433.314086914,3567
prop_std_price,1731797.5082626343,3922
value_score_rank_norm,1731459.8870773315,3436
dest_click_rate,1712020.7009658813,3916
price_per_night,1708514.978340149,3731
dest_mean_review,1638209.237197876,3731
srch_booking_window,1612119.2707138062,3630
query_price_mean,1529690.1098327637,3290
price_to_min_ratio,1516368.218673706,3455
srch_destination_id,1515861.5178070068,3944
query_price_std,1508351.3954696655,3585
log_price_z_score,1506917.3930511475,2554
review_vs_dest_mean,1506683.8053588867,3348
price_per_guest,1484378.8222351074,3593
total_cost,1482175.1561431885,3501
site_dest_book_rate,1455259.542564392,3392
quality_rank_avg,1447293.3071212769,3431
star_vs_dest_mean,1419118.5719833374,3185
prop_book_rate,1413303.816230774,3369
site_book_rate,1343807.7911758423,2804
review_rank_norm,1332786.210067749,3004
location1_rank_norm,1328479.7081375122,3309
prop_book_given_click,1307661.8805389404,3326
star_vs_mean,1288765.4107208252,2737
price_per_person,1283657.244796753,3312
promo_x_cheap,1279281.4505615234,1268
starrating_rank_norm,1237484.251838684,2579
value_gap,1234178.246269226,2944
comp_advantage_rank_norm,1228301.528717041,3261
prop_log_historical_price,1218878.1024093628,2685
location_total_rank_norm,1201108.0501480103,3101
value_score,1181537.9939117432,2784
prop_click_count,1141750.0402145386,1847
price_per_star,1109219.5426559448,2600
hour,1085091.7767562866,2735
site_country_book_rate,1036506.4825668335,2495
cpair_book_rate,1031444.7995910645,2647
price_per_room,1031178.5695800781,2319
country_book_rate,1021576.4815673828,2388
price_percentile,1001148.130065918,2102
price_vs_min,995246.3492279053,2534
log_distance,992938.0433273315,2308
price_rank_norm,992274.1567382812,2008
location_total_rank,881077.3941574097,1722
comp_rate_pct_mean,871829.5493469238,2266
price_usd,864157.0434875488,1955
starrating_rank,772575.0914840698,1545
comp_advantage_rank,734437.9446640015,1689
comp_rate_pct_max,724404.2906570435,1874
log_prop_count,712481.6993103027,1546
srch_query_affinity_score,706138.448425293,1391
comp_rate_pct_min,681548.2432632446,1836
price_ratio_to_visitor_hist,648561.0342102051,917
location1_rank,625315.3760528564,1610
distance_x_international,573110.1207351685,1366
month,547069.0131378174,1341
prop_country_id,511495.6661682129,1208
prop_starrating,507536.3341293335,105
query_affinity_exp,507447.31968688965,1057
visitor_location_country_id,501574.6752471924,1235
site_id,463025.4189682007,1096
price_diff_from_visitor_hist,454089.3231277466,740
visitor_hist_adr_usd,440897.3254623413,835
star_review_product,419823.7996292114,714
dayofweek,412267.01864624023,1198
abs_star_diff,410187.9028778076,664
visitor_hist_starrating,353634.94689178467,681
star_diff,350968.3371734619,654
srch_length_of_stay,346532.37648010254,653
total_guests,309858.3168182373,713
comp_inv_count,305772.162109375,724
log_price,287923.33419799805,746
comp_rate_count,287612.98040008545,659
srch_adults_count,282080.49546051025,589
prop_review_score,258541.83225250244,459
srch_children_count,230053.85858917236,533
star_x_brand,220755.5842666626,423
comp_rate_sum,182075.05289459229,443
prop_brand_bool,146411.18424224854,228
promotion_flag,119400.63565063477,166
comp_no_inv_count,111594.15700531006,293
srch_saturday_night_bool,93356.80689239502,262
comp_more_expensive_count,88284.9056854248,207
is_domestic,82994.34987640381,160
n_best_flags,77803.47761535645,213
comp_rate_advantage,67920.99885559082,177
comp_cheaper_count,67902.0352935791,168
srch_room_count,62812.192642211914,170
is_overpriced,60332.896255493164,53
is_short_window,58726.99813079834,176
is_last_minute,53862.560066223145,110
is_family,53158.06089782715,128
is_long_window,43277.843841552734,92
is_weekend_search,36916.21389007568,100
is_discounted,26598.407318115234,34
has_query_affinity,19250.7869720459,30
review_is_zero,12401.103958129883,21
is_best_star,10202.474014282227,25
is_best_location1,8324.963218688965,32
is_best_review,6166.398956298828,16
starrating_is_zero,5478.821060180664,8
has_location_score2,5292.721054077148,13
has_historical_price,4711.98600769043,13
has_distance,3871.684944152832,13
is_most_expensive,1783.0879821777344,6
is_cheapest,1026.8159790039062,3
has_visitor_history,0.0,0
