feature,gain,split
prop_location_score2,1803399.4568367004,2423
prop_click_rate,698118.3996353149,1620
location2_rank_norm,676105.0361022949,1558
price_vs_prop_mean,622252.3375740051,1720
prop_price_zscore,517513.79515838623,1711
prop_avg_position,512423.96742248535,2044
location2_rank,482187.0648612976,993
prop_rel_rate,457427.93340682983,1243
value_score_rank,450239.66524124146,850
price_ratio_to_hist,334025.9840888977,2053
loc2_vs_mean,289847.0041465759,1614
dest_count,265157.60149765015,1779
price_z_score,257000.1865386963,1526
price_rank,237541.1683998108,875
prop_location_score1,223105.92094039917,1390
query_hotel_count,218320.04035949707,1144
price_diff_from_hist,203704.22184371948,1582
price_vs_median,196310.87970352173,1190
promo_x_cheap,179567.34078598022,841
value_score_rank_norm,171800.09382247925,961
price_vs_mean,171165.63638305664,891
prop_click_count,164458.16970825195,945
log_price_z_score,143760.0306777954,1012
loc1_vs_mean,143564.68452072144,1459
prop_book_rate,140621.5346069336,1022
review_percentile,125536.2530632019,1031
location_total,125520.195728302,1166
review_vs_mean,121421.77644729614,1108
prop_count,115463.85961151123,1320
prop_mean_price,101642.09967422485,1061
price_per_night_per_star,95476.89211654663,1086
orig_destination_distance,93896.19979095459,1243
query_star_mean,93419.25005722046,1056
dest_click_rate,90137.46343612671,1082
price_per_night,87787.46881866455,1023
prop_std_price,87067.8373260498,1155
price_vs_dest_mean,82475.48091888428,985
price_percentile,81243.75564956665,683
price_vs_max,79002.57357406616,986
review_vs_dest_mean,78889.52277755737,936
review_rank,78560.41102981567,615
srch_booking_window,77585.14867782593,997
dest_mean_star,69992.84967041016,821
query_affinity_exp,69834.05972671509,720
location_total_rank_norm,68266.11403274536,897
price_to_min_ratio,65083.91672515869,803
dest_mean_price,64677.5680770874,817
prop_book_given_click,64105.012104034424,935
price_per_guest,63752.08701324463,895
site_book_rate,63171.1425743103,825
review_rank_norm,61899.83395385742,724
dest_book_rate,60784.32508850098,822
price_vs_min,60658.89837265015,660
total_cost,60340.80280685425,865
price_ratio_to_visitor_hist,59410.93471908569,597
value_score,59117.22242355347,684
prop_log_historical_price,58920.31982040405,782
quality_rank_avg,57469.39469528198,840
star_vs_mean,57222.601512908936,690
srch_query_affinity_score,57041.41230010986,613
star_vs_dest_mean,54153.51817321777,730
price_rank_norm,52814.52211380005,534
star_percentile,52656.34753417969,649
dest_mean_review,51399.80044937134,755
location1_rank_norm,51202.08581542969,719
value_gap,49624.76239776611,701
prop_review_score,48834.50760269165,287
star_review_product,48563.32669067383,310
query_price_std,48075.363162994385,663
country_book_rate,47339.69278335571,635
price_per_star,46719.958614349365,653
price_per_person,46100.354038238525,704
comp_advantage_rank_norm,45029.19282531738,705
query_price_mean,41470.21575546265,569
comp_rate_pct_max,41421.06916809082,607
log_prop_count,41299.27814865112,495
comp_rate_pct_mean,41185.676445007324,626
price_diff_from_visitor_hist,40419.07390975952,380
price_usd,40147.88023376465,521
starrating_rank_norm,39939.19680786133,573
srch_destination_id,38047.62049484253,590
log_distance,37307.96231842041,499
price_per_room,37139.60326385498,550
comp_advantage_rank,33502.04257965088,453
hour,33496.83027267456,524
abs_star_diff,30586.95263671875,341
comp_rate_pct_min,30316.81320953369,470
star_x_brand,30238.905838012695,209
starrating_rank,29099.287368774414,379
visitor_hist_adr_usd,28211.726978302002,327
location_total_rank,26886.600551605225,378
promotion_flag,26288.691497802734,96
location1_rank,25923.596229553223,371
site_id,25380.708938598633,365
star_diff,25334.151065826416,273
visitor_location_country_id,23067.0172996521,329
prop_brand_bool,23014.06043624878,148
distance_x_international,22975.45308303833,309
visitor_hist_starrating,19876.9665184021,253
prop_country_id,19810.79458618164,276
is_domestic,18603.508518218994,229
srch_length_of_stay,17984.585697174072,249
prop_starrating,17828.339057922363,49
log_price,15355.932651519775,200
month,15021.82275390625,239
has_location_score2,13863.773719787598,14
is_overpriced,12245.669940948486,35
total_guests,10926.082305908203,164
comp_rate_sum,10006.182403564453,150
dayofweek,9870.244255065918,164
srch_children_count,9741.541606903076,131
comp_inv_count,9652.086612701416,148
comp_rate_count,9615.314498901367,149
srch_adults_count,8921.008819580078,119
is_discounted,8070.621238708496,18
n_best_flags,6093.960430145264,72
comp_more_expensive_count,5762.788890838623,81
is_last_minute,4172.571186065674,46
comp_rate_advantage,3772.5044021606445,52
comp_cheaper_count,3453.234100341797,59
comp_no_inv_count,3432.8238983154297,61
srch_room_count,2010.7432022094727,30
is_family,1648.838306427002,23
review_is_zero,1591.8739166259766,17
is_long_window,1014.8682022094727,13
srch_saturday_night_bool,943.9767036437988,16
is_short_window,889.3301048278809,14
has_historical_price,840.7378044128418,2
is_cheapest,750.6934051513672,5
is_best_location1,688.5917053222656,10
starrating_is_zero,448.68059158325195,3
is_weekend_search,335.0946044921875,6
has_distance,234.30049514770508,4
is_best_review,205.1046028137207,2
is_best_star,106.30080032348633,2
has_query_affinity,87.55229949951172,1
is_most_expensive,70.5271987915039,1
has_visitor_history,0.0,0
