config_name,objective,boosting,label_gain,seed,num_leaves,learning_rate,best_iter,n_features,ndcg5,recall1,recall5,mean_booked_rank
A1,lambdarank,gbdt,"0,2,12",456,400,0.03,385.0,143,0.4220514324555018,0.2532837127845884,0.6376970227670753,5.977378867483946
A2,lambdarank,gbdt,"0,2,18",456,400,0.03,539.0,143,0.4211473384948694,0.2551079976649154,0.6382807939287799,5.9605954465849385
A3,lambdarank,gbdt,"0,2,20",456,400,0.03,318.0,143,0.4198580379403687,0.2483946293053123,0.6390834792761237,5.977086981903094
A4,lambdarank,gbdt,"0,2,25",456,400,0.03,442.0,143,0.4207272582204425,0.2527729130180969,0.64017805020432,5.9810274372446
A5,lambdarank,gbdt,"0,3,12",456,400,0.03,344.0,143,0.4210860870131338,0.25189725627554,0.6403969643899592,5.9740951546993575
A6,lambdarank,gbdt,"0,3,15",456,400,0.03,407.0,143,0.4219782765713343,0.2546701692936369,0.6409077641564507,5.965119673088149
A7,lambdarank,gbdt,"0,3,18",456,400,0.03,480.0,143,0.4208655315231677,0.2520431990659661,0.637405137186223,5.968257443082312
A8,lambdarank,gbdt,"0,3,20",456,400,0.03,428.0,143,0.4206005382311993,0.2532837127845884,0.6378429655575014,5.981611208406305
A9,lambdarank,gbdt,"0,4,15",456,400,0.03,454.0,143,0.4208497216564492,0.25569176882662,0.6395213076474022,5.961762988908348
A10,lambdarank,gbdt,"0,4,20",456,400,0.03,280.0,143,0.4204387529416504,0.2518242848803269,0.6407618213660246,5.991316403969644
A11,lambdarank,gbdt,"0,5,20",456,400,0.03,344.0,143,0.4210860870131338,0.25189725627554,0.6403969643899592,5.9740951546993575
A12,lambdarank,gbdt,"0,1,25",456,400,0.03,400.0,143,0.42070474281903,0.2523350846468184,0.6403969643899592,5.981684179801518
A13,lambdarank,gbdt,"0,1,30",456,400,0.03,514.0,143,0.4216881431978045,0.2545971978984238,0.6398131932282545,5.962711617046118
B1,lambdarank,gbdt,"0,2,15",456,400,0.03,363.0,143,0.4211999717030242,0.2513134851138354,0.6370402802101576,5.993140688849971
B2,lambdarank,gbdt,"0,2,15",456,400,0.03,125.0,143,0.401329553625538,0.2336544074722708,0.6104057209573847,6.331727962638646
B3,lambdarank,gbdt,"0,2,15",456,400,0.03,326.0,143,0.42396113577726,0.2568593111500292,0.6399591360186807,5.944541739638062
B4,lambdarank,gbdt,"0,2,15",456,400,0.03,328.0,143,0.4208334212552478,0.2525539988324576,0.6382078225335669,5.97913018096906
B5,lambdarank,gbdt,"0,2,15",456,400,0.03,368.0,143,0.4208915732474889,0.2522621132516053,0.6387915936952715,5.968403385872738
B6,lambdarank,gbdt,"0,2,15",456,400,0.03,694.0,143,0.4219650903839774,0.2535026269702277,0.6389375364856976,5.955706363105662
B7,lambdarank,gbdt,"0,3,15",456,400,0.03,359.0,143,0.4211130638933019,0.2515323992994746,0.6379159369527145,6.002116170461179
B8,lambdarank,gbdt,"0,3,15",456,400,0.03,117.0,143,0.4007287099696336,0.2327787507297139,0.6138353765323993,6.35529772329247
B9,lambdarank,gbdt,"0,3,15",456,400,0.03,435.0,143,0.4216841659483639,0.2515323992994746,0.6399591360186807,5.975919439579685
B10,lambdarank,gbdt,"0,2,20",456,400,0.03,358.0,143,0.421976654275635,0.2504378283712785,0.6393753648569761,6.004889083479276
B11,lambdarank,gbdt,"0,2,20",456,400,0.03,133.0,143,0.4017235518145436,0.2336544074722708,0.6133245767659078,6.347051955633392
B12,lambdarank,gbdt,"0,2,20",456,400,0.03,491.0,143,0.42056238378676,0.2511675423234092,0.6386456509048453,5.99430823117338
C1,lambdarank,gbdt,"0,2,15",42,400,0.03,287.0,143,0.419713877675565,0.2524810274372446,0.6398131932282545,5.99262988908348
C2,lambdarank,gbdt,"0,2,15",123,400,0.03,427.0,143,0.4207390734334815,0.2515323992994746,0.6398861646234676,5.9707384705195565
C3,lambdarank,gbdt,"0,2,15",789,400,0.03,351.0,143,0.4209438255379801,0.2520431990659661,0.6408347927612376,5.978035610040864
C4,lambdarank,gbdt,"0,2,15",2024,400,0.03,250.0,143,0.4195416690699713,0.2499270286047869,0.639302393461763,6.021161704611792
C5,lambdarank,gbdt,"0,2,15",9999,400,0.03,363.0,143,0.4206051058633752,0.2516053706946877,0.6399591360186807,5.986354349095155
C6,lambdarank,gbdt,"0,3,15",42,400,0.03,518.0,143,0.4210580763147767,0.2532107413893754,0.6400321074138937,5.953663164039696
C7,lambdarank,gbdt,"0,3,15",123,400,0.03,379.0,143,0.4194616532691804,0.2511675423234092,0.6379159369527145,5.98766783420899
C8,lambdarank,gbdt,"0,3,15",789,400,0.03,479.0,143,0.4211012295346639,0.2540134267367192,0.6403239929947461,5.955268534734384
C9,lambdarank,gbdt,"0,3,15",2024,400,0.03,591.0,143,0.4214494378548917,0.2537215411558669,0.6384997081144191,5.9697168709865736
C10,lambdarank,gbdt,"0,2,20",42,400,0.03,268.0,143,0.4197779309104616,0.2498540572095738,0.6398861646234676,6.0015323992994745
C11,lambdarank,gbdt,"0,2,20",123,400,0.03,465.0,143,0.4212082986421953,0.2527729130180969,0.6399591360186807,5.94972270869819
C12,lambdarank,gbdt,"0,2,20",789,400,0.03,375.0,143,0.4204783850557079,0.2526999416228838,0.6391564506713369,5.969279042615295
D1,lambdarank,gbdt,"0,2,15",456,400,0.03,476.0,142,0.4192809455122522,0.2505107997664915,0.6356538237011091,6.020359019264449
D2,lambdarank,gbdt,"0,2,15",456,400,0.03,476.0,142,0.4192809455122522,0.2505107997664915,0.6356538237011091,6.020359019264449
D3,lambdarank,gbdt,"0,3,15",456,400,0.03,399.0,142,0.418661334011387,0.2498540572095738,0.6368213660245184,6.016637478108581
D4,lambdarank,gbdt,"0,2,15",456,400,0.03,523.0,120,0.4222849173966679,0.2545242265032107,0.6390834792761237,5.958187390542907
D5,lambdarank,gbdt,"0,2,15",456,400,0.03,353.0,100,0.4194923665698253,0.2507297139521308,0.6387915936952715,5.984894921190893
D6,lambdarank,gbdt,"0,2,15",456,400,0.03,485.0,80,0.4184947594011178,0.2485405720957384,0.6381348511383538,5.999124343257443
D7,lambdarank,gbdt,"0,2,15",456,400,0.03,486.0,101,0.420069131859239,0.2513134851138354,0.6384997081144191,5.977743724460011
