feature,gain,split
prop_location_score2,1758393.2836780548,4952
prop_dest_book_rate,903356.262971878,4864
location2_rank_norm,875689.6099586487,4200
prop_click_rate,690216.6423377991,3603
price_vs_prop_mean,678411.0273513794,3673
prop_price_zscore,630283.4922962189,3783
prop_avg_position,581927.6691532135,5086
location2_rank,522644.08840179443,2391
price_ratio_to_hist,479563.937789917,5105
value_score_rank,455469.1133899689,1994
loc2_vs_mean,391285.7978153229,4313
prop_rel_rate,386349.7683429718,3001
price_diff_from_hist,372764.23711395264,4559
price_z_score,356464.2489185333,3089
dest_count,327013.96956443787,3460
prop_site_book_rate,320929.0972003937,4158
price_vs_median,304458.1682090759,2792
price_rank,299093.93117523193,1578
value_score_rank_norm,265650.54087638855,2981
prop_location_score1,263446.3015174866,2907
loc1_vs_mean,259685.44207572937,3741
price_vs_mean,240701.11571121216,2578
review_vs_mean,238096.66285324097,3185
orig_destination_distance,236439.0982646942,4016
query_hotel_count,225708.8536491394,1879
prop_count,225514.88181304932,3457
location_total,222694.72191429138,2837
review_percentile,221919.7051639557,2991
promo_x_cheap,216997.16262817383,1626
log_price_z_score,208599.45521354675,2358
prop_std_price,203630.67031478882,3198
price_per_night_per_star,196296.67754745483,2958
price_vs_dest_mean,193661.12656974792,2801
query_star_mean,187635.7872505188,2826
prop_click_count,186539.26976776123,1917
price_per_night,186093.53044891357,2942
prop_mean_price,185749.63489341736,2696
dest_click_rate,185747.94317436218,3019
price_vs_max,184942.34091758728,2989
prop_book_rate,178756.9162082672,2736
quality_rank_avg,175451.77330207825,2892
price_per_guest,172140.13220214844,2949
review_vs_dest_mean,171967.31045150757,2631
dest_mean_price,168923.87411117554,2692
srch_booking_window,167732.73110198975,2714
prop_book_given_click,167467.83949661255,2874
total_cost,166566.09070587158,2740
price_to_min_ratio,165476.31941986084,2692
dest_mean_star,163851.08360481262,2601
dest_book_rate,158833.59299850464,2699
price_percentile,158745.86232948303,2063
location_total_rank_norm,157560.65162086487,2632
value_score,153826.71162223816,2370
review_rank_norm,152692.57273864746,2327
dest_mean_review,148059.67652130127,2532
query_price_std,146069.21277618408,2491
price_per_person,143654.1191520691,2543
star_vs_mean,143286.4907169342,2125
location1_rank_norm,142332.54502487183,2457
srch_destination_id,142148.2609653473,2587
site_dest_book_rate,140256.79691696167,2528
star_percentile,138881.78012275696,1995
comp_advantage_rank_norm,137976.16291999817,2494
star_vs_dest_mean,135435.46175003052,2263
price_vs_min,134715.42336654663,2086
value_gap,134618.49606704712,2304
price_per_star,133680.6643924713,2240
site_book_rate,130891.63780975342,2094
prop_log_historical_price,129345.63186264038,2069
query_price_mean,125957.54314804077,2077
review_rank,123037.85822105408,1463
comp_rate_pct_mean,121528.59656906128,2091
starrating_rank_norm,121272.02209091187,1923
price_per_room,108793.79672431946,1846
country_book_rate,105766.99185371399,1655
hour,105375.12801170349,1904
price_rank_norm,105212.55279922485,1644
cpair_book_rate,104470.76671600342,1828
price_usd,103059.12321853638,1664
log_distance,102781.41177749634,1739
comp_rate_pct_max,101463.26406860352,1792
site_country_book_rate,99919.87303543091,1741
srch_query_affinity_score,98083.68068504333,1371
log_prop_count,93419.78088760376,1440
comp_rate_pct_min,92831.90554046631,1665
comp_advantage_rank,83171.61591339111,1321
price_ratio_to_visitor_hist,81761.35292243958,994
query_affinity_exp,81294.85133361816,1119
location_total_rank,76561.00789833069,1345
location1_rank,70812.4531288147,1185
starrating_rank,65350.64765357971,977
star_review_product,64859.163135528564,710
price_diff_from_visitor_hist,63001.318151474,846
distance_x_international,56429.73164176941,887
visitor_hist_adr_usd,56170.561948776245,755
abs_star_diff,52597.0316734314,717
prop_country_id,52158.58642959595,794
site_id,52076.7173538208,849
visitor_location_country_id,51472.6441822052,888
month,48748.00889015198,878
prop_review_score,47878.5508556366,487
star_diff,46974.91725349426,687
dayofweek,42907.80528640747,827
star_x_brand,37984.59193992615,442
visitor_hist_starrating,36460.45620536804,511
srch_length_of_stay,35689.16271972656,567
log_price,35118.37051963806,595
comp_inv_count,29887.095462799072,508
total_guests,29366.951345443726,509
comp_rate_count,29104.858516693115,537
promotion_flag,27880.255765914917,130
prop_starrating,27744.874168395996,97
srch_adults_count,24727.424076080322,398
comp_rate_sum,23967.51396560669,414
prop_brand_bool,23065.20996284485,199
srch_children_count,22340.355768203735,360
is_domestic,18842.05520439148,234
has_location_score2,14158.050273895264,14
n_best_flags,13890.592124938965,218
is_overpriced,13074.29679107666,45
comp_more_expensive_count,11269.873579025269,197
comp_no_inv_count,10718.361322402954,208
comp_cheaper_count,8593.751922607422,152
comp_rate_advantage,8337.730516433716,147
is_last_minute,7904.999723434448,98
srch_room_count,7449.51470375061,128
is_family,5363.252418518066,80
srch_saturday_night_bool,4334.836585998535,74
is_discounted,3942.589813232422,27
is_short_window,3917.8323078155518,71
is_long_window,3487.5283756256104,52
review_is_zero,2380.6352005004883,31
is_weekend_search,1571.0014953613281,30
is_best_star,1306.2102966308594,13
is_best_location1,878.0863075256348,15
has_query_affinity,528.5688972473145,10
has_distance,477.7467918395996,9
is_best_review,444.8241958618164,5
has_historical_price,249.25910186767578,5
starrating_is_zero,123.58300018310547,1
is_cheapest,95.02529907226562,2
is_most_expensive,76.15819931030273,2
has_visitor_history,47.339500427246094,1
