feature,gain,split
prop_location_score2,1758393.2841777802,4952
prop_dest_book_rate,903356.2637023926,4864
location2_rank_norm,872642.0717124939,4200
prop_click_rate,690216.642326355,3603
price_vs_prop_mean,678411.0272521973,3673
prop_price_zscore,630283.481962204,3783
prop_avg_position,581927.6695575714,5086
location2_rank,522644.08959198,2391
price_ratio_to_hist,479563.93778038025,5105
value_score_rank,455469.1148929596,1994
loc2_vs_mean,395977.83830451965,4313
prop_rel_rate,386349.76815223694,3001
price_diff_from_hist,372764.23781585693,4559
price_z_score,356464.24971961975,3089
dest_count,327013.97126960754,3460
prop_site_book_rate,320929.09682273865,4158
price_vs_median,304458.1675300598,2792
price_rank,299093.93227386475,1578
value_score_rank_norm,265650.54047966003,2981
prop_location_score1,263446.3013191223,2907
loc1_vs_mean,259685.4421710968,3741
price_vs_mean,240701.11530303955,2578
review_vs_mean,238096.66344451904,3185
orig_destination_distance,236439.09848213196,4016
query_hotel_count,225708.85314941406,1879
prop_count,225514.88179779053,3457
location_total,222694.72199821472,2837
review_percentile,221860.6063556671,2990
promo_x_cheap,216997.16403198242,1626
log_price_z_score,208599.45440483093,2358
prop_std_price,203630.669216156,3198
price_per_night_per_star,196296.6774520874,2958
price_vs_dest_mean,193661.12559318542,2801
query_star_mean,187635.78734207153,2826
prop_click_count,186539.26885604858,1917
price_per_night,186093.53103256226,2942
prop_mean_price,185749.63489341736,2696
dest_click_rate,185747.94347953796,3019
price_vs_max,184942.33952522278,2989
prop_book_rate,178756.9176158905,2736
quality_rank_avg,175451.77331352234,2892
price_per_guest,172140.13290023804,2949
review_vs_dest_mean,171967.3104610443,2631
dest_mean_price,168923.87381744385,2692
srch_booking_window,167631.86930465698,2714
prop_book_given_click,167467.8397922516,2874
total_cost,166566.09079742432,2740
price_to_min_ratio,165388.44702529907,2691
dest_mean_star,163851.08290672302,2601
dest_book_rate,158833.5924911499,2699
price_percentile,158745.86242866516,2063
location_total_rank_norm,157560.65222740173,2632
value_score,153950.29532051086,2371
review_rank_norm,152751.67073822021,2328
dest_mean_review,148059.6763191223,2532
query_price_std,146069.2124824524,2491
price_per_person,143654.11936569214,2543
star_vs_mean,143286.49094200134,2125
location1_rank_norm,142332.54542541504,2457
srch_destination_id,142148.2620639801,2587
site_dest_book_rate,140256.79280853271,2528
star_percentile,138881.78022956848,1995
comp_advantage_rank_norm,137976.16263389587,2494
star_vs_dest_mean,135435.46084976196,2263
price_vs_min,134715.4235572815,2086
value_gap,134618.49577713013,2304
price_per_star,133680.6639881134,2240
site_book_rate,130891.63842391968,2094
prop_log_historical_price,129345.6322555542,2069
query_price_mean,125957.54393959045,2077
review_rank,123037.85811805725,1463
comp_rate_pct_mean,121528.59677124023,2091
starrating_rank_norm,121272.0225982666,1923
price_per_room,108793.7961139679,1846
country_book_rate,105766.99135780334,1655
hour,105375.12941551208,1904
price_rank_norm,105212.55229187012,1644
cpair_book_rate,104470.76661682129,1828
price_usd,103059.12292098999,1664
log_distance,102781.41267585754,1739
comp_rate_pct_max,101463.26346588135,1792
site_country_book_rate,99919.87453079224,1741
srch_query_affinity_score,98083.68108177185,1371
log_prop_count,93419.78118515015,1440
comp_rate_pct_min,92831.90464019775,1665
comp_advantage_rank,83171.61581420898,1321
price_ratio_to_visitor_hist,81761.35281944275,994
query_affinity_exp,81294.8518371582,1119
location_total_rank,76561.00740242004,1345
location1_rank,70812.45252609253,1185
starrating_rank,65350.64854621887,977
star_review_product,64859.163429260254,710
price_diff_from_visitor_hist,63001.319147109985,846
distance_x_international,56429.73173713684,887
visitor_hist_adr_usd,56170.562242507935,755
abs_star_diff,52597.03187942505,717
prop_country_id,52158.5866355896,794
site_id,52076.71745681763,849
visitor_location_country_id,51472.643785476685,888
month,48748.00888252258,878
prop_review_score,47808.0674571991,486
star_diff,46974.9177570343,687
dayofweek,42907.80548095703,827
star_x_brand,37984.5921421051,442
visitor_hist_starrating,36460.456201553345,511
srch_length_of_stay,35689.162616729736,567
log_price,35118.37061882019,595
comp_inv_count,29887.0955657959,508
total_guests,29366.951139450073,509
comp_rate_count,29104.858512878418,537
promotion_flag,27880.255865097046,130
prop_starrating,27453.152168273926,95
srch_adults_count,24727.424171447754,398
comp_rate_sum,23967.514263153076,414
prop_brand_bool,23065.20986366272,199
srch_children_count,22296.174768447876,359
is_domestic,18842.055311203003,234
n_best_flags,13890.592025756836,218
is_overpriced,13074.29679107666,45
has_location_score2,12513.559368133545,14
comp_more_expensive_count,11269.873579025269,197
comp_no_inv_count,10718.361318588257,208
comp_cheaper_count,8593.751724243164,152
comp_rate_advantage,8337.730516433716,147
is_last_minute,8005.862020492554,98
srch_room_count,7449.5144901275635,128
is_family,5407.433418273926,81
srch_saturday_night_bool,4334.836387634277,74
is_discounted,3942.589813232422,27
is_short_window,3917.8323078155518,71
is_long_window,3487.5282764434814,52
review_is_zero,2451.1185989379883,32
is_weekend_search,1571.0014953613281,30
is_best_star,1306.2102966308594,13
is_best_location1,878.0863075256348,15
has_query_affinity,528.5687980651855,10
has_distance,477.7467918395996,9
is_best_review,444.8241958618164,5
starrating_is_zero,291.7220001220703,2
has_historical_price,249.25910186767578,5
is_cheapest,182.89759826660156,3
is_most_expensive,76.15819931030273,2
has_visitor_history,47.339500427246094,1
