feature,gain,split
location2_rank_norm,6681.67111325264,68
location2_rank,4682.994368553162,9
price_diff_from_hist,3329.0560541152954,57
value_score_rank,2967.73975276947,39
value_score_rank_norm,2507.8505799770355,28
orig_destination_distance,2386.633794784546,41
location_total,2317.1770849227905,43
review_vs_mean,1970.8332052230835,39
price_vs_dest_mean,1828.3380193710327,27
price_ratio_to_hist,1817.8846344947815,31
prop_mean_price,1815.8979668617249,29
srch_destination_id,1806.3638820648193,39
price_to_min_ratio,1791.8574266433716,34
price_vs_prop_mean,1539.4785041809082,27
total_cost,1533.5324310064316,30
price_vs_median,1521.8201904296875,14
price_z_score,1499.8453226089478,24
prop_location_score2,1452.0986032485962,18
location1_rank_norm,1431.5946516990662,27
value_gap,1404.9398169517517,27
price_per_person,1402.878809928894,23
query_price_mean,1400.1534004211426,30
prop_log_historical_price,1385.1050109863281,22
price_percentile,1373.0420112609863,12
price_rank,1328.445273399353,22
loc2_vs_mean,1324.6805934906006,22
location_total_rank_norm,1309.1416124105453,25
star_percentile,1291.2854685783386,28
star_vs_mean,1273.249452829361,23
price_vs_mean,1258.7747945785522,18
review_rank_norm,1254.3884801864624,16
query_star_mean,1217.575101852417,22
log_price_z_score,1212.4680228233337,19
hour,1114.6907920837402,16
comp_advantage_rank_norm,1109.867199897766,20
prop_location_score1,1103.4271700382233,21
comp_advantage_rank,1097.9815912246704,17
dayofweek,1075.5211806297302,20
dest_mean_star,1025.4182977676392,16
dest_mean_price,1003.3229007720947,9
price_vs_max,985.9037942886353,22
query_price_std,982.3317193984985,30
price_rank_norm,956.2098379135132,15
prop_avg_position,953.7306685447693,19
review_percentile,940.616997718811,15
review_vs_dest_mean,921.5383913516998,26
price_per_star,920.9505109786987,12
promo_x_cheap,913.9302833080292,20
starrating_rank_norm,843.1693344116211,24
price_per_night_per_star,837.6848964691162,13
quality_rank_avg,835.7739753723145,13
loc1_vs_mean,782.352569103241,20
country_book_rate,745.9740545749664,20
starrating_rank,628.8397979736328,14
distance_x_international,590.2504024505615,10
prop_country_id,524.4676923751831,12
visitor_location_country_id,492.2097978591919,12
comp_rate_pct_max,476.1304006576538,10
prop_std_price,463.93889141082764,8
price_usd,460.0870409011841,5
price_per_room,447.63749051094055,15
site_id,438.3315963745117,5
srch_booking_window,406.70991134643555,11
location1_rank,375.8024525642395,9
site_dest_book_rate,373.00227642059326,8
cpair_book_rate,369.3433952331543,5
prop_click_rate,368.1055974960327,6
star_review_product,354.33660411834717,6
star_x_brand,346.48570346832275,7
site_book_rate,343.11189460754395,5
review_rank,339.51439571380615,8
site_country_book_rate,336.43904876708984,11
total_guests,333.78389739990234,3
dest_count,333.13496804237366,8
prop_price_zscore,309.6491947174072,4
month,299.2845001220703,6
dest_click_rate,286.9783010482788,5
location_total_rank,278.43983006477356,7
comp_rate_pct_min,261.6123905181885,4
comp_rate_pct_mean,241.81809616088867,5
query_hotel_count,237.62089920043945,5
srch_query_affinity_score,222.10379600524902,4
price_per_night,190.48591136932373,8
value_score,181.70163297653198,9
comp_inv_count,176.29040336608887,4
comp_rate_count,158.95660018920898,5
dest_mean_review,158.3944206237793,5
star_vs_dest_mean,152.91920948028564,6
star_diff,151.11159706115723,2
price_per_guest,138.70463848114014,7
prop_site_book_rate,127.53729629516602,2
srch_children_count,118.36299896240234,3
comp_no_inv_count,111.2969970703125,1
is_domestic,109.08100128173828,1
dest_book_rate,88.12023067474365,5
prop_book_given_click,84.75340270996094,1
srch_length_of_stay,66.52599906921387,2
price_ratio_to_visitor_hist,61.372100830078125,1
is_family,51.050201416015625,1
visitor_hist_adr_usd,44.10210037231445,2
srch_adults_count,40.51430130004883,1
prop_count,28.45346975326538,2
comp_rate_advantage,28.05229949951172,2
abs_star_diff,27.265499114990234,1
n_best_flags,26.91405963897705,2
log_prop_count,24.4143009185791,1
prop_review_score,23.25429916381836,1
prop_dest_book_rate,8.310290336608887,1
prop_book_rate,7.31935977935791,1
visitor_hist_starrating,0.0,0
prop_starrating,0.0,0
promotion_flag,0.0,0
prop_brand_bool,0.0,0
price_vs_min,0.0,0
has_visitor_history,0.0,0
has_location_score2,0.0,0
is_weekend_search,0.0,0
srch_room_count,0.0,0
srch_saturday_night_bool,0.0,0
has_historical_price,0.0,0
has_distance,0.0,0
log_distance,0.0,0
log_price,0.0,0
price_diff_from_visitor_hist,0.0,0
comp_rate_sum,0.0,0
comp_cheaper_count,0.0,0
comp_more_expensive_count,0.0,0
has_query_affinity,0.0,0
starrating_is_zero,0.0,0
review_is_zero,0.0,0
is_long_window,0.0,0
is_best_star,0.0,0
is_most_expensive,0.0,0
is_best_review,0.0,0
is_best_location1,0.0,0
is_cheapest,0.0,0
is_short_window,0.0,0
is_last_minute,0.0,0
query_affinity_exp,0.0,0
is_overpriced,0.0,0
is_discounted,0.0,0
prop_rel_rate,0.0,0
prop_click_count,0.0,0
