feature,gain,split
location2_rank_norm,4107.494865059853,102
value_score_rank_norm,3681.28648519516,127
prop_location_score2,3567.841191291809,134
location2_rank,2471.935522764921,67
price_diff_from_hist,2291.3622031211853,137
orig_destination_distance,2004.4415032863617,134
price_vs_median,1821.2202649116516,71
price_vs_mean,1771.9691733121872,89
price_ratio_to_hist,1765.7939650565386,107
loc2_vs_mean,1731.5217958688736,111
price_per_night_per_star,1723.3581671714783,100
quality_rank_avg,1697.6070464849472,105
review_vs_mean,1674.1864730715752,103
prop_location_score1,1609.237657546997,77
review_percentile,1530.0086909532547,88
price_vs_min,1510.2284297943115,93
price_vs_max,1485.134198665619,88
price_per_star,1378.1801278591156,76
price_per_night,1340.6699974536896,84
value_score,1292.2268506884575,86
price_vs_prop_mean,1289.950460076332,75
total_cost,1272.4573512673378,82
log_price_z_score,1243.2102251648903,73
location1_rank_norm,1238.189127445221,77
prop_log_historical_price,1197.4334831237793,74
loc1_vs_mean,1168.6630322635174,74
star_vs_mean,1119.5933459997177,70
review_vs_dest_mean,1119.2048065662384,75
price_z_score,1113.5566787719727,53
starrating_rank_norm,1019.2932879030704,60
star_percentile,1009.5429215431213,60
comp_rate_pct_mean,994.8951117992401,58
location_total_rank_norm,969.9260356426239,64
value_score_rank,962.0093639492989,43
price_rank,955.6621994972229,46
review_rank_norm,925.3089280128479,55
comp_advantage_rank_norm,909.8057491481304,73
cpair_book_rate,905.4447040557861,58
price_to_min_ratio,871.734316110611,53
price_per_guest,848.32555103302,56
price_per_room,840.7462573051453,50
prop_mean_price,840.6331897974014,61
review_rank,840.2337074279785,43
prop_price_zscore,831.4428472518921,38
price_per_person,830.4546460211277,60
site_country_book_rate,787.1353230476379,46
log_distance,782.7086987495422,53
price_percentile,775.0713376998901,50
price_vs_dest_mean,749.7367339134216,48
star_vs_dest_mean,729.7507309913635,43
comp_advantage_rank,692.3952922821045,40
comp_rate_pct_max,564.9387288093567,28
location1_rank,560.8333721160889,33
prop_std_price,540.301563501358,29
log_price,522.5744020938873,38
location_total,520.5986423492432,38
price_rank_norm,501.4613208770752,26
value_gap,476.2689280509949,34
starrating_rank,400.2137284874916,25
prop_country_id,382.11679196357727,26
price_usd,368.00410413742065,24
location_total_rank,367.18828505277634,27
comp_rate_count,363.99261713027954,23
comp_rate_pct_min,349.58314990997314,21
prop_click_rate,337.6823091506958,18
country_book_rate,329.7711895108223,26
distance_x_international,323.91909074783325,15
promo_x_cheap,277.2933781147003,16
promotion_flag,235.80772066116333,12
star_x_brand,186.53567028045654,9
star_review_product,183.37686920166016,11
comp_inv_count,182.7269139289856,10
prop_rel_rate,179.5175656080246,12
srch_query_affinity_score,165.4115390777588,9
prop_review_score,164.90320014953613,8
prop_dest_book_rate,145.38222122192383,11
query_affinity_exp,120.05693101882935,8
price_diff_from_visitor_hist,115.9902515411377,6
prop_brand_bool,96.26719856262207,4
prop_book_given_click,95.57725143432617,6
comp_rate_sum,94.39180088043213,6
log_prop_count,90.27259922027588,5
n_best_flags,85.3275396823883,8
prop_site_book_rate,83.31564784049988,7
is_discounted,61.296199798583984,2
comp_rate_advantage,45.57069969177246,3
star_diff,39.85140037536621,2
comp_no_inv_count,38.789700508117676,2
price_ratio_to_visitor_hist,38.48095941543579,3
prop_starrating,20.52733039855957,2
comp_cheaper_count,20.306800842285156,1
prop_click_count,20.134979248046875,2
is_overpriced,12.147299766540527,1
prop_book_rate,9.65725040435791,1
abs_star_diff,5.888239860534668,1
srch_destination_id,0.0,0
visitor_hist_adr_usd,0.0,0
visitor_hist_starrating,0.0,0
visitor_location_country_id,0.0,0
site_id,0.0,0
has_location_score2,0.0,0
has_query_affinity,0.0,0
has_distance,0.0,0
srch_saturday_night_bool,0.0,0
srch_adults_count,0.0,0
srch_children_count,0.0,0
srch_booking_window,0.0,0
srch_length_of_stay,0.0,0
hour,0.0,0
has_historical_price,0.0,0
comp_more_expensive_count,0.0,0
is_domestic,0.0,0
starrating_is_zero,0.0,0
review_is_zero,0.0,0
is_weekend_search,0.0,0
dayofweek,0.0,0
has_visitor_history,0.0,0
month,0.0,0
srch_room_count,0.0,0
is_cheapest,0.0,0
query_star_mean,0.0,0
is_best_review,0.0,0
is_most_expensive,0.0,0
is_best_location1,0.0,0
is_best_star,0.0,0
query_hotel_count,0.0,0
is_long_window,0.0,0
is_short_window,0.0,0
is_last_minute,0.0,0
query_price_mean,0.0,0
query_price_std,0.0,0
total_guests,0.0,0
is_family,0.0,0
site_book_rate,0.0,0
site_dest_book_rate,0.0,0
dest_click_rate,0.0,0
dest_book_rate,0.0,0
prop_count,0.0,0
dest_count,0.0,0
dest_mean_price,0.0,0
dest_mean_star,0.0,0
dest_mean_review,0.0,0
