feature,gain,split
prop_location_score2,1892596.1836204529,3734
prop_dest_book_rate,1043376.5636062622,3667
location2_rank_norm,863905.8677368164,2903
prop_click_rate,784236.703201294,2733
price_vs_prop_mean,732816.0265731812,2970
prop_price_zscore,633574.8551483154,2922
prop_avg_position,542838.9602546692,3939
location2_rank,513592.739364624,1754
value_score_rank,483175.78355026245,1698
price_ratio_to_hist,480834.225440979,4009
prop_rel_rate,356168.65578842163,2131
price_z_score,353154.82207107544,2609
loc2_vs_mean,348210.5103607178,3101
price_diff_from_hist,329318.566986084,3411
prop_site_book_rate,308433.4846305847,3174
price_rank,301929.5796585083,1360
price_vs_median,293567.1057434082,2277
dest_count,291649.4732055664,2685
prop_location_score1,260048.82290267944,2457
value_score_rank_norm,239875.47123336792,2103
loc1_vs_mean,235380.9014930725,2882
price_vs_mean,234803.2874069214,1971
promo_x_cheap,219790.67428970337,1394
review_vs_mean,213408.06149673462,2345
location_total,212881.26568603516,2254
query_hotel_count,201530.2953338623,1397
review_percentile,193720.3049659729,2233
prop_count,192784.90005874634,2514
orig_destination_distance,184841.745803833,2726
log_price_z_score,183773.4490890503,1833
prop_std_price,183537.52527236938,2451
prop_click_count,176951.49071502686,1593
prop_book_rate,166537.70484161377,2152
price_vs_dest_mean,166168.88669586182,2045
price_per_night_per_star,166072.81411361694,2218
query_star_mean,165032.04500579834,2131
prop_mean_price,159915.4488143921,2040
price_per_night,157321.08164215088,2127
price_vs_max,152536.31088256836,2116
dest_click_rate,149735.11862564087,2143
price_per_guest,148552.9440498352,2216
quality_rank_avg,147015.12213516235,2148
prop_book_given_click,145803.0797996521,2222
srch_booking_window,142078.99378967285,2001
price_percentile,140870.95992279053,1555
total_cost,140543.50913238525,2100
review_vs_dest_mean,138009.8591079712,1901
price_to_min_ratio,137770.32194137573,1897
dest_mean_star,136906.28854751587,1849
review_rank_norm,127862.1780166626,1657
dest_mean_price,127804.53448867798,1795
dest_book_rate,126241.47122955322,1902
location_total_rank_norm,123101.55721664429,1817
dest_mean_review,121857.12265396118,1788
star_vs_mean,120242.61555480957,1557
location1_rank_norm,118644.48567962646,1812
price_per_star,118381.52740859985,1664
review_rank,118345.83518600464,1193
value_score,116926.18403625488,1672
query_price_std,116423.26796722412,1716
prop_log_historical_price,114559.98681259155,1611
price_per_person,113973.48955535889,1810
star_vs_dest_mean,113718.44011688232,1657
site_book_rate,112431.10181045532,1597
star_percentile,111141.59754180908,1371
srch_destination_id,108804.62376022339,1761
starrating_rank_norm,106655.90515136719,1427
site_dest_book_rate,106129.43482208252,1678
comp_advantage_rank_norm,105602.97673797607,1695
value_gap,105472.61684036255,1605
query_price_mean,105238.53356170654,1514
price_vs_min,100179.29761505127,1398
srch_query_affinity_score,95657.90121078491,1081
comp_rate_pct_mean,95252.39789962769,1526
price_rank_norm,90541.88341903687,1144
log_distance,89547.54963302612,1323
country_book_rate,89214.7131690979,1219
site_country_book_rate,86695.92110824585,1321
price_usd,84672.15543746948,1220
price_per_room,83888.4158821106,1221
price_ratio_to_visitor_hist,83355.72325897217,874
log_prop_count,83210.25492095947,1131
comp_rate_pct_max,81286.04386138916,1252
cpair_book_rate,77454.82948303223,1209
query_affinity_exp,75570.62348556519,933
hour,74915.5092048645,1226
comp_rate_pct_min,67705.45434188843,1069
location_total_rank,63424.21362686157,945
comp_advantage_rank,62295.152362823486,916
price_diff_from_visitor_hist,62235.50232696533,743
location1_rank,58816.25479507446,905
starrating_rank,57482.1785736084,761
star_review_product,56055.83676147461,528
abs_star_diff,53202.21601104736,667
visitor_hist_adr_usd,51290.994007110596,627
prop_review_score,46700.75033950806,387
distance_x_international,46614.33166503906,676
visitor_location_country_id,46281.07960510254,726
star_diff,41404.745067596436,544
prop_country_id,40672.65799713135,564
site_id,39822.8486289978,584
star_x_brand,38136.68252182007,378
visitor_hist_starrating,35348.14021682739,449
month,33395.01159667969,548
prop_starrating,31874.801418304443,112
dayofweek,28477.982593536377,496
log_price,28475.933254241943,427
promotion_flag,28463.360973358154,156
srch_length_of_stay,26051.871601104736,377
comp_inv_count,23008.8526802063,349
comp_rate_count,22194.67096710205,348
total_guests,21963.79201889038,336
prop_brand_bool,21139.20867919922,161
srch_adults_count,20777.80126953125,305
srch_children_count,19823.894607543945,284
comp_rate_sum,18104.635276794434,296
has_location_score2,15608.40752029419,16
is_domestic,15336.490097045898,161
n_best_flags,10769.707527160645,134
is_overpriced,10148.488368988037,49
comp_more_expensive_count,9419.212409973145,148
comp_rate_advantage,9206.121597290039,144
is_last_minute,8086.2994956970215,97
comp_no_inv_count,8081.858074188232,139
comp_cheaper_count,7149.630172729492,123
srch_room_count,5413.667594909668,84
is_family,4529.853286743164,61
is_discounted,3739.29048538208,21
is_long_window,2879.4225006103516,45
is_short_window,2415.9315032958984,42
review_is_zero,2337.572010040283,24
is_weekend_search,1775.0007934570312,31
is_best_location1,1275.1141967773438,22
is_best_star,1103.7123069763184,10
starrating_is_zero,824.1668167114258,9
srch_saturday_night_bool,761.7499046325684,12
has_query_affinity,508.17419815063477,7
is_cheapest,360.4790954589844,6
has_historical_price,349.79580307006836,5
is_best_review,246.6728973388672,3
has_distance,157.597900390625,2
is_most_expensive,151.94660186767578,3
has_visitor_history,0.0,0
