feature,gain,split
prop_location_score2,1859202.4501075745,3221
prop_dest_book_rate,1007864.4607467651,3011
location2_rank_norm,812919.9331703186,2349
prop_click_rate,746376.1592025757,2204
price_vs_prop_mean,724860.1114692688,2524
prop_price_zscore,608457.1318244934,2513
prop_avg_position,505841.4123649597,3276
location2_rank,504402.19132995605,1467
value_score_rank,484419.807308197,1463
price_ratio_to_hist,436706.96712112427,3363
prop_rel_rate,357913.20249938965,1772
price_z_score,331767.701423645,2315
loc2_vs_mean,325261.403591156,2516
price_rank,304440.55950546265,1273
price_diff_from_hist,304265.1634674072,2771
price_vs_median,291268.41997146606,1998
prop_site_book_rate,272859.93531799316,2613
dest_count,252099.8836631775,2131
prop_location_score1,236963.19270324707,2108
value_score_rank_norm,214630.17052078247,1737
price_vs_mean,213850.2893257141,1633
loc1_vs_mean,207474.02569580078,2394
promo_x_cheap,204311.81484222412,1260
location_total,201033.4146118164,1944
review_vs_mean,194736.24988555908,2049
query_hotel_count,175390.6799583435,1144
review_percentile,172078.11682891846,1821
prop_click_count,171977.49479675293,1382
log_price_z_score,168176.25469207764,1535
prop_count,160914.31032562256,1984
prop_std_price,156435.88006973267,1963
orig_destination_distance,154590.01306533813,2159
price_per_night_per_star,145133.0789794922,1776
query_star_mean,144003.16278457642,1690
price_vs_dest_mean,142970.1367301941,1672
price_per_night,140349.3998298645,1742
prop_book_rate,139101.64670181274,1583
prop_mean_price,139095.02617263794,1585
dest_click_rate,129670.65153121948,1746
review_vs_dest_mean,127076.17531585693,1596
price_vs_max,126609.89512634277,1633
price_percentile,125656.22791290283,1318
prop_book_given_click,123969.813205719,1786
price_per_guest,120952.23895645142,1721
srch_booking_window,120332.13956832886,1590
total_cost,117892.90671157837,1667
quality_rank_avg,116619.7331161499,1648
dest_mean_price,114988.36874771118,1510
dest_mean_star,114237.3378944397,1458
review_rank_norm,113200.6873588562,1370
price_to_min_ratio,112815.18604278564,1432
value_score,107945.43363571167,1382
dest_book_rate,107308.6290550232,1525
location_total_rank_norm,106603.84870910645,1479
review_rank,105387.1353302002,991
star_vs_mean,104862.61780166626,1260
dest_mean_review,102633.47969055176,1410
star_percentile,101967.16110610962,1187
query_price_std,100821.20903015137,1377
site_book_rate,100323.65376281738,1316
prop_log_historical_price,98567.04766845703,1336
price_per_person,95591.68273544312,1448
location1_rank_norm,94752.22607803345,1370
starrating_rank_norm,94501.11103057861,1170
star_vs_dest_mean,92960.39414978027,1270
value_gap,88825.1082687378,1279
price_per_star,87809.19458007812,1219
srch_destination_id,87487.26926422119,1343
query_price_mean,86237.94569015503,1148
site_dest_book_rate,86037.17426300049,1331
price_vs_min,85709.29783248901,1169
comp_advantage_rank_norm,85143.59149169922,1300
comp_rate_pct_mean,83539.17147827148,1249
srch_query_affinity_score,83101.31689071655,933
price_rank_norm,83010.73838043213,994
country_book_rate,80812.369846344,1063
price_ratio_to_visitor_hist,78470.5408782959,800
site_country_book_rate,74161.16669464111,1092
log_distance,72464.30739593506,1033
price_per_room,71292.053150177,994
price_usd,70989.83909606934,897
log_prop_count,69666.85614776611,890
cpair_book_rate,69566.41737365723,1005
comp_rate_pct_max,67880.29512786865,1020
query_affinity_exp,66723.31350326538,775
hour,60312.33151245117,947
price_diff_from_visitor_hist,60235.56476974487,680
comp_advantage_rank,59178.351387023926,816
comp_rate_pct_min,57813.096546173096,858
star_review_product,54002.30363082886,435
starrating_rank,53991.71076583862,681
location1_rank,50783.67713165283,719
location_total_rank,50362.70076370239,712
abs_star_diff,47699.6865272522,552
prop_review_score,46149.62397766113,352
visitor_hist_adr_usd,45606.55489349365,546
distance_x_international,42863.38625717163,575
star_diff,39535.38013076782,481
site_id,37621.26792526245,508
prop_country_id,37377.93673324585,478
visitor_location_country_id,37159.905990600586,546
star_x_brand,34340.95171356201,319
visitor_hist_starrating,33524.26511001587,400
promotion_flag,29914.795600891113,142
prop_starrating,29280.57200241089,92
month,27759.602611541748,437
srch_length_of_stay,25287.895133972168,331
dayofweek,22649.429512023926,369
log_price,22576.92384338379,342
prop_brand_bool,22252.091663360596,166
comp_rate_count,20254.61219406128,304
total_guests,19504.100204467773,294
srch_adults_count,18293.192352294922,254
comp_inv_count,16699.826976776123,243
srch_children_count,16062.239353179932,224
comp_rate_sum,15983.915775299072,248
has_location_score2,15362.400455474854,14
is_domestic,13906.588581085205,142
is_overpriced,9725.69436264038,48
n_best_flags,9386.299865722656,104
comp_more_expensive_count,7460.468799591064,107
is_last_minute,7309.335102081299,82
comp_no_inv_count,6286.160999298096,101
comp_rate_advantage,5570.336307525635,82
comp_cheaper_count,5424.658184051514,91
srch_room_count,5011.729995727539,75
is_family,3479.4736137390137,47
is_long_window,2518.4918212890625,38
is_discounted,2185.0370864868164,19
review_is_zero,1961.6581649780273,23
is_short_window,1884.7986030578613,31
srch_saturday_night_bool,1493.246410369873,25
is_weekend_search,1233.6443099975586,20
has_query_affinity,797.6432037353516,10
starrating_is_zero,662.2961883544922,6
is_best_location1,644.0497055053711,8
is_cheapest,554.6904029846191,4
is_best_star,457.11589431762695,4
has_historical_price,248.76739883422852,4
is_best_review,181.5435028076172,3
is_most_expensive,158.1894989013672,2
has_distance,155.65280151367188,3
has_visitor_history,0.0,0
