feature,gain,split
prop_location_score2,614770.3353309631,3245
prop_dest_book_rate,408884.75343990326,3110
location2_rank_norm,356213.219704628,2565
price_vs_prop_mean,300664.33383083344,2684
prop_click_rate,252426.16452407837,2350
prop_price_zscore,238785.3021030426,2697
price_ratio_to_hist,157163.81043624878,3654
prop_avg_position,151126.2426214218,2979
loc2_vs_mean,147097.01319026947,2974
location2_rank,144576.93725013733,1399
price_z_score,125741.44071292877,2582
value_score_rank_norm,125560.9781742096,2118
value_score_rank,112554.33502006531,1483
prop_rel_rate,108221.35599040985,1915
price_diff_from_hist,107864.75386428833,3097
price_vs_median,101289.91542053223,2280
prop_site_book_rate,95394.2153043747,2595
prop_location_score1,91955.7960100174,2155
loc1_vs_mean,87234.00242424011,2793
promo_x_cheap,83078.056599617,1462
review_vs_mean,77975.58664226532,2546
location_total,74702.10576915741,2204
price_vs_mean,70807.83680534363,1899
review_percentile,64575.36395931244,2104
price_vs_dest_mean,62460.145771980286,2143
price_rank,57856.7115354538,1174
log_price_z_score,57852.056549072266,1760
prop_std_price,57326.99892997742,2195
prop_count,55428.064348220825,2119
price_vs_max,55260.90191459656,2178
prop_mean_price,53609.948404312134,1875
price_percentile,52230.335414886475,1529
star_vs_mean,50967.05772686005,1757
price_per_night_per_star,50296.11042690277,1871
price_per_night,49964.230467796326,1999
orig_destination_distance,48704.163330078125,2209
price_per_guest,48464.17550945282,2189
prop_book_rate,48208.923396110535,1620
total_cost,46204.95351982117,2049
prop_click_count,45912.47340106964,1422
prop_book_given_click,45902.92238330841,2037
review_vs_dest_mean,45368.741324424744,1898
star_percentile,44375.80860519409,1600
review_rank_norm,42788.447461128235,1620
value_score,40214.64405345917,1663
quality_rank_avg,39656.16004753113,1759
country_book_rate,37509.88541984558,1484
location_total_rank_norm,36461.16254425049,1658
price_to_min_ratio,35559.97701263428,1606
site_country_book_rate,35140.932757377625,1609
star_vs_dest_mean,34751.00286483765,1590
prop_log_historical_price,34393.155139923096,1438
price_per_person,34353.35001754761,1648
location1_rank_norm,34184.63670253754,1513
price_per_star,32850.63311672211,1438
starrating_rank_norm,31924.315527915955,1227
price_vs_min,31691.500210762024,1299
price_ratio_to_visitor_hist,31624.019141197205,1030
comp_advantage_rank_norm,30151.65758705139,1511
value_gap,29880.50303554535,1369
price_rank_norm,29051.466128349304,1137
comp_rate_pct_mean,27785.04395198822,1328
cpair_book_rate,27394.49360370636,1279
price_usd,27366.188510894775,1125
price_per_room,25204.661613464355,1139
review_rank,24791.77834033966,855
price_diff_from_visitor_hist,24727.029893875122,925
log_prop_count,24063.109086990356,958
log_distance,23724.96089076996,1126
comp_rate_pct_max,20966.61102581024,965
location1_rank,20410.914797782898,864
srch_query_affinity_score,20149.675587654114,765
query_affinity_exp,19241.106516838074,709
comp_rate_pct_min,18400.996116638184,891
prop_country_id,17823.656109809875,780
comp_advantage_rank,17726.98078918457,815
star_review_product,17349.09471130371,577
location_total_rank,17167.871375083923,759
distance_x_international,16909.20980644226,790
abs_star_diff,15547.021012306213,614
prop_review_score,14928.855607032776,401
star_diff,14089.526219367981,584
starrating_rank,13879.976691246033,529
star_x_brand,13393.578324317932,385
log_price,10263.360395431519,472
promotion_flag,8924.078585624695,161
prop_starrating,8775.87384223938,139
comp_rate_count,6346.587107658386,309
prop_brand_bool,6076.533604621887,187
comp_inv_count,6057.693486213684,287
comp_rate_sum,4376.278298377991,198
n_best_flags,3530.135993003845,150
is_overpriced,3319.1433725357056,45
comp_more_expensive_count,2974.7561588287354,137
is_domestic,2876.2367963790894,106
has_location_score2,2381.4733180999756,15
comp_rate_advantage,2088.5144062042236,92
comp_no_inv_count,1774.9940013885498,96
comp_cheaper_count,1287.8296957015991,66
is_discounted,932.426607131958,24
review_is_zero,681.9741020202637,21
starrating_is_zero,586.4745979309082,11
is_best_star,445.73809814453125,14
is_best_location1,260.1076021194458,11
has_query_affinity,188.65200233459473,7
is_best_review,173.58580017089844,9
is_most_expensive,135.92400074005127,5
has_historical_price,91.3957986831665,4
visitor_location_country_id,0.0,0
visitor_hist_starrating,0.0,0
visitor_hist_adr_usd,0.0,0
srch_length_of_stay,0.0,0
srch_destination_id,0.0,0
site_id,0.0,0
is_weekend_search,0.0,0
query_hotel_count,0.0,0
srch_booking_window,0.0,0
srch_room_count,0.0,0
has_visitor_history,0.0,0
srch_adults_count,0.0,0
srch_children_count,0.0,0
srch_saturday_night_bool,0.0,0
month,0.0,0
hour,0.0,0
has_distance,0.0,0
dayofweek,0.0,0
query_price_mean,0.0,0
is_family,0.0,0
is_long_window,0.0,0
is_short_window,0.0,0
is_last_minute,0.0,0
is_cheapest,0.0,0
query_price_std,0.0,0
query_star_mean,0.0,0
total_guests,0.0,0
site_dest_book_rate,0.0,0
site_book_rate,0.0,0
dest_book_rate,0.0,0
dest_click_rate,0.0,0
dest_count,0.0,0
dest_mean_price,0.0,0
dest_mean_star,0.0,0
dest_mean_review,0.0,0
