feature,gain,split
prop_location_score2,2224059.075372696,4267
prop_dest_book_rate,1019168.0817184448,3839
prop_click_rate,943032.077167511,3344
price_vs_prop_mean,711466.8845825195,3259
prop_price_zscore,624052.7284984589,3279
location2_rank_norm,574172.8409500122,3457
prop_avg_position,551097.0876617432,4553
value_score_rank,546276.6129951477,1892
price_ratio_to_hist,512713.9415817261,4297
loc2_vs_mean,495770.1014022827,3544
location2_rank,443312.62490844727,1873
price_z_score,331670.74575424194,2674
prop_rel_rate,329495.3405761719,2311
price_vs_median,329129.50093078613,2519
price_diff_from_hist,321043.6064834595,3504
dest_count,317467.3957424164,3081
price_rank,304503.08558654785,1438
prop_location_score1,288061.799407959,2834
prop_site_book_rate,283220.87383270264,3125
price_vs_mean,243919.78376579285,2012
review_vs_mean,240694.16511535645,2676
loc1_vs_mean,239705.13079071045,3099
value_score_rank_norm,238842.1416168213,2413
promo_x_cheap,219972.8786354065,1450
query_hotel_count,214618.9909362793,1605
prop_count,208063.6893196106,2807
location_total,207514.96006584167,2445
orig_destination_distance,206209.93133544922,3186
review_percentile,189817.073513031,2306
prop_std_price,186772.82202148438,2649
prop_mean_price,185204.10617256165,2275
query_star_mean,183226.89220619202,2524
price_per_night_per_star,183121.23795700073,2612
log_price_z_score,178588.0753250122,2017
prop_book_given_click,174957.5309906006,2712
price_per_night,172189.93075561523,2415
price_vs_dest_mean,170785.67596435547,2386
price_vs_max,170233.85665893555,2434
dest_click_rate,169350.72165298462,2555
srch_booking_window,166183.70266532898,2373
prop_click_count,162816.5,1747
review_vs_dest_mean,157841.66097450256,2271
prop_book_rate,154242.32089996338,2175
price_to_min_ratio,154103.71237182617,2356
total_cost,150951.68382263184,2392
quality_rank_avg,149301.87308692932,2327
dest_mean_star,146332.7594680786,2035
price_per_guest,145651.20700073242,2293
dest_mean_review,143076.4453792572,2256
price_percentile,140080.7714881897,1531
location_total_rank_norm,136990.43403816223,2150
dest_mean_price,136293.4337425232,1906
review_rank_norm,135676.80475616455,1900
dest_book_rate,133656.98114204407,2037
query_price_std,131539.07789611816,1992
price_per_person,129608.74348831177,2113
review_rank,127322.8459777832,1364
star_vs_mean,126574.4841041565,1759
price_vs_min,121668.81661605835,1841
prop_log_historical_price,121597.90200424194,1781
value_score,121500.67497253418,1688
value_gap,120437.67234802246,1903
star_vs_dest_mean,119048.00693511963,1728
location1_rank_norm,118606.3438873291,1854
srch_destination_id,117489.53643417358,1961
query_price_mean,117154.55743026733,1806
site_book_rate,116816.03617858887,1677
star_percentile,115825.48152923584,1528
comp_advantage_rank_norm,114529.21043395996,1901
site_dest_book_rate,114321.23992919922,1890
starrating_rank_norm,111360.86717224121,1705
price_per_star,107591.03050613403,1699
comp_rate_pct_mean,103018.33913230896,1669
price_rank_norm,100814.04090881348,1345
country_book_rate,100277.75933456421,1466
price_per_room,99253.3667755127,1546
site_country_book_rate,96741.17151641846,1509
srch_query_affinity_score,94751.38866043091,1182
cpair_book_rate,90292.16090393066,1490
log_distance,86200.14429855347,1284
log_prop_count,86081.04384231567,1153
hour,85755.03638267517,1457
price_ratio_to_visitor_hist,85616.13473510742,1025
price_usd,85365.45738601685,1303
comp_rate_pct_max,84811.34955215454,1411
query_affinity_exp,84783.91973876953,1041
comp_rate_pct_min,82862.88677597046,1327
comp_advantage_rank,74030.58233261108,1129
location1_rank,71613.81415176392,1077
price_diff_from_visitor_hist,69922.87744903564,789
location_total_rank,62857.251567840576,984
star_review_product,62452.58906173706,602
distance_x_international,58935.74353027344,860
starrating_rank,56983.13752746582,786
abs_star_diff,56667.94707489014,711
visitor_hist_adr_usd,51632.24578475952,621
visitor_location_country_id,51005.03244018555,804
site_id,46386.05132675171,697
prop_country_id,44221.39965057373,649
star_x_brand,43327.50989151001,436
star_diff,40363.12743759155,527
prop_review_score,39890.25276565552,430
month,39109.09160614014,675
visitor_hist_starrating,37753.951473236084,522
log_price,36174.339920043945,515
dayofweek,30401.364528656006,539
srch_length_of_stay,29609.469966888428,437
has_location_score2,26848.638774871826,20
prop_starrating,26520.45297241211,83
promotion_flag,26438.32070159912,154
total_guests,25590.25328063965,400
prop_brand_bool,25062.294464111328,201
comp_rate_sum,23451.55026626587,397
comp_rate_count,23304.256507873535,392
srch_children_count,22301.497077941895,349
comp_inv_count,21957.417110443115,356
srch_adults_count,20073.55939102173,317
is_overpriced,15807.68663406372,48
is_domestic,15479.13973236084,185
n_best_flags,12324.972507476807,170
