feature,gain,split
prop_location_score2,1950619.8108005524,5293
prop_dest_book_rate,1116821.0415287018,5564
location2_rank_norm,918755.5970077515,4548
prop_click_rate,839040.2478790283,3931
price_vs_prop_mean,783004.9253139496,4017
prop_price_zscore,659600.2493286133,4106
prop_avg_position,602088.3373775482,5857
location2_rank,552845.7531661987,2606
price_ratio_to_hist,550415.533750534,5817
value_score_rank,507392.32121658325,2320
prop_rel_rate,439184.9092063904,3308
loc2_vs_mean,424992.73726272583,4686
price_diff_from_hist,411148.5135822296,4992
price_z_score,393518.48780441284,3440
prop_site_book_rate,371685.69506073,4684
dest_count,357933.21924972534,3975
price_vs_median,354311.0104923248,3161
price_rank,336836.03696250916,1849
prop_location_score1,299935.2003765106,3331
value_score_rank_norm,290688.05794143677,3306
loc1_vs_mean,285760.6952342987,4172
review_vs_mean,274406.1226005554,3733
price_vs_mean,271095.2938518524,2904
location_total,262615.6988811493,3337
review_percentile,260962.00605773926,3576
orig_destination_distance,257877.25514411926,4375
prop_count,257168.84273147583,3875
promo_x_cheap,234287.8163433075,1866
prop_std_price,233536.26402664185,3612
query_hotel_count,231041.29953575134,1913
price_per_night_per_star,229304.01057052612,3531
price_vs_dest_mean,225195.5147705078,3222
log_price_z_score,219612.59476852417,2518
prop_book_rate,216035.2612400055,3200
query_star_mean,211157.70602226257,3125
price_per_night,210044.27890205383,3299
prop_mean_price,208759.99815940857,3036
price_per_guest,205860.03843307495,3440
prop_click_count,204271.48719787598,2215
dest_click_rate,201134.6853275299,3261
price_vs_max,200260.82069206238,3236
total_cost,200131.97131347656,3327
prop_book_given_click,196544.07918167114,3359
quality_rank_avg,190712.96796035767,3156
srch_booking_window,187586.2756652832,3026
dest_mean_price,187485.98956871033,2996
price_to_min_ratio,186942.5860710144,3012
dest_mean_star,181220.55148506165,2866
review_vs_dest_mean,180165.69569396973,2829
dest_book_rate,179825.01490592957,3095
location_total_rank_norm,172475.92147636414,2887
dest_mean_review,171514.69145202637,2857
query_price_std,167958.9574432373,2783
srch_destination_id,167321.22670555115,2981
review_rank_norm,167056.20462608337,2556
price_percentile,166197.7820072174,2232
price_per_person,163151.91045761108,2930
star_vs_mean,163147.38151741028,2419
value_score,163140.32825279236,2635
location1_rank_norm,160216.12677383423,2798
site_dest_book_rate,157259.00781059265,2826
star_percentile,152916.6893234253,2200
comp_advantage_rank_norm,151696.52626419067,2753
prop_log_historical_price,150369.35575675964,2400
star_vs_dest_mean,149861.87509918213,2411
price_per_star,147813.2428340912,2468
query_price_mean,146701.39665794373,2426
value_gap,146432.1627368927,2534
site_book_rate,145862.4797592163,2306
review_rank,139955.45107841492,1668
starrating_rank_norm,139947.3237991333,2149
price_vs_min,139392.73121643066,2270
comp_rate_pct_mean,130907.68132972717,2321
site_country_book_rate,125898.34315109253,2119
price_rank_norm,121716.4493484497,1901
log_distance,120501.72870254517,2013
country_book_rate,118397.35188674927,1883
price_per_room,117353.06942939758,1997
hour,115994.84394836426,2116
cpair_book_rate,112582.92694854736,1948
price_usd,108722.73610305786,1770
srch_query_affinity_score,108438.02427101135,1418
comp_rate_pct_max,108220.15045547485,1877
log_prop_count,104671.41544151306,1601
comp_rate_pct_min,95270.9707698822,1710
price_ratio_to_visitor_hist,93928.8707523346,1092
query_affinity_exp,88283.87338066101,1207
location_total_rank,88007.33015441895,1501
comp_advantage_rank,86653.60140037537,1387
location1_rank,83093.1173248291,1403
starrating_rank,73655.909948349,1102
price_diff_from_visitor_hist,68576.87496376038,910
star_review_product,66314.76332092285,721
distance_x_international,66225.59324264526,1075
abs_star_diff,61494.161838531494,814
visitor_location_country_id,59178.09486198425,1017
site_id,54581.20166397095,884
visitor_hist_adr_usd,53403.92951965332,722
prop_country_id,53195.00801086426,857
prop_review_score,52463.983921051025,476
month,51032.43556213379,940
star_diff,51031.833320617676,736
dayofweek,48756.08960342407,935
star_x_brand,45078.57312774658,519
visitor_hist_starrating,40266.46527862549,569
log_price,37340.017585754395,660
srch_length_of_stay,34538.98405075073,564
prop_starrating,33978.818714141846,123
comp_rate_count,32289.853324890137,584
comp_inv_count,32093.519577026367,573
total_guests,31660.579708099365,546
promotion_flag,28207.027099609375,151
srch_adults_count,28120.098308563232,459
srch_children_count,23124.685243606567,393
prop_brand_bool,22998.381465911865,225
comp_rate_sum,22404.382482528687,411
is_domestic,17567.8835105896,215
has_location_score2,17462.967445373535,17
n_best_flags,16089.49175453186,238
is_overpriced,11970.584186553955,59
comp_more_expensive_count,11843.53977394104,217
comp_no_inv_count,11048.214910507202,220
comp_rate_advantage,10279.000932693481,170
is_last_minute,9349.671585083008,116
comp_cheaper_count,8408.021213531494,160
srch_room_count,7783.952487945557,124
is_family,5567.726909637451,87
srch_saturday_night_bool,3630.176197052002,58
is_long_window,3462.430000305176,58
is_short_window,2779.896806716919,52
is_discounted,2672.2893981933594,26
review_is_zero,2090.231418609619,29
is_weekend_search,1472.3205070495605,27
has_distance,995.3061065673828,17
has_query_affinity,646.1490936279297,10
is_best_star,639.9125022888184,6
has_historical_price,532.3617057800293,8
is_best_location1,465.40770149230957,9
starrating_is_zero,438.7776107788086,4
is_best_review,291.27690505981445,5
is_cheapest,242.8704071044922,4
is_most_expensive,198.25559616088867,3
has_visitor_history,0.0,0
