feature,gain,split
prop_location_score2,1894428.5647239685,3926
prop_dest_book_rate,1036313.0273551941,4074
location2_rank_norm,867643.1503219604,3197
prop_click_rate,793267.1569786072,2923
price_vs_prop_mean,750928.2177009583,3058
prop_price_zscore,616391.1287555695,3097
prop_avg_position,545722.3888168335,4191
location2_rank,530914.1856422424,1922
value_score_rank,497196.12408065796,1785
price_ratio_to_hist,469248.6174983978,4181
prop_rel_rate,382162.3229827881,2217
loc2_vs_mean,364797.84310531616,3382
price_z_score,353669.74168395996,2653
price_diff_from_hist,344875.1487007141,3537
price_rank,310546.38763809204,1404
prop_site_book_rate,308974.8300590515,3361
price_vs_median,304703.86055755615,2407
dest_count,294709.326631546,2739
prop_location_score1,263801.1819267273,2504
value_score_rank_norm,245081.58183288574,2281
price_vs_mean,235553.76179504395,1994
loc1_vs_mean,231112.59870910645,2937
review_vs_mean,226589.51391601562,2579
location_total,225585.04670715332,2471
promo_x_cheap,221456.875957489,1492
query_hotel_count,211952.10089492798,1522
review_percentile,200146.64566802979,2460
prop_count,199450.28245925903,2732
orig_destination_distance,193411.85864257812,2955
log_price_z_score,190816.40425491333,1945
prop_std_price,187746.73263168335,2602
price_per_night_per_star,183472.89916419983,2492
prop_click_count,176251.72353935242,1611
price_vs_dest_mean,171721.41205215454,2247
prop_book_rate,168891.747215271,2197
query_star_mean,168717.35123062134,2191
prop_mean_price,165896.9224319458,2188
price_per_night,160987.51650238037,2257
dest_click_rate,156772.22572135925,2292
price_vs_max,153197.4089012146,2216
prop_book_given_click,152778.54831123352,2357
srch_booking_window,151323.41431808472,2179
price_per_guest,150910.22972297668,2337
dest_mean_price,147728.46173858643,2115
review_vs_dest_mean,146765.48705673218,2070
quality_rank_avg,145974.06114196777,2194
total_cost,144686.5429763794,2194
price_percentile,144355.2933998108,1623
review_rank_norm,138106.9976387024,1842
dest_book_rate,136958.61358642578,2135
dest_mean_star,135527.59031677246,1926
price_to_min_ratio,135180.80018615723,1949
dest_mean_review,128098.06237792969,1926
location_total_rank_norm,127226.64734268188,1921
location1_rank_norm,124802.19116210938,1970
review_rank,124018.8331413269,1283
value_score,123155.41073608398,1778
star_vs_mean,119958.45846557617,1625
query_price_std,119264.15351867676,1815
price_per_person,118885.18629837036,1946
prop_log_historical_price,118785.29724121094,1736
star_percentile,118720.35208511353,1533
star_vs_dest_mean,117677.14625167847,1753
site_dest_book_rate,115107.60040283203,1914
price_per_star,114685.03869247437,1718
site_book_rate,112671.96218109131,1610
srch_destination_id,112464.61870574951,1872
comp_advantage_rank_norm,111554.5047454834,1862
starrating_rank_norm,110360.41954040527,1523
query_price_mean,108349.6722869873,1584
value_gap,107813.26174926758,1669
comp_rate_pct_mean,103415.61034011841,1655
price_vs_min,98309.67812347412,1465
srch_query_affinity_score,97281.56080627441,1142
price_per_room,91691.0841217041,1398
price_rank_norm,89837.91480636597,1255
log_prop_count,89311.61680603027,1239
log_distance,88800.47285079956,1351
site_country_book_rate,88464.00471115112,1385
price_usd,87139.04499435425,1260
country_book_rate,87091.71783065796,1191
price_ratio_to_visitor_hist,83869.60677146912,923
cpair_book_rate,81789.11707305908,1301
comp_rate_pct_max,81147.94766998291,1299
hour,79508.25270462036,1349
query_affinity_exp,77970.189868927,982
comp_rate_pct_min,73821.83996200562,1196
comp_advantage_rank,72449.61170578003,1089
price_diff_from_visitor_hist,64746.11896896362,767
location_total_rank,61423.45499801636,963
location1_rank,60109.25766372681,942
starrating_rank,57418.464427948,761
star_review_product,55987.34926986694,537
abs_star_diff,53834.10633087158,685
visitor_hist_adr_usd,52386.9836730957,663
distance_x_international,50193.89094161987,726
prop_review_score,44808.02408218384,376
site_id,44037.91737365723,634
visitor_location_country_id,42450.0860042572,676
prop_country_id,42407.47103500366,602
star_diff,39918.94764709473,526
star_x_brand,38204.136989593506,387
prop_starrating,37946.20429992676,116
visitor_hist_starrating,37784.98966026306,489
month,35843.20880508423,596
dayofweek,31113.764038085938,551
srch_length_of_stay,30582.917304992676,432
log_price,29342.840503692627,467
promotion_flag,28482.049152374268,150
prop_brand_bool,24806.309421539307,201
comp_rate_count,24181.699241638184,402
total_guests,23856.803108215332,386
srch_adults_count,23476.562602996826,355
comp_inv_count,21629.9708404541,357
srch_children_count,18638.008323669434,291
is_domestic,17785.87432861328,198
comp_rate_sum,17708.351737976074,297
has_location_score2,17002.114177703857,15
n_best_flags,13621.269100189209,184
is_overpriced,12851.465599060059,54
comp_more_expensive_count,9924.528861999512,158
comp_no_inv_count,8836.289474487305,162
comp_rate_advantage,7785.526775360107,126
is_last_minute,7435.645729064941,86
comp_cheaper_count,7379.780612945557,126
srch_room_count,5727.304779052734,92
is_family,4124.980499267578,60
is_long_window,3257.1253967285156,51
is_discounted,2589.3047828674316,19
is_short_window,2507.62020111084,45
review_is_zero,2409.7740020751953,27
srch_saturday_night_bool,2324.825023651123,29
is_weekend_search,1577.4380989074707,23
is_best_location1,714.0501976013184,10
has_query_affinity,649.8391075134277,8
is_best_review,506.8938980102539,8
is_best_star,473.3466110229492,5
starrating_is_zero,452.9233093261719,6
has_distance,346.4878044128418,6
has_historical_price,306.3370933532715,5
is_most_expensive,163.11269760131836,3
is_cheapest,122.8010025024414,1
has_visitor_history,0.0,0
