feature,gain,split
prop_location_score2,1977859.9487113953,3209
prop_dest_book_rate,1053882.0257759094,2958
prop_click_rate,810528.0233917236,2377
price_vs_prop_mean,684768.528087616,2496
location2_rank,657741.8138160706,1608
prop_price_zscore,655774.3878593445,2752
prop_avg_position,522278.9072189331,3708
location2_rank_norm,498863.28651046753,2357
price_ratio_to_hist,445004.79819869995,3476
value_score_rank,411057.9609375,1443
prop_rel_rate,372734.3998069763,1840
price_z_score,353496.3833427429,2157
loc2_vs_mean,328459.3112373352,2563
price_diff_from_hist,304750.1702232361,2855
value_score_rank_norm,297112.87969589233,2072
price_rank,291275.7727355957,1241
price_vs_median,279239.419921875,2059
dest_count,264889.5354232788,2257
prop_location_score1,251777.66520309448,2086
prop_site_book_rate,250857.6610069275,2461
loc1_vs_mean,198214.0909576416,2225
promo_x_cheap,192942.17045211792,1219
review_vs_mean,191532.62620162964,1942
location_total,188596.3632698059,2088
price_vs_mean,181809.1621017456,1622
log_price_z_score,171483.335231781,1499
prop_count,171137.35049438477,2195
review_percentile,170836.16640472412,1893
orig_destination_distance,165563.33451080322,2301
query_hotel_count,160757.68775558472,1096
query_star_mean,156715.4472846985,1924
prop_std_price,155686.99613952637,2028
price_per_night_per_star,153318.02738952637,1918
prop_mean_price,149403.07907867432,1674
price_vs_dest_mean,146169.8581008911,1836
price_per_night,144488.69304275513,1816
price_percentile,141705.91048049927,1372
prop_click_count,136055.26008224487,1265
prop_book_rate,135781.8947944641,1668
dest_click_rate,134898.19675445557,1825
srch_booking_window,132933.82215499878,1782
quality_rank_avg,130296.9382019043,1741
review_vs_dest_mean,130292.94164276123,1682
price_vs_max,128743.40738296509,1634
value_score,128572.90088653564,1516
dest_book_rate,124214.69609451294,1658
prop_book_given_click,124110.09689712524,1824
total_cost,120012.49545288086,1663
dest_mean_price,118800.09938812256,1478
price_per_guest,117025.36029434204,1690
dest_mean_star,116912.3812789917,1501
review_rank,114781.1224975586,1037
review_rank_norm,108359.67542266846,1406
location_total_rank_norm,107610.21839523315,1487
query_price_std,106876.85725021362,1487
price_to_min_ratio,106185.20531845093,1488
dest_mean_review,105618.50720977783,1503
star_percentile,104304.90830230713,1202
star_vs_mean,104097.1496925354,1285
star_vs_dest_mean,99954.72452163696,1351
prop_log_historical_price,98599.20838928223,1326
price_vs_min,96339.24938583374,1219
value_gap,94016.03971481323,1321
price_per_star,93780.64462661743,1352
price_per_person,93398.6901435852,1381
location1_rank_norm,93277.71273422241,1347
srch_destination_id,92974.62368392944,1362
query_price_mean,88862.13812637329,1160
site_dest_book_rate,87661.57331466675,1298
comp_advantage_rank_norm,85439.56558227539,1310
price_per_room,84650.28940200806,1234
price_ratio_to_visitor_hist,84632.45742797852,949
starrating_rank_norm,82730.72463607788,1154
srch_query_affinity_score,80725.49599075317,883
price_rank_norm,80275.7389755249,971
log_prop_count,76464.64362716675,836
comp_rate_pct_mean,74307.27596282959,1129
query_affinity_exp,72711.81393051147,818
comp_rate_pct_min,71239.36883163452,1061
price_usd,69776.93315505981,913
log_distance,69306.5670967102,956
comp_rate_pct_max,68023.24591064453,993
hour,61508.3761138916,962
star_review_product,60164.92516326904,474
location1_rank,55197.81485748291,771
comp_advantage_rank,54507.991580963135,792
starrating_rank,54265.00258255005,616
visitor_hist_adr_usd,53151.87384414673,607
location_total_rank,51849.347690582275,746
price_diff_from_visitor_hist,51477.13862991333,579
has_location_score2,51174.19702911377,14
abs_star_diff,48838.80727767944,557
visitor_location_country_id,45578.874004364014,682
site_id,44753.704193115234,620
star_x_brand,42902.5619392395,331
distance_x_international,41364.69317626953,574
prop_country_id,38925.68525695801,517
star_diff,38870.10182571411,465
prop_review_score,38314.517906188965,343
promotion_flag,34375.434341430664,152
visitor_hist_starrating,33364.75310134888,427
month,30426.94361114502,476
log_price,28580.56753540039,401
srch_length_of_stay,25359.614868164062,339
total_guests,23660.604499816895,349
dayofweek,22767.422409057617,366
prop_starrating,20595.96636581421,83
comp_rate_count,20401.083892822266,305
prop_brand_bool,19550.243602752686,150
srch_adults_count,18638.038105010986,263
srch_children_count,18296.87889480591,259
is_domestic,17377.10694503784,170
comp_inv_count,17353.41801071167,246
comp_rate_sum,16994.27656173706,250
is_overpriced,12638.708362579346,55
n_best_flags,9938.40295791626,122
comp_more_expensive_count,8166.320915222168,116
comp_no_inv_count,6458.123096466064,113
comp_cheaper_count,6297.46696472168,107
srch_room_count,5886.928504943848,86
comp_rate_advantage,5037.949794769287,84
is_last_minute,4959.42208480835,57
is_family,3579.704090118408,49
review_is_zero,2258.587501525879,29
is_short_window,1823.3727951049805,32
srch_saturday_night_bool,1614.8358993530273,25
is_long_window,1582.253993988037,23
is_discounted,1538.800422668457,17
is_weekend_search,725.7566871643066,9
has_query_affinity,598.4713897705078,7
is_cheapest,450.87879180908203,6
starrating_is_zero,423.6507034301758,3
is_best_star,373.1141929626465,4
is_best_review,353.73869705200195,4
has_visitor_history,316.9977035522461,2
has_historical_price,215.07640075683594,4
is_best_location1,207.58049774169922,2
has_distance,162.2422981262207,3
is_most_expensive,108.79000091552734,1
