feature,gain,split
prop_location_score2,562580.0049686432,3370
prop_dest_book_rate,440626.46931648254,3089
location2_rank_norm,331116.1581802368,2626
price_vs_prop_mean,286957.9824256897,2781
prop_click_rate,274246.5211582184,2612
prop_price_zscore,263487.20778369904,2922
location2_rank,192917.41960334778,1459
prop_avg_position,159130.97123527527,3380
price_ratio_to_hist,155714.86715316772,3735
value_score_rank_norm,148265.89306545258,2401
loc2_vs_mean,141129.867685318,3028
price_z_score,129306.65320110321,2507
prop_rel_rate,112229.16391086578,1926
price_diff_from_hist,108686.25253295898,3145
prop_location_score1,101525.4301815033,2130
price_vs_median,99082.15541267395,2336
value_score_rank,95108.95892333984,1422
prop_site_book_rate,84238.45353412628,2498
loc1_vs_mean,81184.9131860733,2463
promo_x_cheap,77258.60583209991,1417
review_vs_mean,74603.89666557312,2392
price_vs_mean,68955.68563842773,1900
location_total,65985.18363952637,2181
price_vs_dest_mean,61096.04316329956,2295
review_percentile,60789.96076965332,2116
prop_mean_price,59741.33654880524,2022
log_price_z_score,58491.425159454346,1788
price_vs_max,57824.91979598999,2290
prop_std_price,57641.94647884369,2242
prop_count,56697.66428279877,2377
price_rank,53818.093297958374,1271
orig_destination_distance,53754.992133140564,2463
price_percentile,52455.73677158356,1638
price_per_night_per_star,52101.55191707611,2019
price_per_night,50905.71955013275,2150
star_vs_mean,50177.918729782104,1744
review_vs_dest_mean,49812.30547142029,2053
value_score,48986.182925224304,1848
prop_book_rate,46976.321308135986,1815
star_percentile,46648.038170814514,1663
price_per_guest,46354.186594963074,2083
prop_book_given_click,46331.09978866577,2094
total_cost,45051.57842922211,2015
quality_rank_avg,42406.66626358032,1853
review_rank_norm,41464.11733627319,1601
prop_click_count,39329.294447898865,1299
star_vs_dest_mean,36920.49831199646,1630
location_total_rank_norm,36254.52764701843,1639
prop_log_historical_price,36001.36022758484,1542
price_to_min_ratio,35956.130336761475,1676
price_ratio_to_visitor_hist,34892.65431022644,1229
price_vs_min,32943.26301193237,1401
price_per_person,32896.24127292633,1605
price_rank_norm,32751.90331554413,1216
comp_advantage_rank_norm,32275.117973327637,1598
value_gap,31945.411184310913,1440
price_per_star,31590.930722236633,1460
location1_rank_norm,31367.42184829712,1406
price_per_room,30360.496522903442,1429
starrating_rank_norm,29532.54114151001,1341
price_usd,26998.96350479126,1143
review_rank,26599.37778186798,925
log_prop_count,25906.224071502686,896
comp_rate_pct_mean,23508.28809738159,1148
log_distance,22860.18417739868,1067
location1_rank,22368.09729862213,919
price_diff_from_visitor_hist,22073.347890853882,800
comp_rate_pct_max,22035.545484542847,1021
comp_rate_pct_min,20848.5494222641,1000
prop_country_id,20774.789255142212,892
query_affinity_exp,20477.209071159363,747
srch_query_affinity_score,19193.928208351135,718
location_total_rank,18209.026831626892,807
star_review_product,18030.025742530823,584
distance_x_international,17351.57318878174,828
comp_advantage_rank,16480.9234085083,777
abs_star_diff,16474.632227897644,664
prop_review_score,15964.444427490234,441
has_location_score2,15441.3092212677,23
star_diff,14623.50357723236,578
starrating_rank,14469.1909532547,562
star_x_brand,14030.498964309692,403
promotion_flag,13481.610778808594,200
log_price,12385.172728538513,551
comp_rate_count,7074.762707710266,359
prop_starrating,7047.169629096985,164
prop_brand_bool,6510.382016181946,191
comp_inv_count,5121.075697898865,246
comp_rate_sum,5013.655497550964,224
is_domestic,3833.9939975738525,141
n_best_flags,3604.160901069641,162
comp_more_expensive_count,3152.609704017639,152
is_overpriced,3059.958791732788,47
comp_rate_advantage,1842.7424049377441,91
comp_cheaper_count,1823.4742975234985,91
comp_no_inv_count,1728.1550989151,95
review_is_zero,871.9616031646729,30
is_discounted,474.485803604126,16
starrating_is_zero,466.99920749664307,9
is_best_star,343.5608024597168,14
is_best_location1,245.7321014404297,14
has_historical_price,180.91910076141357,9
is_most_expensive,166.9797019958496,7
is_best_review,164.50389957427979,7
has_query_affinity,142.9569969177246,7
is_cheapest,21.842500686645508,1
visitor_hist_starrating,0.0,0
visitor_hist_adr_usd,0.0,0
site_id,0.0,0
visitor_location_country_id,0.0,0
srch_length_of_stay,0.0,0
is_weekend_search,0.0,0
srch_destination_id,0.0,0
srch_booking_window,0.0,0
hour,0.0,0
srch_saturday_night_bool,0.0,0
srch_adults_count,0.0,0
has_visitor_history,0.0,0
month,0.0,0
has_distance,0.0,0
dayofweek,0.0,0
srch_children_count,0.0,0
srch_room_count,0.0,0
query_price_mean,0.0,0
query_star_mean,0.0,0
query_price_std,0.0,0
query_hotel_count,0.0,0
is_family,0.0,0
is_long_window,0.0,0
is_short_window,0.0,0
total_guests,0.0,0
site_dest_book_rate,0.0,0
dest_book_rate,0.0,0
dest_click_rate,0.0,0
is_last_minute,0.0,0
dest_count,0.0,0
dest_mean_price,0.0,0
dest_mean_star,0.0,0
dest_mean_review,0.0,0
