feature,gain,split
prop_location_score2,1981019.6669502258,4428
prop_dest_book_rate,1055736.5045280457,4006
location2_rank_norm,874219.5703964233,3577
prop_click_rate,839606.6417312622,3287
price_vs_prop_mean,666852.086479187,3008
prop_price_zscore,611337.6903305054,3290
prop_avg_position,598438.5213432312,4634
location2_rank,506737.0448074341,1901
price_ratio_to_hist,502009.2391319275,4400
value_score_rank,471877.87032318115,1884
loc2_vs_mean,404694.3390426636,3527
price_diff_from_hist,390517.3415412903,3929
prop_rel_rate,342005.16094207764,2345
price_z_score,338633.88400650024,2566
dest_count,332348.8572463989,3331
prop_location_score1,316151.37868118286,2905
value_score_rank_norm,301295.81956100464,2490
price_rank,298639.16220092773,1443
prop_site_book_rate,295113.7105255127,3216
price_vs_median,271611.06045150757,2374
price_vs_mean,259244.07815933228,2123
loc1_vs_mean,241297.2740097046,3131
promo_x_cheap,235894.69425964355,1614
log_price_z_score,232614.3669204712,2226
review_vs_mean,218467.03400802612,2715
prop_count,218013.4504776001,2920
review_percentile,216249.56062316895,2412
orig_destination_distance,208837.72020721436,3176
prop_std_price,206586.70365905762,2969
query_hotel_count,204500.52571487427,1523
prop_mean_price,196860.63787460327,2318
query_star_mean,196657.76193237305,2631
location_total,190362.113822937,2435
price_vs_max,186674.2544555664,2698
price_per_night_per_star,185966.95607757568,2611
prop_book_given_click,178975.5482673645,2820
price_per_night,177682.17847824097,2444
prop_click_count,175451.271484375,1712
price_vs_dest_mean,171753.52630233765,2393
dest_click_rate,169668.57236480713,2549
prop_book_rate,166558.8007850647,2443
review_vs_dest_mean,161291.4590034485,2249
srch_booking_window,158087.214717865,2380
quality_rank_avg,156354.76441192627,2449
dest_mean_review,155856.9054813385,2387
dest_mean_star,153906.4309501648,2234
price_per_guest,151581.43915176392,2358
total_cost,150319.98555755615,2404
price_to_min_ratio,149772.8102874756,2275
dest_mean_price,149017.8392791748,2230
price_percentile,147159.65152740479,1680
dest_book_rate,146146.00867462158,2280
query_price_std,136007.6329612732,2082
star_percentile,134834.62448501587,1757
location_total_rank_norm,134510.50158691406,2120
review_rank_norm,133242.24726104736,1896
star_vs_mean,132616.04192733765,1812
value_score,130004.99180984497,1915
location1_rank_norm,128360.17696762085,2041
review_rank,128275.39657592773,1326
value_gap,126489.43453216553,1925
star_vs_dest_mean,125548.29413223267,1901
srch_destination_id,125474.84108352661,2071
comp_advantage_rank_norm,122927.19737625122,2070
site_dest_book_rate,120883.38822937012,1981
price_per_person,120172.03999328613,1964
price_per_star,118580.41190338135,1840
prop_log_historical_price,118386.77769088745,1741
price_vs_min,117328.82091522217,1702
comp_rate_pct_mean,106734.44607162476,1721
starrating_rank_norm,105389.31879425049,1573
price_rank_norm,104738.27754211426,1413
query_price_mean,104115.58634185791,1599
srch_query_affinity_score,98640.34589385986,1205
price_per_room,98280.63427352905,1582
price_usd,93767.81025314331,1367
price_ratio_to_visitor_hist,90613.69372177124,1094
log_distance,89651.97953414917,1385
comp_rate_pct_max,85481.92743301392,1415
query_affinity_exp,81795.17794036865,1022
comp_rate_pct_min,80625.76474380493,1338
star_review_product,80380.85049438477,645
hour,76240.14209747314,1288
log_prop_count,73340.56552124023,1121
comp_advantage_rank,71526.71244049072,1102
location1_rank,68445.09286499023,1031
price_diff_from_visitor_hist,62907.68692779541,740
location_total_rank,62598.153102874756,999
site_id,60381.89917755127,928
starrating_rank,59159.92444610596,778
visitor_location_country_id,58335.302307128906,933
visitor_hist_adr_usd,53439.59671020508,706
distance_x_international,53178.75331115723,808
prop_country_id,51791.26950454712,789
abs_star_diff,51586.80890274048,668
star_diff,50783.4573097229,661
prop_review_score,49143.00025558472,466
star_x_brand,44293.72465133667,402
visitor_hist_starrating,41607.969371795654,554
log_price,40478.27072143555,559
month,40131.45880508423,711
srch_length_of_stay,34384.18483734131,499
dayofweek,34027.712257385254,596
total_guests,31392.5532913208,486
comp_inv_count,28268.453022003174,448
comp_rate_count,28002.675323486328,461
prop_brand_bool,26849.290630340576,233
comp_rate_sum,26520.534744262695,430
promotion_flag,24213.503925323486,156
prop_starrating,24041.796310424805,109
srch_children_count,22370.8021774292,346
srch_adults_count,21995.06088256836,346
is_domestic,20471.34917449951,223
n_best_flags,15799.677585601807,195
is_overpriced,11204.797359466553,63
has_location_score2,8897.827766418457,9
