feature,gain,split
prop_location_score2,2082807.4792079926,5652
prop_dest_book_rate,1148467.937921524,5219
prop_click_rate,896790.3137779236,4258
prop_price_zscore,758385.4370613098,4747
price_vs_prop_mean,730528.3142089844,4049
location2_rank,723875.0506668091,2858
prop_avg_position,616626.1560459137,6267
location2_rank_norm,589648.3741474152,4500
price_ratio_to_hist,562984.6501235962,5952
prop_rel_rate,458715.2761287689,3412
value_score_rank,443753.7175979614,2282
price_z_score,422842.75243759155,3550
loc2_vs_mean,422043.2182922363,4695
price_diff_from_hist,390686.29615974426,4868
value_score_rank_norm,372422.75663375854,3593
dest_count,362532.59040260315,3812
prop_site_book_rate,348828.0593776703,4635
price_vs_median,339028.420501709,3320
price_rank,329345.7122154236,1912
prop_location_score1,302224.9509963989,3206
loc1_vs_mean,288263.902797699,4074
orig_destination_distance,284022.8660335541,4712
review_vs_mean,270909.7362937927,3609
location_total,256078.36346817017,3497
prop_count,252955.57689476013,3938
price_vs_mean,245264.11798667908,2868
prop_std_price,245252.75728416443,3874
review_percentile,233344.3020362854,3211
query_star_mean,232884.12132644653,3556
price_vs_dest_mean,227779.57649230957,3438
price_per_night_per_star,226170.021150589,3447
dest_click_rate,222747.37011909485,3708
prop_mean_price,221323.5825061798,3111
prop_book_rate,221295.86867713928,3491
query_hotel_count,215143.56351852417,1818
log_price_z_score,214853.5621395111,2496
price_per_night,212890.97944450378,3282
quality_rank_avg,211913.79780197144,3551
promo_x_cheap,211400.44026184082,1793
price_vs_max,210998.0479850769,3474
srch_booking_window,206568.58238983154,3366
prop_book_given_click,205646.54034614563,3595
review_vs_dest_mean,199688.65811538696,3102
dest_mean_star,196683.27811431885,3068
dest_mean_price,196551.11640167236,3001
total_cost,194799.01329040527,3400
dest_book_rate,189015.4247493744,3093
value_score,188634.32145309448,2767
price_per_guest,187737.80588531494,3211
price_percentile,183427.81183052063,2383
price_to_min_ratio,179347.1140537262,3045
query_price_std,177960.93047714233,2919
dest_mean_review,173688.70801353455,2923
site_dest_book_rate,173025.60781860352,3029
location_total_rank_norm,172854.41438674927,2956
price_per_person,169262.24550628662,2974
comp_advantage_rank_norm,168657.5454940796,3026
srch_destination_id,168059.7491569519,2960
prop_click_count,166200.26788520813,1996
review_rank_norm,162086.87183952332,2565
star_vs_mean,158231.67521095276,2323
location1_rank_norm,158125.5439300537,2760
value_gap,155927.877450943,2641
price_vs_min,155912.18760871887,2461
star_percentile,154984.65200424194,2191
star_vs_dest_mean,154013.05292892456,2503
prop_log_historical_price,153710.04499053955,2506
price_per_star,148322.06117248535,2537
query_price_mean,147499.18913269043,2394
review_rank,147041.05331802368,1745
price_per_room,139688.56069374084,2406
starrating_rank_norm,135964.14127349854,2267
comp_rate_pct_mean,124010.424036026,2188
price_rank_norm,122048.09868240356,1837
hour,114771.1964263916,2085
log_distance,113714.98928260803,1873
price_usd,110318.7493724823,1843
log_prop_count,109663.77577972412,1585
comp_rate_pct_min,109659.33913993835,1889
comp_rate_pct_max,107964.38645553589,1863
srch_query_affinity_score,105896.45360946655,1370
price_ratio_to_visitor_hist,98506.8780708313,1230
location_total_rank,92491.46659088135,1578
query_affinity_exp,92242.15908813477,1238
location1_rank,90050.71300697327,1524
comp_advantage_rank,86746.06464004517,1463
star_review_product,73180.21054267883,772
site_id,72645.3654499054,1172
starrating_rank,70806.04007720947,1037
visitor_location_country_id,70100.36985206604,1234
distance_x_international,68642.21699333191,1158
prop_country_id,64928.52390289307,1051
visitor_hist_adr_usd,63648.274379730225,861
price_diff_from_visitor_hist,61900.10740852356,809
abs_star_diff,61719.002546310425,834
month,53099.43258666992,992
star_x_brand,52999.0477142334,568
has_location_score2,51750.34206390381,18
dayofweek,48510.156328201294,953
prop_review_score,47683.914390563965,497
star_diff,46986.75591659546,667
visitor_hist_starrating,45149.240032196045,659
log_price,42772.6227016449,735
promotion_flag,37483.08920288086,196
srch_length_of_stay,37227.84133529663,582
comp_inv_count,34556.463468551636,613
total_guests,34182.05681228638,586
comp_rate_count,30834.221883773804,543
srch_adults_count,27960.867670059204,462
srch_children_count,26860.61664581299,431
comp_rate_sum,25748.216859817505,447
prop_brand_bool,23120.798608779907,221
is_domestic,19071.492727279663,228
n_best_flags,15398.663219451904,220
prop_starrating,15030.214881896973,117
comp_more_expensive_count,12518.42901802063,212
comp_no_inv_count,11794.766300201416,226
is_overpriced,11011.061241149902,65
comp_rate_advantage,9386.217491149902,173
comp_cheaper_count,9048.726930618286,169
is_last_minute,8116.329191207886,107
srch_room_count,7392.086530685425,130
is_short_window,3927.2664012908936,70
is_family,3771.0008220672607,61
is_long_window,3361.8239002227783,59
srch_saturday_night_bool,2558.481803894043,38
review_is_zero,2347.7900009155273,29
is_weekend_search,2175.954803466797,42
is_discounted,1731.2082023620605,25
has_query_affinity,1266.2408065795898,24
is_best_location1,1090.7852954864502,15
is_best_review,706.9635925292969,14
has_historical_price,601.0785064697266,7
is_best_star,428.5137023925781,7
has_distance,310.0474967956543,5
starrating_is_zero,194.18309783935547,3
is_most_expensive,109.25149917602539,2
has_visitor_history,47.25699996948242,1
is_cheapest,0.0,0
