feature,gain,split
prop_location_score2,2034312.7663879395,4229
prop_dest_book_rate,1106149.534236908,3819
prop_click_rate,839468.8216247559,3158
price_vs_prop_mean,712905.5408630371,2994
prop_price_zscore,686445.8135910034,3506
location2_rank,681480.861667633,2054
prop_avg_position,572873.0135803223,4650
location2_rank_norm,533880.9951782227,3207
price_ratio_to_hist,481483.15715408325,4285
value_score_rank,431274.75634765625,1766
prop_rel_rate,400875.82093048096,2365
price_z_score,380322.18186187744,2785
loc2_vs_mean,360505.69274902344,3275
price_diff_from_hist,330447.93381881714,3439
value_score_rank_norm,320191.8010292053,2532
dest_count,312330.8829727173,2899
price_rank,306357.95166015625,1468
price_vs_median,301976.0427207947,2486
prop_site_book_rate,284551.1753501892,3208
prop_location_score1,269917.7745132446,2429
loc1_vs_mean,226251.80868148804,2854
review_vs_mean,217532.7494392395,2517
orig_destination_distance,212122.41192245483,3212
prop_count,206039.05892181396,2858
promo_x_cheap,203183.73747634888,1419
location_total,202621.3902168274,2447
price_vs_mean,201614.77798843384,2073
log_price_z_score,199225.76978683472,1860
query_hotel_count,195296.1332130432,1441
review_percentile,193517.06129074097,2367
prop_std_price,188785.94650268555,2683
query_star_mean,182462.45655441284,2461
prop_mean_price,180473.78619766235,2297
price_vs_dest_mean,179550.149269104,2430
price_per_night_per_star,176747.62246322632,2444
dest_click_rate,167230.98988723755,2502
prop_book_rate,165830.67612075806,2312
prop_book_given_click,164540.56733322144,2562
price_per_night,164512.29698562622,2284
price_vs_max,161945.57012939453,2372
review_vs_dest_mean,160129.28596878052,2280
srch_booking_window,156182.3593940735,2259
quality_rank_avg,155475.68323516846,2373
price_percentile,150020.60236740112,1683
dest_mean_price,148855.10218429565,2065
total_cost,147536.27848434448,2306
value_score,145399.539768219,1963
prop_click_count,143380.1665534973,1515
dest_mean_star,142639.6358718872,2033
price_per_guest,142240.53369140625,2173
dest_book_rate,139289.7081336975,2070
price_to_min_ratio,132956.92198944092,2062
dest_mean_review,132574.16816711426,2030
review_rank_norm,130317.49403762817,1791
location_total_rank_norm,130313.47368240356,1987
star_percentile,128447.29942703247,1663
query_price_std,126762.0005607605,1913
review_rank,126420.20307922363,1276
star_vs_mean,123312.55533981323,1632
star_vs_dest_mean,121931.5259552002,1778
comp_advantage_rank_norm,121350.88185119629,1996
price_vs_min,119595.95932769775,1674
location1_rank_norm,118280.10716629028,1858
value_gap,118176.97827148438,1793
price_per_person,116009.45285797119,1882
prop_log_historical_price,115881.19460296631,1688
site_dest_book_rate,113277.9017791748,1868
srch_destination_id,112566.07600784302,1836
price_per_star,112434.18441009521,1710
starrating_rank_norm,109147.73467254639,1615
query_price_mean,108910.36403274536,1572
price_per_room,100182.97325134277,1561
price_rank_norm,96146.98586273193,1286
comp_rate_pct_mean,95319.75383758545,1565
srch_query_affinity_score,92970.28477096558,1081
price_ratio_to_visitor_hist,91134.62796783447,1073
log_prop_count,90839.82169723511,1136
price_usd,86964.45147323608,1287
query_affinity_exp,82874.94467163086,969
comp_rate_pct_max,82696.37412261963,1347
log_distance,82604.64359283447,1255
comp_rate_pct_min,80248.57567214966,1275
hour,80113.92784881592,1353
location1_rank,66580.169921875,1040
location_total_rank,65887.27416229248,1015
comp_advantage_rank,63298.70759963989,982
star_review_product,62032.97412490845,555
starrating_rank,60488.95598220825,824
visitor_hist_adr_usd,59301.16614532471,761
visitor_location_country_id,57121.85431289673,923
price_diff_from_visitor_hist,56344.85021972656,699
abs_star_diff,53367.16132354736,656
distance_x_international,53109.53561401367,816
site_id,51124.83539199829,791
has_location_score2,50333.28218841553,18
prop_country_id,48389.86211395264,716
prop_review_score,46026.27652359009,414
star_x_brand,45069.27378845215,416
visitor_hist_starrating,42384.33659744263,573
star_diff,41476.5348815918,532
month,38382.57681655884,662
log_price,35941.23027420044,552
promotion_flag,35063.12619018555,134
dayofweek,30758.82192993164,569
total_guests,29591.018577575684,485
srch_length_of_stay,26900.807552337646,393
comp_inv_count,24542.424194335938,391
comp_rate_count,23266.465393066406,387
prop_brand_bool,20982.66951751709,164
srch_adults_count,20216.893802642822,312
srch_children_count,19764.06662750244,309
comp_rate_sum,18677.364673614502,300
is_domestic,18079.285526275635,204
prop_starrating,15693.68427658081,96
n_best_flags,15076.031379699707,200
comp_more_expensive_count,10710.70541381836,159
is_overpriced,10046.26067352295,54
comp_rate_advantage,8855.478199005127,152
comp_no_inv_count,8701.975498199463,160
comp_cheaper_count,7015.8250160217285,122
srch_room_count,6950.107978820801,115
is_last_minute,6733.53870010376,92
is_short_window,2888.1682052612305,52
is_family,2785.8742904663086,45
is_long_window,2602.581199645996,43
review_is_zero,2529.9271087646484,34
is_discounted,1316.4896926879883,17
has_query_affinity,1075.601505279541,16
is_weekend_search,890.5495948791504,17
is_best_star,635.6992950439453,7
is_best_location1,580.9013061523438,10
srch_saturday_night_bool,447.7507972717285,9
has_distance,443.12369537353516,8
has_historical_price,331.7756996154785,6
is_cheapest,304.8788032531738,4
has_visitor_history,262.1570129394531,1
is_best_review,207.49229431152344,4
starrating_is_zero,129.97000122070312,1
is_most_expensive,122.29240417480469,2
