segmentation,segment,dest_click_bucket,n_searches,n_rows,book_rate_per_search,ndcg_at_5,recall_at_5,mbr
domestic,international,low,3233,88142,0.7197649242189916,0.3808919302978762,0.5874516544907606,6.6308551783412115
domestic,international,mid,5851,147324,0.6561271577508119,0.3628517447276321,0.5616045845272206,7.096639749934879
domestic,international,high,5200,110686,0.6576923076923077,0.4332718087340684,0.6596491228070176,5.663157894736842
domestic,domestic,low,10142,288485,0.7413725103529876,0.3780575301520411,0.5797313472536242,6.955978188588908
domestic,domestic,mid,7497,189857,0.6866746698679472,0.39848393825271483,0.6097513597513597,6.310411810411811
domestic,domestic,high,8142,153814,0.7024072709408008,0.46366620358303384,0.7083406189893338,4.841930407413884
length_of_stay,los_le2,low,9658,273714,0.786187616483744,0.3894640011932815,0.5885684182799947,6.816278150928487
length_of_stay,los_le2,mid,8546,214774,0.741984554177393,0.3995365533424568,0.6017978236871157,6.437628134363665
length_of_stay,los_le2,high,9177,176669,0.7501362100904435,0.467596397870421,0.7014816966879721,4.9796629866356765
length_of_stay,los_3plus,low,3658,102913,0.6159103335155823,0.3550045433464516,0.5565912117177098,7.114957833999112
length_of_stay,los_3plus,mid,4777,122407,0.5539041239271509,0.3547489267844466,0.5589569160997733,7.14625850340136
length_of_stay,los_3plus,high,4143,87831,0.5442915761525464,0.41908179432920734,0.6554323725055432,5.670509977827051
candidate_count,low,low,2276,28995,0.7201230228471002,0.524887143743639,0.7742525930445393,3.792556436851739
candidate_count,low,mid,3719,46445,0.6574347942995429,0.5054995371085521,0.7521472392638037,3.9280163599182005
candidate_count,low,high,7168,89867,0.6999162946428571,0.5318730623864373,0.788319712975882,3.7061989236595574
candidate_count,mid,low,2266,61571,0.7193292144748455,0.37089490797731645,0.5699386503067485,6.57361963190184
candidate_count,mid,mid,3709,101148,0.6656780803451064,0.35232084035656713,0.5581206966383151,7.006885378695828
candidate_count,mid,high,3998,105900,0.6660830415207604,0.377046294046649,0.5936913255726625,6.414194517461509
candidate_count,high,low,8774,286061,0.7496010941417826,0.34476395514576147,0.5359586437585525,7.732248745628706
candidate_count,high,mid,5895,189588,0.6909245122985581,0.32610080283710335,0.5101890498404125,8.059415664129634
candidate_count,high,high,2154,68733,0.6773444753946146,0.3284544207884284,0.5284441398217957,7.808087731322824
