srch_id,prop_id,price_usd_booked,price_rank_norm_booked,price_vs_mean_booked,price_vs_median_booked,price_vs_prop_mean_booked,price_ratio_to_hist_booked,value_score_booked,value_score_rank_norm_booked,quality_rank_avg_booked,prop_starrating_booked,prop_review_score_booked,prop_brand_bool_booked,promotion_flag_booked,prop_location_score1_booked,prop_location_score2_booked,location1_rank_norm_booked,location2_rank_norm_booked,review_rank_norm_booked,star_percentile_booked,prop_count_booked,prop_click_rate_booked,prop_book_rate_booked,prop_dest_book_rate_booked,prop_avg_position_booked,orig_destination_distance_booked,comp_rate_advantage_booked,comp_no_inv_count_booked,seg_dest,seg_cand,seg_los,seg_dom,booked_v6_pos,booked_v4_pos,prop_id_wrong,price_usd_wrong,price_rank_norm_wrong,price_vs_mean_wrong,price_vs_median_wrong,price_vs_prop_mean_wrong,price_ratio_to_hist_wrong,value_score_wrong,value_score_rank_norm_wrong,quality_rank_avg_wrong,prop_starrating_wrong,prop_review_score_wrong,prop_brand_bool_wrong,promotion_flag_wrong,prop_location_score1_wrong,prop_location_score2_wrong,location1_rank_norm_wrong,location2_rank_norm_wrong,review_rank_norm_wrong,star_percentile_wrong,prop_count_wrong,prop_click_rate_wrong,prop_book_rate_wrong,prop_dest_book_rate_wrong,prop_avg_position_wrong,orig_destination_distance_wrong,comp_rate_advantage_wrong,comp_no_inv_count_wrong
52,59239,60.8,0.21875,-27.258442,-24.45,-23.403927,,0.72746617,0.65625,0.26041666,3,4.5,1,0,3.95,0.2304,0.15625,0.4375,0.03125,0.296875,28,0.04033533,0.014349799,0.01631938,19.09091,974.25,0,0,high_dest,high_cand,los_le2,international,5,6,108101,130.85,0.875,42.791565,45.600006,-30.795746,,1.0242407,0.03125,0.072916664,5,4.5,1,1,3.95,0.341,0.15625,0.03125,0.03125,1.0,40,0.14770642,0.09760412,0.0709683,6.290323,973.98,0,0
106,39675,180.0,0.94736844,67.36842,71.0,44.51544,,0.5770899,0.21052632,0.15789473,3,4.5,0,1,2.56,0.4089,0.36842105,0.15789473,0.05263158,0.92105263,33,0.10062618,0.044956956,0.04258098,1.8636364,155.61,0,0,high_dest,low_cand,los_le2,domestic,4,2,92570,119.0,0.57894737,6.3684235,10.0,15.7625885,,0.6266329,0.05263158,0.2631579,3,3.5,1,1,2.56,0.4409,0.36842105,0.10526316,0.36842105,0.92105263,58,0.24249373,0.191276,0.22342238,1.425,155.53,0,0
118,86727,99.0,0.61290324,-4.6774216,6.0,-7.2351,,0.6514417,0.41935483,0.11827957,3,4.5,1,0,3.04,,0.16129032,,0.06451613,0.61290324,102,0.032874614,0.029032487,0.010670363,18.075949,278.46,0,0,low_dest,high_cand,los_3plus,domestic,23,23,17408,82.0,0.2580645,-21.677422,-11.0,5.5289383,,0.67891115,0.19354838,0.1827957,3,4.5,1,1,2.94,0.3668,0.3548387,0.09677419,0.06451613,0.61290324,151,0.106847785,0.09299607,0.12605497,11.130081,277.93,-2,0
143,129378,129.0,0.375,-11.125,-13.0,38.341034,0.9898642,0.6163284,0.25,0.375,3,4.0,1,0,3.33,0.2995,0.125,0.125,0.75,0.625,135,0.038420904,0.017165383,0.00577978,15.46,,-1,0,low_dest,low_cand,los_le2,domestic,2,2,136922,85.0,0.125,-55.125,-57.0,3.5759735,0.92556715,0.44899958,0.875,0.7083333,2,2.0,1,0,3.3,0.113,0.25,0.5,1.0,0.1875,77,0.012518217,0.0077783954,0.010275165,25.826923,,0,0
151,103654,151.33,0.5,-110.63335,-72.865005,24.316566,,0.79585373,0.5,0.6666667,4,3.0,0,1,0.69,0.0742,0.6666667,0.8333333,0.8333333,0.5,70,0.033394493,0.008322883,0.010275165,6.5454545,,-1,0,high_dest,low_cand,los_le2,international,5,5,11408,132.92,0.33333334,-129.04335,-91.27501,-28.347427,,0.81678617,0.33333334,0.3888889,4,3.5,0,1,1.1,0.4189,0.16666667,0.33333334,0.5,0.5,105,0.08399592,0.043202136,0.16491967,12.243902,,-2,0
175,78541,124.63,0.33333334,-62.644844,-67.62,-17.312798,0.7829778,0.82758486,0.24242425,0.33333334,4,4.5,1,0,2.56,0.0038,0.72727275,0.90909094,0.060606062,0.6212121,233,0.046918057,0.04118741,0.048455946,8.342246,38.82,0,0,low_dest,high_cand,los_le2,domestic,9,10,115048,192.25,0.5151515,4.9751587,0.0,6.6637726,0.7548748,0.9498508,0.030303031,0.05050505,5,4.5,1,0,4.51,0.1471,0.060606062,0.15151516,0.060606062,0.92424244,522,0.09119465,0.07578313,0.069265656,5.070588,44.28,-1,0
190,8937,144.0,0.5,-7.285721,0.0,-38.29242,0.74812376,1.004675,0.14285715,0.11904762,5,4.5,0,0,4.98,,0.14285715,,0.14285715,0.85714287,99,0.049143016,0.014203786,0.009566532,19.971428,6903.31,0,0,high_dest,low_cand,los_3plus,international,4,6,53038,150.0,0.71428573,-1.2857208,6.0,-12.0065155,0.69117326,0.7972448,0.85714287,0.4047619,4,4.5,0,0,4.42,0.7979,0.64285713,0.14285715,0.14285715,0.35714287,109,0.11035575,0.07793013,0.14258099,6.4157305,6903.68,0,0
194,54111,182.0,0.46153846,-8.07692,-11.0,27.269836,1.2386311,0.0,0.6923077,0.30769232,0,4.0,1,0,3.14,0.2837,0.07692308,0.53846157,0.15384616,0.23076923,61,0.08065329,0.04211306,0.059932355,14.530612,1177.95,0,0,high_dest,low_cand,los_3plus,domestic,8,6,4548,209.0,0.6923077,18.92308,16.0,49.310272,1.1645494,0.561051,0.15384616,0.102564104,3,4.0,0,0,3.14,0.5143,0.07692308,0.07692308,0.15384616,0.9230769,107,0.2068573,0.18125758,0.23788281,6.5,1178.03,0,0
242,17690,53.0,0.0625,-63.46875,-58.0,-13.261787,,0.5013808,0.8125,0.75,2,2.5,1,1,1.1,,0.5625,,0.90625,0.140625,56,0.05045871,0.032933585,0.01733934,11.395349,1159.02,0,0,low_dest,high_cand,los_le2,domestic,14,11,123169,99.0,0.34375,-17.46875,-12.0,-26.095764,,0.6514417,0.375,0.36458334,3,3.0,0,0,1.79,0.3665,0.0625,0.03125,0.75,0.515625,59,0.037521902,0.02058751,0.075142905,14.0,1163.41,0,0
297,38088,167.0,0.30769232,-30.15384,-23.0,99.75511,,0.3903228,0.9230769,0.5897436,2,3.0,1,0,2.3,0.7352,0.23076923,0.07692308,0.7692308,0.23076923,92,0.0519627,0.04780564,0.01981639,23.368422,626.2,-2,0,low_dest,low_cand,los_le2,domestic,2,2,37763,199.0,0.61538464,1.8461609,9.0,77.076614,,0.5662175,0.46153846,0.46153846,3,2.5,1,0,2.3,0.7339,0.23076923,0.15384616,0.9230769,0.61538464,65,0.07725736,0.029813562,0.018495297,20.065218,626.2,-2,0
