srch_id,prop_id,booked_v4_pos,booked_v6_pos,v6_helps,v6_hurts,v6_top5_only,v4_top5_only,seg_dest,seg_cand,seg_los,seg_dom,prop_click_rate,prop_dest_book_rate,prop_count,price_vs_prop_mean,value_score_rank_norm,price_rank_norm,review_rank_norm,is_domestic,srch_length_of_stay
6,104251,1,1,0,0,0,0,,,,,0.02849892,0.027742945,17,14.518234,0.2,0.8,0.6,1,1
52,59239,6,5,1,0,1,0,high_dest,high_cand,los_le2,international,0.04033533,0.01631938,28,-23.403927,0.65625,0.21875,0.03125,0,2
106,39675,2,4,0,1,0,0,high_dest,low_cand,los_le2,domestic,0.10062618,0.04258098,33,44.51544,0.21052632,0.94736844,0.05263158,1,1
118,86727,23,23,0,0,0,0,low_dest,high_cand,los_3plus,domestic,0.032874614,0.010670363,102,-7.2351,0.41935483,0.61290324,0.06451613,1,3
143,129378,2,2,0,0,0,0,low_dest,low_cand,los_le2,domestic,0.038420904,0.00577978,135,38.341034,0.25,0.375,0.75,1,1
151,103654,5,5,0,0,0,0,high_dest,low_cand,los_le2,international,0.033394493,0.010275165,70,24.316566,0.5,0.5,0.8333333,0,1
175,78541,10,9,1,0,0,0,low_dest,high_cand,los_le2,domestic,0.046918057,0.048455946,233,-17.312798,0.24242425,0.33333334,0.060606062,1,1
184,136797,1,1,0,0,0,0,,,,,0.0501915,0.26155955,176,57.730804,0.75,0.625,0.25,0,1
185,106817,1,1,0,0,0,0,,,,,0.25168774,0.10924765,23,-28.106949,0.0625,0.5625,0.1875,0,4
190,8937,6,4,1,0,1,0,high_dest,low_cand,los_3plus,international,0.049143016,0.009566532,99,-38.29242,0.14285715,0.5,0.14285715,0,3
194,54111,6,8,0,1,0,0,high_dest,low_cand,los_3plus,domestic,0.08065329,0.059932355,61,27.269836,0.6923077,0.46153846,0.15384616,1,5
226,87446,1,1,0,0,0,0,,,,,0.07025591,0.099316046,46,-26.370438,0.030303031,0.030303031,0.5151515,1,4
242,17690,11,14,0,1,0,0,low_dest,high_cand,los_le2,domestic,0.05045871,0.01733934,56,-13.261787,0.8125,0.0625,0.90625,1,2
297,38088,2,2,0,0,0,0,low_dest,low_cand,los_le2,domestic,0.0519627,0.01981639,92,99.75511,0.9230769,0.30769232,0.7692308,1,2
322,118456,21,23,0,1,0,0,low_dest,high_cand,los_le2,domestic,0.034076013,0.027742945,68,15.598816,0.6666667,0.93939394,0.45454547,1,1
325,41261,1,1,0,0,0,0,,,,,0.04560755,0.10351952,109,-2.0699158,0.27272728,0.27272728,0.72727275,1,1
413,131410,8,11,0,1,0,0,low_dest,mid_cand,los_le2,international,0.046388905,0.04932177,236,21.563057,0.115384616,0.65384614,0.3846154,0,2
428,79070,1,1,0,0,0,0,,,,,0.037733052,0.027742945,32,-75.166245,0.3529412,0.9411765,0.23529412,1,3
431,98457,31,29,1,0,0,0,low_dest,high_cand,los_le2,domestic,0.022166833,0.014450775,662,62.19606,0.6875,0.625,0.21875,1,1
