test_id,phase,n_members,members_added,weights_added,v6_weight,total_added_weight,ndcg5,recall1,recall5,mean_booked_rank,delta_vs_v6_loo9,delta_vs_v4_anchor
v6+pool_cb_rank_C_deeper+struct_rank_xendcg_regularized+cb_rank_A+xendcg_reg_seed42@0.075each,7_pool_n4,5,cb_rank_C_deeper+struct_rank_xendcg_regularized+cb_rank_A+xendcg_reg_seed42,"0.0750,0.0750,0.0750,0.0750",0.7,0.3,0.40979162818675735,0.2414914914914915,0.6244101244101244,6.1491491491491495,0.0008316281867573605,0.0057816281867573704
v6+pool_cb_rank_C_deeper+struct_rank_xendcg_regularized+xendcg_reg_seed42@0.075each,7_pool_n3,4,cb_rank_C_deeper+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0750,0.0750,0.0750",0.775,0.22499999999999998,0.4097186295589439,0.24091949091949091,0.6246961246961247,6.152080652080652,0.0007586295589439018,0.005708629558943912
v6+pool_cb_rank_C_deeper+xendcg_conservative+cb_rank_A+xendcg_reg_seed42@0.05each,7_pool_n4,5,cb_rank_C_deeper+xendcg_conservative+cb_rank_A+xendcg_reg_seed42,"0.0500,0.0500,0.0500,0.0500",0.8,0.2,0.4097080452396987,0.240990990990991,0.6248033748033748,6.158658658658658,0.0007480452396987358,0.005698045239698746
v6+pool_xendcg_conservative+cb_rank_A+xendcg_reg_seed42@0.075each,7_pool_n3,4,xendcg_conservative+cb_rank_A+xendcg_reg_seed42,"0.0750,0.0750,0.0750",0.775,0.22499999999999998,0.4096817180178177,0.24077649077649077,0.6246603746603746,6.156084656084656,0.0007217180178177296,0.0056717180178177395
v6+pool_struct_rank_xendcg_regularized+cb_rank_A+xendcg_reg_seed42@0.075each,7_pool_n3,4,struct_rank_xendcg_regularized+cb_rank_A+xendcg_reg_seed42,"0.0750,0.0750,0.0750",0.775,0.22499999999999998,0.40967700357666226,0.24102674102674101,0.6241598741598742,6.154046904046904,0.0007170035766622673,0.005667003576662277
v6+pool_cb_rank_C_deeper+cb_rank_A+xendcg_reg_seed42@0.075each,7_pool_n3,4,cb_rank_C_deeper+cb_rank_A+xendcg_reg_seed42,"0.0750,0.0750,0.0750",0.775,0.22499999999999998,0.40967098691921433,0.240990990990991,0.6245888745888746,6.158193908193908,0.0007109869192143403,0.00566098691921435
v6+pool_xendcg_conservative+cb_rank_A@0.075each,7_pool_n2,3,xendcg_conservative+cb_rank_A,"0.0750,0.0750",0.85,0.15,0.4096516734934585,0.2408122408122408,0.6246603746603746,6.162948662948663,0.0006916734934585,0.00564167349345851
v6+pool_cb_rank_C_deeper+xendcg_conservative+xendcg_reg_seed42@0.075each,7_pool_n3,4,cb_rank_C_deeper+xendcg_conservative+xendcg_reg_seed42,"0.0750,0.0750,0.0750",0.775,0.22499999999999998,0.40965110373273067,0.24045474045474047,0.6250893750893751,6.154046904046904,0.0006911037327306802,0.00564110373273069
v6+pool_struct_rank_xendcg_regularized+cb_rank_A+xendcg_reg_seed42@0.05each,7_pool_n3,4,struct_rank_xendcg_regularized+cb_rank_A+xendcg_reg_seed42,"0.0500,0.0500,0.0500",0.85,0.15000000000000002,0.4096455168833693,0.2408122408122408,0.6248748748748749,6.162769912769913,0.0006855168833693193,0.005635516883369329
v6+pool_cb_rank_C_deeper+struct_rank_xendcg_regularized+xendcg_reg_seed42@0.05each,7_pool_n3,4,cb_rank_C_deeper+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0500,0.0500,0.0500",0.85,0.15000000000000002,0.40963997676174935,0.2408122408122408,0.6251251251251251,6.161018161018161,0.0006799767617493568,0.005629976761749367
