feature,importance
prop_location_score2,11.517662124184875
prop_dest_book_rate,7.94835204541706
value_score_rank,7.705389144333286
query_hotel_count,5.73835650245014
loc2_vs_mean,5.286783832520997
location2_rank,4.922829413280206
price_rank,4.670634589887342
prop_avg_position,4.360719485104716
prop_rel_rate,2.887902045280401
price_ratio_to_hist,2.1740646647439688
location2_rank_norm,2.138382472918228
price_vs_mean,1.9532119272484778
prop_book_rate,1.8691774386176472
price_vs_median,1.840147353017754
price_diff_from_hist,1.7509383745849856
price_z_score,1.6918259888401925
has_location_score2,1.634024786790785
promo_x_cheap,1.5418148426453357
price_vs_prop_mean,1.3687575626737176
prop_price_zscore,1.34687832741111
prop_location_score1,1.3436948920163085
review_rank,1.3150889203811744
review_percentile,1.1259418117314404
prop_click_rate,1.1194859628289258
dest_count,1.089734482317843
total_cost,1.0446925489536756
srch_booking_window,1.0439463139724292
star_vs_mean,0.9241547594262498
value_score_rank_norm,0.8858437097237811
price_per_night,0.6666130216461907
review_vs_mean,0.6505996337238091
price_vs_min,0.6454284269842454
prop_site_book_rate,0.6133742095258448
is_discounted,0.5901957880244928
price_vs_dest_mean,0.5203481841444384
srch_length_of_stay,0.5098410176508624
dest_click_rate,0.4783696214924451
is_overpriced,0.4574391776314606
loc1_vs_mean,0.4493458640441981
review_vs_dest_mean,0.442364193600219
prop_mean_price,0.4420873511337473
price_ratio_to_visitor_hist,0.4392377063154274
prop_review_score,0.43787054536041614
log_price,0.40265938126734685
location_total,0.3837423743311724
price_per_room,0.3614521020660077
query_star_mean,0.3534140275490891
star_vs_dest_mean,0.3324468937041382
srch_adults_count,0.30779211052138494
location_total_rank,0.3076240129398676
price_rank_norm,0.30517136489397495
star_x_brand,0.2994462885009761
review_rank_norm,0.2980725090302535
log_price_z_score,0.2812563724685617
value_gap,0.2785264622155939
star_percentile,0.27424146928965576
prop_count,0.25183438086864873
price_percentile,0.22338496482883366
location1_rank,0.21783144655557915
prop_click_count,0.21156356580357222
price_diff_from_visitor_hist,0.20131281768928586
price_usd,0.19585551689357486
site_dest_book_rate,0.1772712858118262
price_per_night_per_star,0.16011134054417156
prop_std_price,0.1532070437311336
price_per_star,0.1531909439891497
price_vs_max,0.1377230303279527
srch_query_affinity_score,0.11691059649027616
star_diff,0.11054448395759814
dest_mean_price,0.10235516713879465
site_country_book_rate,0.09782738205208816
query_affinity_exp,0.09656588728059812
n_best_flags,0.09223591240456443
comp_inv_count,0.09093509969858565
log_prop_count,0.09073783417702301
has_query_affinity,0.08528933900795195
is_last_minute,0.08136938059160106
price_to_min_ratio,0.06996829282843585
abs_star_diff,0.06594110031681968
comp_rate_pct_max,0.0590981904939094
srch_children_count,0.05630519269916241
prop_starrating,0.05434027864447082
dest_mean_star,0.05325599919992977
srch_room_count,0.048348940998473595
comp_rate_sum,0.04781774215195975
dest_book_rate,0.04612524709185018
is_long_window,0.04440029668982625
comp_rate_pct_mean,0.04399585168789734
country_book_rate,0.04375340716635764
visitor_hist_adr_usd,0.04278210505230187
comp_more_expensive_count,0.0405026996583569
comp_rate_advantage,0.037027004860642435
is_domestic,0.03581692853016262
is_family,0.03507647533170581
query_price_std,0.03015574751464852
price_per_person,0.028121364588007798
comp_rate_pct_min,0.028091955224672657
comp_advantage_rank,0.023711285416369368
prop_log_historical_price,0.02323926637065433
price_per_guest,0.022346766869804573
prop_country_id,0.0218200846448426
query_price_mean,0.01994019860663231
star_review_product,0.01824517929780838
dest_mean_review,0.0167012979164937
comp_rate_count,0.01551054090223429
comp_advantage_rank_norm,0.015462421871662383
log_distance,0.013803119585477159
cpair_book_rate,0.010889787426210194
prop_brand_bool,0.00896512560473896
value_score,0.008675903704645865
visitor_hist_starrating,0.008535461480095955
location1_rank_norm,0.00800028564698623
prop_book_given_click,0.007736264659384825
comp_cheaper_count,0.006082056740158527
total_guests,0.005136450635321975
distance_x_international,0.004773745695302181
orig_destination_distance,0.00432576049244071
month,0.0036378903646380007
visitor_location_country_id,0.001561496916017696
srch_destination_id,0.001227611443717227
site_id,0.0007231927143455395
comp_no_inv_count,0.0005701310627634348
promotion_flag,0.0
has_visitor_history,0.0
has_historical_price,0.0
has_distance,0.0
is_weekend_search,0.0
starrating_rank_norm,0.0
starrating_is_zero,0.0
review_is_zero,0.0
starrating_rank,0.0
hour,0.0
dayofweek,0.0
srch_saturday_night_bool,0.0
quality_rank_avg,0.0
is_short_window,0.0
location_total_rank_norm,0.0
is_cheapest,0.0
is_most_expensive,0.0
is_best_star,0.0
is_best_location1,0.0
is_best_review,0.0
site_book_rate,0.0
