feature,gain,split
prop_location_score2,1056248.9462890625,2132
prop_dest_book_rate,523345.4281387329,1721
location2_rank_norm,433175.023601532,1589
location2_rank,388805.6561164856,1186
price_vs_prop_mean,369337.9256629944,1598
prop_click_rate,339746.0105857849,1393
prop_avg_position,330050.1594352722,2275
prop_price_zscore,321688.2667732239,1672
price_ratio_to_hist,272341.6146621704,1943
value_score_rank,265888.88732910156,1009
price_diff_from_hist,209353.0638771057,1511
loc2_vs_mean,194372.7010307312,1692
price_z_score,176291.34174346924,1501
prop_rel_rate,169333.15228271484,1082
price_vs_median,168191.9423751831,1379
prop_click_rate_pos_adj_s40_oof,167999.93244552612,1496
value_score_rank_norm,165364.32340240479,1407
prop_location_score1,154300.50050735474,1313
dest_count,150861.91862869263,1550
price_rank,137830.98526000977,737
prop_site_book_rate,134165.7389984131,1459
price_vs_mean,130105.8643989563,1064
promo_x_cheap,123927.16117095947,862
loc1_vs_mean,123429.99681091309,1530
location_total,117131.8232498169,1412
review_percentile,114476.62287902832,1267
review_vs_mean,113204.82912826538,1301
log_price_z_score,112697.42218780518,1074
prop_count,102611.59931564331,1314
price_per_night_per_star,96425.16948318481,1332
query_hotel_count,94579.19512939453,833
orig_destination_distance,94117.58201217651,1403
query_star_mean,92007.29221343994,1264
prop_std_price,89283.75951004028,1235
price_per_night,87922.8094215393,1170
price_vs_max,83226.58784484863,1119
prop_click_count,81904.8316192627,828
review_vs_dest_mean,80767.15470504761,1089
price_percentile,80477.78100585938,832
prop_mean_price,80364.81870651245,1012
srch_booking_window,78831.25756835938,1158
prop_book_rate,78759.03081512451,1062
price_per_guest,78132.92790222168,1173
price_vs_dest_mean,77567.62066268921,1116
prop_book_given_click,76374.39614868164,1152
price_to_min_ratio,75359.21033477783,1040
prop_log_historical_price,72896.9660987854,1032
value_score,71454.31317138672,871
query_price_std,71315.76173782349,1037
dest_mean_price,71196.62240219116,996
quality_rank_avg,71136.25574874878,1023
star_vs_mean,70829.49243545532,908
dest_mean_star,70659.21363067627,914
dest_book_rate,70299.26070404053,1049
price_rank_norm,69614.5760269165,815
review_rank_norm,68788.39012908936,927
dest_click_rate,67852.0054397583,1004
total_cost,67249.58554077148,989
review_rank,63696.22029876709,692
location1_rank_norm,63219.83193206787,943
site_book_rate,62211.33483505249,910
value_gap,62203.8684425354,918
dest_mean_review,62186.55212402344,897
location_total_rank_norm,61018.98907470703,902
star_vs_dest_mean,60403.743213653564,874
comp_advantage_rank_norm,58972.27645492554,912
star_percentile,58271.737297058105,803
price_per_person,56240.45551300049,887
srch_destination_id,55799.18893814087,900
query_price_mean,54375.30662918091,772
price_per_star,54129.53229904175,839
site_dest_book_rate,53898.07328033447,846
country_book_rate,53551.24705886841,804
site_country_book_rate,52914.507080078125,822
price_vs_min,52606.02027511597,740
starrating_rank_norm,51239.735206604004,744
comp_rate_pct_mean,48545.21239089966,758
log_distance,48429.38959121704,688
price_usd,48033.83862686157,667
log_prop_count,46553.93589401245,626
query_affinity_exp,45334.91960144043,549
comp_rate_pct_max,44518.83447647095,714
srch_query_affinity_score,44221.80044555664,559
price_ratio_to_visitor_hist,43420.87093734741,517
price_per_room,43009.32565307617,673
cpair_book_rate,42082.15462875366,660
comp_rate_pct_min,40225.22911071777,606
hour,36615.322681427,605
location1_rank,34478.73342132568,527
starrating_rank,33255.392932891846,422
prop_review_score,33087.49982070923,265
star_review_product,32852.61715698242,299
price_diff_from_visitor_hist,32743.3454246521,411
comp_advantage_rank,32660.071269989014,489
location_total_rank,32553.089977264404,500
abs_star_diff,31597.856365203857,384
visitor_hist_adr_usd,29966.244010925293,392
distance_x_international,28494.257247924805,406
visitor_location_country_id,25455.46083831787,402
prop_country_id,23630.957328796387,348
star_x_brand,23453.975734710693,229
visitor_hist_starrating,23156.54306793213,324
site_id,23030.518894195557,342
is_discounted,22730.585121154785,33
star_diff,22364.750087738037,305
promotion_flag,19391.95171356201,98
month,18476.304229736328,300
srch_length_of_stay,17221.03086090088,246
dayofweek,15320.924812316895,263
prop_brand_bool,14171.3295211792,119
log_price,13940.428020477295,217
comp_rate_count,12628.233829498291,199
comp_inv_count,12271.25369644165,192
total_guests,11965.506309509277,197
is_overpriced,11881.19063949585,43
srch_adults_count,10875.26978302002,165
comp_rate_sum,9810.013118743896,160
has_location_score2,9240.732620239258,7
srch_children_count,8558.862579345703,124
prop_starrating,6753.307636260986,41
comp_more_expensive_count,6201.471221923828,97
n_best_flags,5870.976898193359,78
is_domestic,5486.4255027771,72
comp_rate_advantage,5139.774387359619,79
comp_no_inv_count,3750.9959983825684,64
is_last_minute,3290.5288124084473,43
comp_cheaper_count,3215.455799102783,56
srch_room_count,3014.09659576416,46
is_family,2671.655418395996,35
srch_saturday_night_bool,2469.663505554199,38
review_is_zero,1186.2923126220703,15
is_long_window,1122.300895690918,19
is_cheapest,1044.2359809875488,9
is_weekend_search,728.2796936035156,12
is_short_window,643.9960975646973,10
starrating_is_zero,478.3689956665039,4
is_best_review,437.50060272216797,6
is_best_location1,412.59449768066406,5
has_query_affinity,411.6397933959961,6
is_best_star,389.0118064880371,6
has_distance,273.70059967041016,5
has_visitor_history,0.0,0
has_historical_price,0.0,0
is_most_expensive,0.0,0
