feature,gain,split
prop_location_score2,1188793.6985359192,3130
prop_dest_book_rate,464407.4242095947,2397
location2_rank_norm,413593.0387611389,2240
price_vs_prop_mean,403127.61382484436,2119
prop_avg_position,386392.3271808624,2989
location2_rank,377740.68894958496,1516
prop_price_zscore,374529.9648399353,2438
prop_click_rate,344016.1816482544,2052
price_ratio_to_hist,310109.9113960266,2551
value_score_rank,249304.00365066528,1149
prop_dest_book_rate_safe,232788.27353477478,1695
loc2_vs_mean,223903.2135257721,2408
price_vs_median,213560.86847686768,1861
price_z_score,211917.3160648346,1853
price_diff_from_hist,203045.71125411987,2030
dest_count,198671.313249588,2180
prop_rel_rate,197227.4423904419,1655
value_score_rank_norm,191245.2227973938,1753
prop_location_score1,175414.48894882202,1902
price_rank,159323.56100845337,1026
review_vs_mean,154465.71572875977,1865
prop_site_book_rate,149853.9057006836,1831
location_total,145314.1681690216,1823
orig_destination_distance,144399.48802757263,2330
loc1_vs_mean,143224.51094436646,1984
promo_x_cheap,135642.7024230957,1079
prop_count,132109.69441223145,1866
log_price_z_score,131501.21031951904,1455
query_hotel_count,124506.0864906311,1190
query_star_mean,118392.11140060425,1722
price_per_night_per_star,118358.58145904541,1765
review_percentile,117185.36323547363,1592
prop_mean_price,115743.27051925659,1545
price_vs_mean,114609.33832550049,1314
prop_std_price,114536.4404964447,1780
prop_book_rate,109231.38850021362,1622
price_per_night,107049.99789047241,1668
price_vs_dest_mean,106289.26420974731,1649
prop_book_given_click,105844.65278244019,1712
srch_booking_window,102662.6182937622,1595
price_per_guest,102013.47981452942,1656
prop_log_historical_price,101900.57200622559,1610
price_vs_max,100840.41778182983,1568
quality_rank_avg,99969.12466239929,1596
review_vs_dest_mean,99475.88960456848,1552
prop_click_count,99220.9676952362,1064
value_score,97653.03914833069,1386
total_cost,93499.6844329834,1522
price_to_min_ratio,91550.57373046875,1493
dest_mean_star,91374.84189987183,1411
location_total_rank_norm,90996.14395141602,1508
dest_mean_price,90721.92455673218,1382
review_rank_norm,90373.31591415405,1350
dest_click_rate,90058.27081680298,1482
query_price_std,89366.18152427673,1425
price_percentile,88626.20219230652,1147
dest_mean_review,87125.69250488281,1421
star_vs_mean,86192.64035797119,1262
location1_rank_norm,82614.81199264526,1371
dest_book_rate,81391.79163742065,1327
site_dest_book_rate,78921.75525283813,1351
comp_advantage_rank_norm,78852.13935470581,1377
star_percentile,78813.94736862183,1181
site_book_rate,78489.66537475586,1235
srch_destination_id,77637.70377922058,1400
price_per_person,77609.47867202759,1334
query_price_mean,76173.9342918396,1171
value_gap,75908.56163024902,1280
star_vs_dest_mean,75882.08103942871,1231
price_per_star,72732.68492507935,1210
review_rank,71898.20819282532,883
site_country_book_rate,71677.3039894104,1246
price_rank_norm,71587.5252571106,953
starrating_rank_norm,71022.58693885803,1146
price_vs_min,70282.66162109375,1126
comp_rate_pct_mean,69155.0925579071,1194
price_per_room,61895.88458251953,1008
price_usd,61428.41760635376,984
srch_query_affinity_score,60384.550941467285,811
country_book_rate,59974.60708618164,1001
cpair_book_rate,59724.12186431885,1039
comp_rate_pct_max,59415.72499847412,1007
log_prop_count,58564.786682128906,899
log_distance,55572.194774627686,951
hour,53411.42234039307,954
query_affinity_exp,52476.499950408936,709
comp_rate_pct_min,50391.31574630737,878
price_ratio_to_visitor_hist,48298.64012145996,611
comp_advantage_rank,47739.67513656616,746
location1_rank,47207.24970626831,783
starrating_rank,45242.17676925659,605
price_diff_from_visitor_hist,42745.50923347473,577
location_total_rank,42290.71992111206,731
star_review_product,40683.36260223389,449
visitor_location_country_id,34241.17389297485,572
distance_x_international,34054.02208137512,584
abs_star_diff,33641.038608551025,470
visitor_hist_adr_usd,33298.92586517334,490
site_id,32025.07325363159,514
prop_country_id,31665.554111480713,490
prop_review_score,30664.038875579834,292
star_x_brand,30197.30400466919,318
star_diff,28480.683975219727,427
visitor_hist_starrating,27359.041927337646,396
log_price,25534.51593399048,419
month,22909.955560684204,422
promotion_flag,22134.15000152588,119
dayofweek,21272.223917007446,395
srch_length_of_stay,19186.63752746582,300
comp_rate_count,18844.435710906982,322
is_discounted,18472.28773498535,39
total_guests,16756.54507446289,272
prop_brand_bool,16645.82699584961,149
comp_inv_count,15628.92589187622,254
srch_children_count,13299.194549560547,223
comp_rate_sum,13286.32406616211,231
srch_adults_count,11468.218769073486,193
is_overpriced,9954.616565704346,41
n_best_flags,8061.029499053955,98
comp_more_expensive_count,7970.055423736572,131
prop_starrating,7774.734035491943,57
has_location_score2,7626.644027709961,11
is_domestic,6533.960216522217,96
comp_rate_advantage,5922.205810546875,107
comp_no_inv_count,5357.31559753418,102
comp_cheaper_count,5139.062419891357,92
srch_room_count,4431.245880126953,81
is_last_minute,3701.3787002563477,54
is_family,3213.7360916137695,49
srch_saturday_night_bool,2667.283603668213,50
review_is_zero,1790.2625160217285,23
is_short_window,1498.293613433838,25
is_long_window,1399.7615966796875,25
is_weekend_search,1132.4541931152344,20
starrating_is_zero,596.3324127197266,2
is_cheapest,413.3677101135254,5
is_best_star,411.22329330444336,5
is_best_review,364.49100494384766,6
is_best_location1,344.46960067749023,6
has_distance,340.48069763183594,7
has_query_affinity,303.94269943237305,4
has_visitor_history,56.249298095703125,1
has_historical_price,0.0,0
is_most_expensive,0.0,0
