feature,gain,split
prop_location_score2,956339.2692909241,2039
prop_dest_book_rate,534473.7699813843,1890
location2_rank,416519.00074005127,1169
prop_click_rate,390621.61668395996,1479
location2_rank_norm,345872.50776672363,1556
prop_avg_position,343904.8529396057,2251
price_vs_prop_mean,337293.28507995605,1572
prop_price_zscore,330344.93243026733,1754
loc2_vs_mean,304762.39769744873,1729
value_score_rank,259840.44763183594,951
price_ratio_to_hist,240281.31117630005,1970
price_diff_from_hist,205793.95629501343,1505
price_z_score,194041.76541137695,1591
prop_location_score1,168373.50840377808,1485
price_vs_median,165811.04347610474,1299
value_score_rank_norm,153225.17639923096,1155
dest_count,145628.6900177002,1406
price_rank,143121.6284713745,782
prop_site_book_rate,137886.86590957642,1516
prop_rel_rate,134589.6501197815,1146
price_vs_mean,132174.85844421387,1130
promo_x_cheap,131945.5728416443,800
loc1_vs_mean,130363.39994430542,1621
prop_book_rate,114122.24105453491,1100
review_vs_mean,108412.77099227905,1200
prop_count,101343.07788848877,1331
review_percentile,100812.74461746216,1148
query_star_mean,98593.06460571289,1264
location_total,98325.11590576172,1185
prop_click_count,97571.3424987793,868
orig_destination_distance,97513.15314865112,1454
log_price_z_score,96926.69156265259,993
prop_std_price,96646.52896118164,1219
price_per_night_per_star,93910.37922286987,1258
prop_mean_price,93751.31505584717,1093
query_hotel_count,90627.71924209595,761
price_per_night,87476.5239868164,1186
price_vs_dest_mean,83282.15871810913,1121
review_rank_norm,79690.36714935303,945
price_percentile,79353.00576019287,894
prop_book_given_click,77953.46500396729,1132
price_vs_max,76668.32083892822,1058
srch_booking_window,75771.29077529907,1102
review_vs_dest_mean,74481.20439910889,982
price_rank_norm,72496.82836151123,774
quality_rank_avg,72483.16674423218,1041
price_per_guest,72065.88150024414,1068
dest_mean_star,72040.39045715332,937
star_vs_mean,70357.39387130737,869
dest_click_rate,69951.00253295898,1047
query_price_std,69863.25229644775,993
prop_log_historical_price,68724.45471572876,960
dest_book_rate,68249.57554626465,1035
dest_mean_price,67358.75342559814,949
price_to_min_ratio,67319.96601486206,954
total_cost,66188.42073440552,1020
site_book_rate,65715.22219848633,943
star_percentile,63588.897117614746,803
value_score,63002.83288574219,798
review_rank,62863.29378128052,674
location1_rank_norm,62422.97568130493,903
value_gap,60183.11812210083,902
dest_mean_review,59204.316844940186,856
srch_destination_id,58950.39166641235,946
price_per_star,58539.727279663086,845
site_dest_book_rate,58467.23472595215,923
location_total_rank_norm,58157.54802322388,872
log_prop_count,56424.66036605835,664
comp_advantage_rank_norm,56360.45966339111,892
star_vs_dest_mean,54492.88019943237,786
query_price_mean,53001.38007354736,749
site_country_book_rate,52886.882232666016,815
price_per_person,52825.8528137207,822
is_discounted,49542.81903076172,55
price_vs_min,49233.33156967163,714
comp_rate_pct_mean,48875.656772613525,779
starrating_rank_norm,48518.1128616333,706
query_affinity_exp,46933.57286834717,573
srch_query_affinity_score,46275.51483154297,585
log_distance,45371.01454925537,644
country_book_rate,45340.5181388855,659
comp_rate_pct_max,44283.601543426514,688
cpair_book_rate,43570.031562805176,673
price_per_room,42620.446506500244,644
price_ratio_to_visitor_hist,42264.6294593811,517
price_usd,42164.760581970215,593
comp_rate_pct_min,37565.4873046875,581
hour,37223.74610900879,611
has_location_score2,34711.185218811035,11
comp_advantage_rank,34472.051361083984,516
price_diff_from_visitor_hist,33979.58335876465,411
location_total_rank,33056.712226867676,497
starrating_rank,31445.36466217041,413
abs_star_diff,31027.341426849365,382
prop_review_score,30454.965942382812,284
location1_rank,30387.225494384766,444
star_review_product,28987.73180770874,316
visitor_hist_adr_usd,27893.89543914795,362
visitor_hist_starrating,25847.263874053955,344
prop_country_id,25397.20365524292,371
site_id,24851.021564483643,366
distance_x_international,24834.005630493164,389
visitor_location_country_id,24641.77191543579,376
star_diff,24109.793102264404,312
star_x_brand,22821.155429840088,225
log_price,22130.198471069336,318
promotion_flag,19304.919063568115,117
month,19120.88399887085,314
srch_length_of_stay,18756.35354232788,264
prop_brand_bool,15102.602603912354,122
dayofweek,13657.683666229248,230
comp_inv_count,11640.499774932861,182
total_guests,11352.412868499756,168
comp_rate_count,10774.548805236816,164
prop_starrating,10768.273742675781,56
srch_adults_count,10332.404476165771,161
is_overpriced,9641.88224029541,36
srch_children_count,9553.384231567383,149
comp_rate_sum,8597.085876464844,139
comp_more_expensive_count,6547.928211212158,99
n_best_flags,6482.444297790527,78
is_domestic,5537.138488769531,72
is_last_minute,4611.384490966797,55
comp_rate_advantage,4218.711200714111,70
comp_no_inv_count,3351.731590270996,56
comp_cheaper_count,3204.8311805725098,54
srch_room_count,2642.6769790649414,41
srch_saturday_night_bool,2539.454299926758,43
is_family,2284.6838874816895,33
review_is_zero,2031.7734107971191,24
is_long_window,1559.829402923584,21
is_cheapest,1529.8063201904297,9
is_weekend_search,997.0044937133789,14
is_short_window,652.7064018249512,11
starrating_is_zero,480.3344955444336,5
is_best_review,384.5025939941406,6
is_best_star,341.6649932861328,5
has_distance,171.6400032043457,3
has_visitor_history,134.17300415039062,1
has_query_affinity,92.38880157470703,2
is_most_expensive,51.392601013183594,1
has_historical_price,0.0,0
is_best_location1,0.0,0
