feature,gain,split
prop_dest_book_rate,22633.632607877254,2322
prop_location_score2,14930.108271539211,2861
location2_rank_norm,14277.969642400742,2285
price_vs_prop_mean,7889.881830811501,1970
price_ratio_to_hist,7556.077166438103,2190
prop_price_zscore,7460.65927195549,2171
value_score_rank,7314.03604054451,1343
location2_rank,6993.884257614613,1569
prop_click_rate,6790.8585114479065,1676
prop_avg_position,6700.777180850506,2284
loc2_vs_mean,6036.494968414307,2361
query_hotel_count,5440.69355994463,1870
value_score_rank_norm,5433.36940830946,1528
price_diff_from_hist,5432.779276549816,1838
price_z_score,5349.817217350006,1997
price_vs_median,4694.008637666702,1788
prop_site_book_rate,4614.430778682232,2027
prop_book_rate,4478.234133481979,1579
price_vs_mean,4360.75039845705,1566
prop_rel_rate,4179.736636698246,1546
dest_count,4152.947280287743,1634
review_vs_mean,3797.0292360186577,1837
loc1_vs_mean,3493.648275732994,1841
prop_location_score1,3413.4271530508995,1224
review_percentile,3348.132075369358,1572
price_rank,3093.3091363310814,1093
log_price_z_score,3077.9198915958405,1434
location_total,2989.1092133522034,1426
promo_x_cheap,2980.016505599022,867
prop_click_count,2870.966093182564,1030
prop_count,2848.1599573493004,1638
orig_destination_distance,2774.819961488247,1792
query_star_mean,2630.7385370135307,1518
price_per_night_per_star,2603.2363340854645,1540
price_percentile,2507.893587887287,1173
prop_std_price,2500.846789419651,1496
quality_rank_avg,2406.385312318802,1346
star_percentile,2380.619965970516,1192
price_to_min_ratio,2361.4239188432693,1313
prop_mean_price,2340.549816608429,1343
dest_click_rate,2329.532289803028,1409
review_vs_dest_mean,2275.8852648139,1351
price_vs_dest_mean,2258.275673389435,1384
review_rank_norm,2204.467161178589,1213
price_per_night,2192.026364326477,1339
star_vs_dest_mean,2184.090859055519,1304
dest_book_rate,2135.476130068302,1286
price_vs_max,2116.339964032173,1286
star_vs_mean,2108.730405986309,1166
value_score,2104.7553619146347,1222
total_cost,2093.313437283039,1306
price_per_guest,2060.073968887329,1296
prop_log_historical_price,2010.218136548996,1241
location_total_rank_norm,1970.761599957943,1223
srch_booking_window,1946.2244463562965,1237
query_price_std,1912.5734006166458,1227
value_gap,1912.2729530334473,1159
price_vs_min,1874.3644116520882,1083
dest_mean_star,1872.8896678090096,1178
dest_mean_price,1867.6463785767555,1168
location1_rank_norm,1863.2392016649246,1166
price_per_person,1860.5856454372406,1206
price_per_star,1859.0848908424377,1164
prop_book_given_click,1833.4362302422523,1213
dest_mean_review,1753.0678929686546,1134
query_price_mean,1737.0050616264343,1058
site_dest_book_rate,1714.8708714842796,1108
srch_destination_id,1681.752689898014,1119
price_rank_norm,1636.6193252801895,848
location_total_rank,1583.8225176930428,857
starrating_rank_norm,1568.043740928173,896
price_per_room,1546.566783964634,933
review_rank,1516.7301553487778,754
comp_advantage_rank_norm,1505.0922179818153,1017
log_distance,1435.3427295684814,913
site_book_rate,1433.5276156067848,926
price_usd,1387.387825369835,824
comp_rate_pct_mean,1363.3888247609138,858
log_prop_count,1340.902643084526,765
site_country_book_rate,1223.4692116975784,816
country_book_rate,1172.22857183218,770
comp_rate_pct_max,1098.59853130579,695
cpair_book_rate,1077.5591730475426,744
price_ratio_to_visitor_hist,1076.7715601325035,547
hour,1065.430100619793,731
location1_rank,1059.2313075065613,619
srch_query_affinity_score,1056.029711484909,617
star_review_product,942.6905836462975,424
comp_rate_pct_min,940.6998441815376,603
query_affinity_exp,934.6087642908096,563
starrating_rank,809.9563426375389,487
price_diff_from_visitor_hist,803.4914560317993,447
prop_review_score,791.7027879357338,310
visitor_hist_adr_usd,698.9375800490379,402
comp_advantage_rank,683.6361383795738,442
abs_star_diff,679.4775164723396,390
star_x_brand,635.2382224202156,291
log_price,626.4822914600372,393
distance_x_international,614.8156673312187,382
is_discounted,611.8292886018753,51
prop_country_id,581.5291182398796,390
site_id,569.7988927960396,369
month,532.0667262077332,374
dayofweek,531.6043704152107,365
visitor_location_country_id,517.243038713932,357
star_diff,443.63513934612274,285
visitor_hist_starrating,408.1249865889549,260
comp_rate_count,404.36879098415375,274
comp_inv_count,378.91655844449997,244
srch_length_of_stay,371.7222726345062,247
total_guests,331.9992236495018,217
promotion_flag,331.1366612315178,99
srch_adults_count,318.3836401104927,199
has_location_score2,286.6188133955002,14
prop_brand_bool,285.8520306944847,112
n_best_flags,281.3337052464485,158
srch_children_count,279.9737713932991,177
comp_rate_sum,276.50961869955063,176
prop_starrating,234.81205648183823,71
srch_room_count,159.7027822136879,91
is_overpriced,139.17563045024872,33
comp_rate_advantage,133.56326532363892,90
comp_more_expensive_count,131.89071762561798,85
is_domestic,124.37729287147522,75
is_family,89.48131990432739,54
is_last_minute,74.30248612165451,44
comp_no_inv_count,71.59614485502243,48
comp_cheaper_count,62.87723523378372,43
srch_saturday_night_bool,56.80428606271744,37
is_cheapest,52.73696053028107,16
review_is_zero,48.17348027229309,25
is_long_window,41.74213910102844,26
is_best_review,17.998831272125244,7
is_short_window,17.99204993247986,13
is_weekend_search,16.93606996536255,11
is_best_star,16.313023149967194,13
is_best_location1,10.954074025154114,8
starrating_is_zero,10.165719985961914,4
has_distance,8.474609971046448,6
has_query_affinity,6.491470098495483,3
is_most_expensive,4.536029934883118,2
has_historical_price,0.0,0
has_visitor_history,0.0,0
