feature,gain,split
prop_dest_book_rate,18744.297261714935,2742
prop_location_score2,15014.87540113926,3587
location2_rank_norm,13075.397036075592,2801
location2_rank,10615.255638897419,1941
prop_click_rate,10014.021389007568,2439
price_vs_prop_mean,9591.094417214394,2734
loc2_vs_mean,8897.226625144482,3406
prop_price_zscore,8894.319384753704,3080
price_ratio_to_hist,8661.125188112259,2857
prop_avg_position,8272.786020994186,3153
prop_rel_rate,8157.65117007494,2017
value_score_rank_norm,8098.914606392384,2233
price_z_score,6935.068056106567,2676
query_hotel_count,6376.338763833046,2354
dest_count,5805.963400363922,2409
price_diff_from_hist,5793.602300465107,2437
value_score_rank,5613.073424816132,1410
price_vs_median,5365.458842754364,2417
prop_site_book_rate,4897.002484023571,2647
review_vs_mean,4844.798397898674,2447
orig_destination_distance,4624.03106045723,2890
prop_location_score1,4609.544624447823,1698
loc1_vs_mean,4597.482308506966,2506
price_vs_mean,4579.051937162876,1997
review_percentile,4134.895313978195,2110
log_price_z_score,3832.0001668930054,1976
query_star_mean,3793.648771047592,2164
prop_book_rate,3748.1602463126183,2125
prop_count,3670.0670936107635,2111
promo_x_cheap,3650.99876588583,1270
price_vs_max,3552.1764035224915,2048
price_rank,3509.949451684952,1306
price_per_night_per_star,3354.067897439003,2016
location_total,3325.940767109394,1798
prop_std_price,3298.188816308975,2003
price_vs_dest_mean,3276.6211713552475,1927
quality_rank_avg,3261.6668261289597,1888
price_to_min_ratio,3203.0212044119835,1879
review_vs_dest_mean,3197.9292346835136,1879
value_score,3182.7059985995293,1818
prop_mean_price,3165.952265560627,1833
price_per_night,3139.255813598633,1871
star_vs_mean,3088.1232575774193,1672
prop_log_historical_price,3068.718698143959,1863
srch_booking_window,3068.283358156681,1891
star_percentile,3065.272480428219,1688
total_cost,3044.819972038269,1965
review_rank_norm,3030.324596107006,1684
dest_click_rate,3022.7278448939323,1837
dest_book_rate,2913.321083188057,1774
prop_book_given_click,2890.721780359745,1825
star_vs_dest_mean,2873.0306547284126,1731
price_per_guest,2866.3044934272766,1778
price_percentile,2859.997143268585,1408
location_total_rank_norm,2814.621095597744,1788
dest_mean_review,2781.7893472909927,1734
price_vs_min,2732.5622134804726,1478
query_price_std,2722.7629206180573,1679
prop_click_count,2699.749437689781,1195
value_gap,2686.3830955028534,1641
location1_rank_norm,2665.630131304264,1595
query_price_mean,2663.995257437229,1613
comp_advantage_rank_norm,2639.893237352371,1717
price_per_person,2621.550212740898,1655
dest_mean_star,2616.8489958643913,1642
site_dest_book_rate,2614.009646356106,1641
dest_mean_price,2516.00237762928,1528
price_rank_norm,2505.3272498846054,1251
price_per_star,2451.813581585884,1493
srch_destination_id,2420.066037237644,1601
price_per_room,2289.105554997921,1410
starrating_rank_norm,2173.017982542515,1340
site_country_book_rate,2085.4898766875267,1366
location_total_rank,1998.279247879982,1069
site_book_rate,1980.918113708496,1286
hour,1855.8394004702568,1214
price_usd,1830.2520514130592,1100
review_rank,1801.8335837125778,954
country_book_rate,1775.6241922974586,1112
comp_rate_pct_mean,1768.1051133275032,1107
log_prop_count,1767.0285046696663,1007
cpair_book_rate,1745.3935041427612,1153
location1_rank,1644.525954067707,984
comp_rate_pct_max,1559.3067566752434,964
comp_rate_pct_min,1553.7307410240173,950
log_distance,1518.8950988650322,954
srch_query_affinity_score,1400.5805478096008,865
price_ratio_to_visitor_hist,1300.163269340992,682
star_review_product,1290.5073625445366,557
starrating_rank,1104.8108176589012,646
comp_advantage_rank,1064.1777184009552,678
month,958.6477529406548,643
query_affinity_exp,955.5923862457275,568
prop_review_score,946.1362378001213,404
visitor_hist_adr_usd,942.4023211598396,554
dayofweek,927.1596997976303,612
abs_star_diff,913.0323570370674,549
price_diff_from_visitor_hist,896.9609014987946,509
distance_x_international,871.0009210705757,560
site_id,844.4590039849281,561
prop_country_id,812.5956085920334,499
visitor_location_country_id,793.8978513479233,533
star_x_brand,752.1822910904884,365
log_price,724.5358483195305,431
is_discounted,713.2712749242783,43
visitor_hist_starrating,687.7876702547073,428
comp_rate_count,657.1832165718079,431
comp_inv_count,577.1696975231171,379
star_diff,562.966865837574,367
has_location_score2,525.054496884346,18
srch_length_of_stay,505.93886548280716,329
srch_adults_count,494.6424178481102,303
n_best_flags,440.54383301734924,264
total_guests,437.34465259313583,285
srch_children_count,395.96676486730576,258
comp_rate_sum,364.6569621562958,229
prop_brand_bool,312.7531955242157,129
promotion_flag,289.26198613643646,95
is_overpriced,255.12026000022888,39
comp_more_expensive_count,209.4066737294197,140
srch_room_count,203.62921756505966,127
prop_starrating,166.2316334247589,79
is_domestic,152.5003319978714,89
comp_rate_advantage,145.51495039463043,93
comp_no_inv_count,134.89659482240677,96
is_last_minute,99.24743789434433,58
srch_saturday_night_bool,84.90424275398254,53
comp_cheaper_count,79.32055830955505,56
is_family,77.93226963281631,46
is_cheapest,43.630980253219604,10
starrating_is_zero,36.88596999645233,7
is_long_window,32.357524275779724,23
is_best_star,24.10192584991455,14
is_best_review,23.220843017101288,13
is_short_window,21.93686616420746,14
review_is_zero,19.204549908638,11
is_weekend_search,16.652289986610413,11
is_best_location1,15.670056939125061,11
has_query_affinity,13.689110040664673,7
is_most_expensive,12.812629997730255,7
has_distance,3.9377999305725098,3
has_historical_price,0.0,0
has_visitor_history,0.0,0
