feature,gain,split
prop_location_score2,1672585.3445625305,4254
prop_dest_book_rate,765124.0932598114,3869
location2_rank_norm,603634.1580982208,3083
price_vs_prop_mean,550376.7789554596,2915
prop_click_rate,549987.4044055939,3027
prop_avg_position,523836.3328304291,4382
prop_price_zscore,506687.5411148071,3398
location2_rank,499858.17831230164,1958
price_ratio_to_hist,446684.6460952759,3559
prop_rel_rate,355830.69530296326,2411
value_score_rank,337396.48087882996,1564
loc2_vs_mean,308952.39894104004,3289
price_vs_median,294793.7989311218,2582
price_z_score,285236.7783756256,2551
dest_count,278675.8536224365,3021
price_diff_from_hist,275541.2041988373,2867
value_score_rank_norm,268700.1890888214,2489
prop_location_score1,258248.6044845581,2590
price_rank,232892.88204956055,1405
prop_site_book_rate,217602.06592559814,2877
loc1_vs_mean,207763.47002601624,2890
review_vs_mean,204789.33924674988,2539
orig_destination_distance,200162.38479804993,3272
location_total,182893.79194259644,2443
prop_count,182121.01602363586,2668
log_price_z_score,177563.0194530487,1912
review_percentile,175288.4770374298,2406
promo_x_cheap,174649.27055168152,1431
query_star_mean,165215.8382205963,2415
query_hotel_count,164847.04768943787,1505
price_per_night_per_star,164810.98080444336,2532
prop_std_price,160706.35159683228,2532
prop_book_rate,160106.70211029053,2411
price_vs_dest_mean,157677.13192939758,2444
prop_mean_price,156580.14275741577,2208
price_vs_mean,154927.06956100464,1840
price_vs_max,152861.77375221252,2402
price_per_night,152781.29319381714,2374
srch_booking_window,147938.1748752594,2397
prop_book_given_click,147811.05573272705,2495
price_per_guest,144556.35329437256,2423
prop_log_historical_price,144336.92974472046,2276
prop_click_count,143047.2229385376,1474
review_vs_dest_mean,138880.8680076599,2215
value_score,135264.4769077301,1930
total_cost,135049.69061660767,2234
dest_click_rate,132391.71510887146,2210
quality_rank_avg,131845.70904922485,2189
price_to_min_ratio,129379.39848136902,2147
location_total_rank_norm,125384.00873565674,2137
query_price_std,125089.71668815613,1992
dest_mean_review,124754.23845100403,2079
dest_mean_star,124552.12454223633,1954
review_rank_norm,124446.74221229553,1841
dest_mean_price,121317.78242492676,1925
price_percentile,120021.91515159607,1582
location1_rank_norm,116653.33078193665,1966
comp_advantage_rank_norm,116568.8021812439,2076
star_percentile,116006.24579238892,1710
dest_book_rate,114201.94250297546,1884
site_dest_book_rate,113894.32382202148,1958
star_vs_mean,111324.35442352295,1701
srch_destination_id,110836.53769302368,2004
query_price_mean,109607.11484146118,1796
price_per_person,107668.98553466797,1881
site_book_rate,106011.23357200623,1698
price_per_star,102161.94477844238,1731
star_vs_dest_mean,102094.11056518555,1710
price_rank_norm,99366.60469055176,1363
value_gap,98592.73983955383,1719
review_rank,98413.68193054199,1219
price_vs_min,97449.78778457642,1573
site_country_book_rate,97110.07348823547,1645
starrating_rank_norm,92893.5495185852,1488
comp_rate_pct_mean,90993.8500366211,1572
srch_query_affinity_score,85527.85663986206,1135
comp_rate_pct_max,84207.0948638916,1439
price_per_room,83367.05836296082,1408
country_book_rate,80872.35811805725,1310
cpair_book_rate,80612.38028717041,1453
hour,77604.93696784973,1404
price_usd,77132.10980796814,1263
log_prop_count,74474.14077758789,1165
comp_rate_pct_min,70939.93732070923,1264
log_distance,69286.25368881226,1232
comp_advantage_rank,69194.0043258667,1089
price_ratio_to_visitor_hist,66661.85742759705,868
query_affinity_exp,64926.64842796326,889
starrating_rank,58807.06610107422,749
price_diff_from_visitor_hist,57424.98745727539,742
location1_rank,57205.943151474,960
location_total_rank,56619.8867149353,969
star_review_product,50380.110666275024,565
abs_star_diff,44198.29013442993,594
prop_country_id,44176.389835357666,673
site_id,43611.91007423401,705
distance_x_international,43263.82487678528,712
prop_review_score,42431.390464782715,421
star_diff,42070.19562339783,602
visitor_hist_adr_usd,41604.69662094116,577
visitor_location_country_id,41590.26877784729,713
visitor_hist_starrating,37257.92449951172,518
month,36116.733699798584,665
dayofweek,33787.329652786255,628
promotion_flag,33687.72660064697,151
log_price,32978.41324424744,546
star_x_brand,32081.132387161255,362
is_discounted,26930.16823577881,45
comp_rate_count,25263.04610824585,448
srch_length_of_stay,24386.638521194458,380
total_guests,23710.494018554688,411
prop_brand_bool,21758.54066848755,195
comp_inv_count,20381.505807876587,349
comp_rate_sum,18422.892391204834,322
srch_adults_count,17782.37594795227,295
srch_children_count,17734.598022460938,307
prop_starrating,14787.658241271973,90
has_location_score2,14355.321605682373,6
n_best_flags,12997.087142944336,164
is_overpriced,11537.247745513916,49
comp_more_expensive_count,9953.809898376465,171
is_domestic,9939.025520324707,149
brand_x_domestic,9492.952823638916,107
comp_no_inv_count,8127.46598815918,158
comp_cheaper_count,7664.862609863281,134
comp_rate_advantage,7462.412376403809,143
is_last_minute,6776.305294036865,89
srch_room_count,6325.894618988037,104
is_family,4489.731876373291,67
srch_saturday_night_bool,3383.522979736328,57
is_long_window,2007.068603515625,35
review_is_zero,1802.9619789123535,24
is_short_window,1776.3139038085938,36
is_weekend_search,1266.9465026855469,25
is_best_location1,778.6860046386719,10
starrating_is_zero,618.5789947509766,3
is_cheapest,593.129207611084,6
is_best_review,560.8971939086914,8
is_best_star,550.1290016174316,9
has_query_affinity,478.0737991333008,10
has_distance,362.70140075683594,5
is_most_expensive,56.446800231933594,1
has_historical_price,0.0,0
has_visitor_history,0.0,0
