feature,gain,split
prop_location_score2,1641278.9754981995,3498
prop_dest_book_rate,725389.0007266998,2875
location2_rank_norm,552877.8663654327,2293
price_vs_prop_mean,532967.4650268555,2388
prop_click_rate,513455.8961830139,2272
location2_rank,496784.3224258423,1567
prop_avg_position,480560.69720458984,3385
prop_price_zscore,477725.4112358093,2760
price_ratio_to_hist,420560.95855522156,2882
prop_rel_rate,329450.8473701477,1815
value_score_rank,328688.4905605316,1331
loc2_vs_mean,269066.67237472534,2478
price_vs_median,268695.11336898804,2090
price_z_score,266349.56384277344,2160
price_diff_from_hist,249342.227104187,2182
prop_location_score1,244602.46528625488,2234
value_score_rank_norm,239817.6177635193,1885
dest_count,220154.3013973236,2209
price_rank,219564.80686950684,1171
prop_site_book_rate,191722.55666351318,2277
review_vs_mean,181220.48108673096,2026
loc1_vs_mean,175068.74642181396,2154
log_price_z_score,169702.16289138794,1580
location_total,163520.03131866455,1969
promo_x_cheap,162320.73599624634,1156
orig_destination_distance,160329.31790542603,2387
prop_count,153233.79376602173,2028
review_percentile,150025.03564453125,1809
query_hotel_count,145002.80535888672,1256
prop_book_rate,138318.17587471008,1886
price_vs_mean,137860.70765686035,1410
prop_mean_price,137264.78107070923,1736
price_per_night_per_star,136527.9850883484,1892
query_star_mean,135124.25341033936,1781
prop_click_count,132791.63331222534,1208
prop_std_price,130774.54674911499,1901
price_vs_dest_mean,130164.94082450867,1838
price_per_night,127032.03645706177,1751
prop_book_given_click,125763.19488143921,1948
srch_booking_window,121951.06838607788,1801
value_score,121764.9139137268,1525
price_vs_max,118424.71314620972,1632
prop_log_historical_price,115488.25002670288,1668
price_per_guest,113829.18032836914,1740
total_cost,112608.11263084412,1700
query_price_std,110481.75606155396,1632
review_vs_dest_mean,109734.87849998474,1572
dest_mean_star,107755.83372306824,1536
dest_click_rate,107421.9009552002,1636
dest_mean_price,107131.91628837585,1559
price_to_min_ratio,105978.23426437378,1613
quality_rank_avg,105065.0319480896,1590
review_rank_norm,103547.33653640747,1419
dest_mean_review,102695.84226608276,1586
star_percentile,101352.99678993225,1378
price_percentile,100747.15966415405,1137
dest_book_rate,100742.2466545105,1498
location_total_rank_norm,98791.09379196167,1557
star_vs_mean,95891.70119857788,1322
location1_rank_norm,94021.07294082642,1470
comp_advantage_rank_norm,93475.07867050171,1556
srch_destination_id,91247.98749160767,1524
site_book_rate,90824.63320159912,1349
price_per_person,90595.96015548706,1454
site_dest_book_rate,90184.28397750854,1416
query_price_mean,88687.84178161621,1297
review_rank,85641.85013580322,953
price_per_star,85289.74762916565,1323
price_rank_norm,84755.00619506836,1049
value_gap,83359.33186912537,1278
star_vs_dest_mean,83273.36260986328,1257
price_vs_min,82164.33339691162,1192
site_country_book_rate,81523.3169631958,1260
starrating_rank_norm,78861.31179046631,1158
comp_rate_pct_mean,75405.78415679932,1197
srch_query_affinity_score,73946.40417098999,903
country_book_rate,69109.90490722656,1049
cpair_book_rate,68653.46298217773,1125
price_per_room,67089.8960723877,1040
comp_rate_pct_max,66673.73826408386,1065
log_distance,63882.74316215515,1040
price_usd,63137.597175598145,935
query_affinity_exp,61451.52723503113,780
hour,61399.80644607544,1012
price_ratio_to_visitor_hist,60052.57678413391,722
comp_rate_pct_min,59697.07715988159,959
log_prop_count,58125.67976760864,803
comp_advantage_rank,56512.25880432129,846
price_diff_from_visitor_hist,54777.19375228882,657
starrating_rank,54074.187061309814,613
location1_rank,49932.54496383667,749
location_total_rank,48200.769592285156,752
star_review_product,44581.81294250488,419
distance_x_international,39555.87116241455,588
prop_review_score,39321.793827056885,359
abs_star_diff,38863.92582702637,499
prop_country_id,38348.4500541687,514
visitor_location_country_id,38146.28112030029,601
visitor_hist_adr_usd,37837.7272605896,484
star_diff,36397.4642906189,484
site_id,36296.0199508667,555
visitor_hist_starrating,33358.38447570801,441
star_x_brand,31404.767959594727,289
is_discounted,29498.0446434021,48
month,29104.765800476074,482
promotion_flag,29064.424446105957,143
dayofweek,26212.84348487854,450
log_price,26066.629528045654,393
srch_length_of_stay,23006.389030456543,325
prop_brand_bool,20564.021617889404,181
comp_rate_count,20530.424446105957,340
total_guests,18229.120193481445,293
comp_inv_count,17635.037300109863,281
srch_adults_count,14809.126026153564,221
srch_children_count,14776.031898498535,239
has_location_score2,14490.547039031982,8
comp_rate_sum,14228.491611480713,238
prop_starrating,13006.73049545288,70
n_best_flags,10498.819259643555,109
is_overpriced,10063.3786277771,54
is_domestic,8746.250701904297,122
comp_more_expensive_count,8490.636512756348,132
comp_no_inv_count,6465.535247802734,117
is_last_minute,6379.802619934082,71
comp_rate_advantage,6137.036888122559,102
srch_room_count,5228.369968414307,79
comp_cheaper_count,4934.891708374023,89
is_family,3382.096611022949,44
srch_saturday_night_bool,2958.191520690918,53
review_is_zero,2302.2318077087402,26
is_long_window,1765.722095489502,29
is_short_window,1461.458095550537,25
is_weekend_search,1059.8383865356445,18
is_best_star,569.5613021850586,7
starrating_is_zero,546.5820007324219,2
has_distance,471.4270935058594,9
is_best_location1,389.2019958496094,5
is_cheapest,369.30599212646484,3
is_long_window_x_top_quartile_price,289.0982971191406,5
has_query_affinity,272.46349334716797,5
is_best_review,160.5553970336914,3
is_most_expensive,133.35110473632812,2
has_historical_price,0.0,0
has_visitor_history,0.0,0
