feature,gain,split
prop_location_score2,1615233.4581069946,2625
prop_dest_book_rate,734424.7451782227,2549
prop_click_rate,515500.2961883545,1796
location2_rank_norm,512400.5139694214,1918
price_vs_prop_mean,491230.83575439453,1963
prop_avg_position,439548.75701904297,2723
location2_rank,434635.0636520386,1337
prop_price_zscore,432496.6301422119,2192
price_ratio_to_hist,418124.9519958496,2527
value_score_rank,350370.0382614136,1323
loc2_vs_mean,265708.1798210144,1999
prop_rel_rate,250417.9501991272,1410
price_z_score,241988.1570701599,1862
price_diff_from_hist,225453.34021377563,1752
price_rank,223532.08903121948,1088
price_vs_median,222590.66989517212,1702
dest_count,209155.8441581726,1787
value_score_rank_norm,199959.05475616455,1413
prop_location_score1,187531.84048461914,1601
prop_site_book_rate,179212.68230056763,1801
loc1_vs_mean,165214.014793396,1957
price_vs_mean,162363.95777130127,1232
log_price_z_score,160397.60943603516,1481
location_total,158940.19635772705,1630
promo_x_cheap,156036.18366241455,979
review_vs_mean,150949.36544036865,1628
query_star_mean,148389.59254455566,1688
prop_count,141230.6528892517,1666
prop_book_rate,139756.76376724243,1233
review_percentile,131389.21370315552,1452
price_vs_max,120284.48245239258,1527
prop_std_price,115966.69640350342,1544
prop_click_count,115518.46702575684,1065
price_vs_dest_mean,113986.27422332764,1470
orig_destination_distance,113268.43394851685,1588
price_per_night_per_star,112821.74117660522,1464
price_per_night,111857.13348388672,1521
query_hotel_count,107004.37644195557,845
prop_mean_price,105866.38045120239,1213
prop_book_given_click,105602.83174133301,1437
dest_click_rate,103510.12786102295,1462
srch_booking_window,100204.40254592896,1384
review_rank_norm,97679.74543762207,1218
prop_log_historical_price,97327.85377502441,1310
price_percentile,95752.5361404419,992
total_cost,95294.14033508301,1373
price_to_min_ratio,95266.79345703125,1292
review_vs_dest_mean,94834.39894485474,1285
review_rank,94464.24604797363,882
dest_mean_review,93405.82612228394,1301
price_per_guest,92936.47222518921,1294
query_price_std,90887.09429168701,1158
value_score,90091.94200515747,1075
star_vs_mean,88762.27611160278,1052
quality_rank_avg,87143.01321029663,1232
dest_mean_star,84180.97289276123,1113
dest_mean_price,83854.36059951782,1128
location_total_rank_norm,82591.73803710938,1172
star_percentile,82284.20798110962,1065
dest_book_rate,81540.35210037231,1158
price_per_person,78301.04235839844,1145
value_gap,77438.71531677246,1076
site_dest_book_rate,76339.7200088501,1113
location1_rank_norm,75516.06675338745,1098
price_vs_min,75048.42234802246,1004
site_book_rate,74594.12203216553,1005
price_rank_norm,74143.10508346558,850
star_vs_dest_mean,73310.97654724121,998
query_price_mean,72003.50095748901,1001
srch_destination_id,71756.72253036499,1091
srch_query_affinity_score,71105.15421295166,835
price_per_star,67588.05271148682,968
log_distance,67384.2952041626,955
comp_advantage_rank_norm,66908.21356964111,1008
price_premium_vs_prop_hist_x_short_window,66332.64738082886,463
site_country_book_rate,66302.5426826477,987
starrating_rank_norm,66239.1022605896,908
price_ratio_to_visitor_hist,63799.34150314331,728
star_review_product,57574.12126541138,410
comp_rate_pct_mean,57210.870624542236,855
cpair_book_rate,55872.42388153076,837
comp_rate_pct_max,55749.785873413086,786
country_book_rate,54114.92992782593,731
comp_rate_pct_min,52496.41241836548,800
price_usd,51051.13882446289,695
hour,50555.20701980591,788
price_per_room,49674.08236312866,721
query_affinity_exp,49155.72669219971,570
comp_advantage_rank,46765.41563415527,668
price_diff_from_visitor_hist,44964.84360122681,526
location1_rank,44533.27458572388,640
starrating_rank,43260.24095535278,503
abs_star_diff,40156.14572143555,498
location_total_rank,38242.980293273926,552
log_prop_count,37975.37398529053,549
visitor_hist_adr_usd,36401.0337600708,424
has_location_score2,34984.615463256836,13
distance_x_international,34797.57252883911,467
prop_country_id,33861.98066711426,471
star_x_brand,33684.31736755371,287
visitor_location_country_id,31701.665966033936,474
prop_review_score,31561.032180786133,284
visitor_hist_starrating,30892.19092941284,373
star_diff,30010.838508605957,371
site_id,27923.772605895996,400
promotion_flag,23714.869987487793,110
month,22821.564178466797,355
log_price,22705.224395751953,312
srch_length_of_stay,22641.179569244385,294
is_discounted,21268.240489959717,50
dayofweek,20008.20288848877,326
prop_brand_bool,16907.562519073486,148
total_guests,15503.45331954956,237
comp_rate_count,15273.55708694458,230
comp_inv_count,14991.556232452393,228
comp_rate_sum,14771.580757141113,220
srch_children_count,14140.233837127686,196
srch_adults_count,12702.52682876587,186
prop_starrating,11602.532028198242,57
comp_more_expensive_count,8943.067371368408,130
n_best_flags,8923.957904815674,107
is_overpriced,8635.086311340332,39
is_domestic,7540.627902984619,89
is_last_minute,4665.9183349609375,58
comp_rate_advantage,4645.634902954102,68
srch_room_count,4214.445796966553,65
comp_no_inv_count,4186.522693634033,68
comp_cheaper_count,3907.990409851074,62
srch_saturday_night_bool,2441.680419921875,39
is_family,2179.395305633545,34
is_long_window,2046.9168014526367,26
review_is_zero,1573.9827880859375,18
is_short_window,1169.3457946777344,20
is_price_premium_x_short_window,1123.733798980713,15
is_weekend_search,553.2997894287109,9
is_cheapest,483.1305923461914,5
has_query_affinity,423.4213066101074,5
starrating_is_zero,281.204891204834,3
has_distance,277.4739990234375,5
is_best_review,246.40390014648438,4
is_best_location1,213.6284065246582,3
is_best_star,97.64469909667969,2
has_visitor_history,46.82929992675781,1
is_most_expensive,44.72489929199219,1
has_historical_price,0.0,0
