feature,gain,split
prop_location_score2,1689468.3758049011,4369
prop_dest_book_rate,760316.9781246185,3837
location2_rank_norm,586705.0698165894,3148
price_vs_prop_mean,563754.3283061981,2928
prop_click_rate,562486.6194400787,3087
prop_avg_position,523386.40552711487,4388
location2_rank,505386.5103530884,1965
prop_price_zscore,494319.85400772095,3440
price_ratio_to_hist,465498.79121780396,3610
prop_rel_rate,355421.3927822113,2430
value_score_rank,338616.83049201965,1638
loc2_vs_mean,303415.8531360626,3331
price_vs_median,285184.88447380066,2506
price_z_score,281942.3532676697,2542
dest_count,277355.6029319763,3008
price_diff_from_hist,277161.8098011017,2927
value_score_rank_norm,274640.861869812,2540
prop_location_score1,263865.00822257996,2617
price_rank,229032.45816993713,1388
prop_site_book_rate,215512.98593902588,2870
loc1_vs_mean,209085.858171463,2943
review_vs_mean,204192.71035575867,2571
orig_destination_distance,192477.00299263,3202
location_total,185406.05906677246,2503
log_price_z_score,184915.83469200134,1996
promo_x_cheap,181713.68987464905,1479
prop_count,174867.5662498474,2538
review_percentile,171512.58617782593,2364
query_hotel_count,165848.72953605652,1539
price_vs_dest_mean,165674.04384422302,2632
prop_mean_price,161399.93993759155,2266
price_vs_mean,160991.29075431824,1924
prop_std_price,159185.1287765503,2540
prop_book_rate,159121.10880470276,2369
price_per_night_per_star,158012.60000801086,2456
query_star_mean,157905.4791469574,2359
price_vs_max,155913.78921318054,2471
srch_booking_window,147675.47247695923,2436
price_per_night,146413.34058761597,2292
price_per_guest,145800.0333995819,2455
prop_log_historical_price,144870.85824012756,2289
prop_click_count,142483.440864563,1472
prop_book_given_click,142449.9309310913,2418
quality_rank_avg,135208.4203567505,2249
dest_click_rate,134697.40226364136,2290
prop_rare_x_long_trip,133892.2713546753,2133
dest_mean_price,133855.30882453918,2107
review_vs_dest_mean,133657.18601608276,2141
dest_mean_star,132761.48293113708,2051
price_to_min_ratio,132687.51913452148,2273
value_score,129724.19211959839,1852
dest_mean_review,128760.75747489929,2194
location_total_rank_norm,126720.18082427979,2203
query_price_std,126251.8709564209,1992
review_rank_norm,122854.4785823822,1851
price_percentile,122076.47687149048,1586
dest_book_rate,120437.68936347961,1983
star_percentile,120138.21935844421,1823
location1_rank_norm,118991.39997291565,2031
total_cost,116805.53901863098,1947
site_dest_book_rate,116671.39587783813,2051
comp_advantage_rank_norm,115357.61187553406,2074
srch_destination_id,112627.90746879578,2064
price_per_person,112064.37309265137,1974
star_vs_mean,111313.24151611328,1700
star_vs_dest_mean,108397.91072654724,1811
query_price_mean,107529.10070228577,1777
site_book_rate,104970.53403663635,1701
price_per_star,104014.1710987091,1776
value_gap,101955.17968177795,1755
price_rank_norm,99744.51849555969,1423
review_rank,99732.47678947449,1197
site_country_book_rate,97204.04725837708,1666
price_vs_min,96378.35797309875,1581
comp_rate_pct_mean,89008.10198020935,1581
cpair_book_rate,88118.43388366699,1569
srch_query_affinity_score,88020.86553001404,1210
starrating_rank_norm,87872.39772224426,1426
price_per_room,86145.78184318542,1452
comp_rate_pct_max,86010.69732666016,1465
hour,78827.50168037415,1443
country_book_rate,78055.00459289551,1307
price_usd,75533.19888877869,1232
comp_rate_pct_min,75104.39715385437,1328
log_distance,71354.06868362427,1291
query_affinity_exp,67846.47612380981,949
price_ratio_to_visitor_hist,67693.64265823364,883
log_prop_count,66586.25776672363,1051
starrating_rank,66221.4307346344,839
comp_advantage_rank,65146.395250320435,1037
location_total_rank,59617.368827819824,1003
price_diff_from_visitor_hist,58768.53894042969,737
location1_rank,57847.43473815918,978
star_review_product,53731.64269447327,607
distance_x_international,47794.94861984253,784
prop_country_id,43867.879556655884,689
abs_star_diff,43231.80192565918,593
site_id,43194.85659408569,698
visitor_location_country_id,42363.88195228577,735
star_diff,40647.32942008972,601
prop_review_score,40452.79176902771,398
visitor_hist_adr_usd,39989.62044906616,559
visitor_hist_starrating,38419.00754547119,520
month,38029.30944061279,703
star_x_brand,35626.01984214783,374
dayofweek,32301.459217071533,620
log_price,30387.596300125122,503
promotion_flag,29583.756217956543,159
comp_rate_count,27249.831699371338,482
srch_length_of_stay,23538.235233306885,366
total_guests,22410.480709075928,407
comp_inv_count,21313.756099700928,372
prop_brand_bool,19577.32562637329,186
comp_rate_sum,19364.66548538208,336
srch_children_count,18857.63920021057,319
srch_adults_count,18372.877605438232,301
is_discounted,17401.397491455078,47
prop_starrating,15350.953845977783,97
n_best_flags,14185.421857833862,177
has_location_score2,14174.718444824219,8
is_overpriced,12109.291774749756,55
is_domestic,10676.439010620117,152
comp_more_expensive_count,10101.062278747559,171
comp_no_inv_count,8993.041690826416,167
comp_rate_advantage,7186.072509765625,133
comp_cheaper_count,6667.421371459961,124
is_last_minute,6391.212512969971,78
srch_room_count,5461.224502563477,97
is_family,4409.089508056641,63
srch_saturday_night_bool,4247.983715057373,76
review_is_zero,2742.285228729248,31
is_short_window,2635.8851013183594,49
is_long_window,2168.3153915405273,42
is_weekend_search,1532.0893058776855,29
has_query_affinity,733.4827041625977,12
starrating_is_zero,721.9757957458496,4
is_cheapest,562.0186004638672,5
is_best_location1,500.4287986755371,9
is_best_review,459.5902976989746,7
is_best_star,449.1201972961426,8
has_distance,377.2893943786621,5
has_historical_price,127.40539932250977,2
has_visitor_history,58.77360153198242,1
is_most_expensive,0.0,0
