feature,gain,split
prop_location_score2,1678314.2232265472,4316
prop_dest_book_rate,769577.7803764343,3802
location2_rank_norm,585843.4151668549,3144
price_vs_prop_mean,561554.7030620575,2927
prop_click_rate,552120.3976383209,2998
prop_avg_position,525999.4725189209,4246
location2_rank,520705.11403274536,1991
prop_price_zscore,512745.47252464294,3479
price_ratio_to_hist,446439.562871933,3556
prop_rel_rate,342040.80286026,2504
value_score_rank,333207.95563316345,1583
loc2_vs_mean,301236.36601638794,3342
price_vs_median,297145.53985595703,2613
dest_count,287657.89629364014,3153
price_diff_from_hist,285199.44378852844,2952
price_z_score,283465.80257987976,2593
value_score_rank_norm,270881.3542327881,2500
prop_location_score1,265970.60064888,2779
price_rank,219096.17894172668,1301
prop_site_book_rate,219027.370098114,2900
query_difficulty_index,213455.29793930054,2613
loc1_vs_mean,208446.88578033447,2919
review_vs_mean,206697.2942943573,2590
orig_destination_distance,195695.41996383667,3302
log_price_z_score,190351.81614494324,2079
location_total,186423.94055366516,2505
prop_count,180920.60940551758,2674
promo_x_cheap,177416.6157131195,1389
review_percentile,173270.4988117218,2385
prop_book_rate,170843.78381729126,2452
price_per_night_per_star,163778.29360198975,2542
prop_std_price,163364.39756774902,2583
query_star_mean,162194.61961746216,2369
price_vs_mean,161311.4024658203,1975
prop_mean_price,159749.84755134583,2275
price_vs_dest_mean,159248.12309074402,2525
price_per_night,157437.8566646576,2485
price_vs_max,156105.15142440796,2492
srch_booking_window,154842.38273239136,2517
prop_log_historical_price,151658.87816238403,2399
prop_book_given_click,144733.27474212646,2442
price_per_guest,141930.90709877014,2414
prop_click_count,140474.2664718628,1524
total_cost,138439.84195709229,2303
query_price_std,135807.67797660828,2161
price_to_min_ratio,135612.02533721924,2275
dest_click_rate,134803.62090492249,2297
quality_rank_avg,132842.92210578918,2242
dest_mean_price,131924.8859348297,2069
dest_mean_star,130161.59280014038,2033
dest_mean_review,130132.78662109375,2215
review_vs_dest_mean,130030.52933311462,2093
location_total_rank_norm,128345.75026893616,2226
value_score,127047.6172580719,1890
review_rank_norm,122071.44715499878,1827
dest_book_rate,121619.61479187012,2009
srch_destination_id,120711.35699653625,2226
price_percentile,119295.61100196838,1555
comp_advantage_rank_norm,118030.68540382385,2135
star_percentile,116852.51499938965,1741
site_dest_book_rate,116664.21377754211,2071
location1_rank_norm,116233.10269927979,1987
price_per_person,114079.88153457642,1992
star_vs_mean,113232.78125190735,1741
star_vs_dest_mean,109933.0927028656,1805
query_price_mean,105181.67766571045,1715
site_book_rate,102646.6845741272,1636
price_per_star,102193.23893356323,1762
value_gap,101557.46633148193,1783
price_vs_min,101340.32502174377,1626
price_rank_norm,97995.80951118469,1370
site_country_book_rate,96213.7158279419,1653
review_rank,95418.70917510986,1140
query_hotel_count,93585.21182441711,952
comp_rate_pct_mean,90540.24906158447,1578
srch_query_affinity_score,90447.54705429077,1223
comp_rate_pct_max,86213.23914527893,1484
starrating_rank_norm,84737.9072265625,1391
cpair_book_rate,83970.32397842407,1507
country_book_rate,81049.83136177063,1335
price_per_room,79476.60721588135,1365
hour,79368.862033844,1448
price_usd,75755.43382072449,1251
log_distance,74489.74211883545,1332
log_prop_count,74358.94994354248,1178
comp_rate_pct_min,73478.07411384583,1313
query_affinity_exp,66824.61559295654,950
price_ratio_to_visitor_hist,65420.54627227783,809
comp_advantage_rank,61686.08695793152,1000
location_total_rank,60161.67629814148,993
starrating_rank,57689.94101333618,759
location1_rank,57117.59414291382,975
star_review_product,56637.25693130493,587
price_diff_from_visitor_hist,55360.66868019104,736
distance_x_international,48993.7988319397,776
prop_country_id,44706.46615982056,697
abs_star_diff,43108.244647979736,573
star_diff,42894.36702346802,625
site_id,42356.239919662476,699
prop_review_score,42106.76452255249,394
visitor_hist_adr_usd,41875.90460014343,563
visitor_location_country_id,40513.842458724976,697
visitor_hist_starrating,37517.153522491455,541
dayofweek,36467.973024368286,689
month,36062.7894821167,677
star_x_brand,33480.357902526855,370
log_price,31914.720985412598,520
srch_length_of_stay,29756.01159477234,450
is_discounted,29374.747901916504,53
promotion_flag,29251.637321472168,159
comp_rate_count,26676.096981048584,469
comp_inv_count,24552.42515182495,410
prop_brand_bool,22738.83966064453,184
total_guests,22116.488288879395,373
srch_adults_count,19991.730041503906,331
comp_rate_sum,19210.10968399048,332
prop_starrating,17711.39658355713,84
srch_children_count,17590.157119750977,307
has_location_score2,14029.49984741211,6
is_overpriced,12795.591228485107,52
is_domestic,11594.63415145874,169
n_best_flags,10456.453727722168,148
comp_more_expensive_count,10439.371635437012,177
comp_rate_advantage,7464.061382293701,135
comp_no_inv_count,7202.91921043396,141
is_last_minute,6757.631702423096,86
srch_room_count,6339.429218292236,111
comp_cheaper_count,5780.2848072052,108
srch_saturday_night_bool,4189.750503540039,71
is_family,3792.937732696533,57
review_is_zero,2511.578197479248,28
is_long_window,2293.384017944336,35
is_short_window,1887.3132934570312,40
is_weekend_search,1376.0968132019043,25
is_best_review,847.0806045532227,11
starrating_is_zero,624.6909103393555,5
has_query_affinity,529.924991607666,9
is_best_location1,337.9188919067383,4
has_distance,323.08459854125977,5
is_cheapest,283.8440971374512,4
is_best_star,279.88930320739746,4
is_most_expensive,45.912899017333984,1
has_historical_price,0.0,0
has_visitor_history,0.0,0
