test_id,phase,n_members,members_added,weights_added,v6_weight,total_added_weight,ndcg5,recall1,recall5,mean_booked_rank,delta_vs_v6_loo9,delta_vs_v4_anchor
v6+query_difficulty_index@w=0.05,A1_single,2,query_difficulty_index,0.0500,0.95,0.05,0.40893922852416614,0.2402044902044902,0.6236951236951237,6.18035893035893,-2.0771475833847308e-05,0.004929228524166163
v6+is_long_window_x_top_quartile_price@w=0.05,A1_single,2,is_long_window_x_top_quartile_price,0.0500,0.95,0.05,0.4088924997646608,0.24016874016874018,0.6237666237666237,6.184219934219934,-6.75002353391907e-05,0.004882499764660819
v6+brand_x_domestic@w=0.05,A1_single,2,brand_x_domestic,0.0500,0.95,0.05,0.4088917452153102,0.24016874016874018,0.6238738738738738,6.183969683969684,-6.825478468980295e-05,0.004881745215310207
v6+query_difficulty_index@0.050+is_long_window_x_top_quartile_price@0.050,A2_top2,3,query_difficulty_index+is_long_window_x_top_quartile_price,"0.0500,0.0500",0.9,0.1,0.4088056191116963,0.2400972400972401,0.6241598741598742,6.182325182325182,-0.00015438088830371788,0.004795619111696292
v6+is_long_window_x_top_quartile_price@w=0.15,A1_single,2,is_long_window_x_top_quartile_price,0.1500,0.85,0.15,0.4087967756882756,0.23963248963248962,0.6245173745173745,6.185971685971686,-0.0001632243117243859,0.004786775688275624
v6+prop_rare_x_long_trip@w=0.05,A1_single,2,prop_rare_x_long_trip,0.0500,0.95,0.05,0.40876448271210986,0.2398112398112398,0.6231946231946232,6.184327184327184,-0.00019551728789013456,0.004754482712109875
v6+query_difficulty_index@0.100+is_long_window_x_top_quartile_price@0.050,A2_top2,3,query_difficulty_index+is_long_window_x_top_quartile_price,"0.1000,0.0500",0.85,0.15000000000000002,0.4087550693300974,0.24038324038324038,0.624016874016874,6.182611182611183,-0.00020493066990256992,0.00474506933009744
v6+is_long_window_x_top_quartile_price@w=0.10,A1_single,2,is_long_window_x_top_quartile_price,0.1000,0.9,0.1,0.40872259366491387,0.23952523952523952,0.6243386243386243,6.186114686114686,-0.00023740633508612108,0.004712593664913889
v6+query_difficulty_index@w=0.15,A1_single,2,query_difficulty_index,0.1500,0.85,0.15,0.40871824323948375,0.23984698984698985,0.624016874016874,6.185935935935936,-0.00024175676051624295,0.004708243239483767
v6+query_difficulty_index@w=0.10,A1_single,2,query_difficulty_index,0.1000,0.9,0.1,0.40866607401538246,0.23973973973973975,0.6241241241241241,6.183397683397684,-0.00029392598461752684,0.004656074015382483
