test_id,n_members,members_added,weights_added,v6_weight,ndcg5,recall1,recall5,mean_booked_rank,delta_vs_v6_loo9,delta_vs_v4_anchor
v6+rank_xendcg_regularized@w=0.10,2,rank_xendcg_regularized,0.1000,0.9,0.4093307024882868,0.24074074074074073,0.6241956241956242,6.165415415415415,0.0003707024882868004,0.00532070248828681
v6+rank_xendcg_regularized@0.1+CP_regularized@0.05+DS_regularized@0.05,4,rank_xendcg_regularized+CP_regularized+DS_regularized,"0.1000,0.0500,0.0500",0.8,0.4092264140206832,0.240990990990991,0.6240526240526241,6.162054912054912,0.0002664140206832255,0.0052164140206832355
v6+rank_xendcg_regularized@0.05+CP_regularized@0.05+DS_regularized@0.1,4,rank_xendcg_regularized+CP_regularized+DS_regularized,"0.0500,0.0500,0.1000",0.8,0.4091832908719209,0.24034749034749034,0.6243743743743744,6.166809666809667,0.00022329087192091146,0.005173290871920921
v6+rank_xendcg_regularized@w=0.05,2,rank_xendcg_regularized,0.0500,0.95,0.40917776164854397,0.24041899041899042,0.6241241241241241,6.174781924781925,0.00021776164854397928,0.005167761648543989
v6+rank_xendcg_regularized@0.1+CP_regularized@0.05+DS_regularized@0.1,4,rank_xendcg_regularized+CP_regularized+DS_regularized,"0.1000,0.0500,0.1000",0.75,0.4091270699396141,0.24038324038324038,0.6238023738023738,6.161768911768911,0.00016706993961412842,0.005117069939614138
v6+rank_xendcg_regularized@0.05+CP_regularized@0.1+DS_regularized@0.05,4,rank_xendcg_regularized+CP_regularized+DS_regularized,"0.0500,0.1000,0.0500",0.8,0.4091197578150182,0.2408122408122408,0.6241241241241241,6.166773916773916,0.0001597578150182022,0.005109757815018212
v6+CP_regularized@w=0.10,2,CP_regularized,0.1000,0.9,0.40911809332987503,0.2408122408122408,0.6242313742313742,6.176462176462176,0.000158093329875042,0.005108093329875052
v6+rank_xendcg_regularized@0.05+CP_regularized@0.05+DS_regularized@0.05,4,rank_xendcg_regularized+CP_regularized+DS_regularized,"0.0500,0.0500,0.0500",0.85,0.4091161783467854,0.24013299013299014,0.6239096239096239,6.16977691977692,0.000156178346785385,0.005106178346785395
v6+rank_xendcg_regularized@0.1+CP_regularized@0.1+DS_regularized@0.05,4,rank_xendcg_regularized+CP_regularized+DS_regularized,"0.1000,0.1000,0.0500",0.75,0.4091051163104927,0.24052624052624053,0.6241241241241241,6.160696410696411,0.0001451163104926878,0.005095116310492698
v6+rank_xendcg_regularized@w=0.15,2,rank_xendcg_regularized,0.1500,0.85,0.40907336579875053,0.24049049049049048,0.6232661232661233,6.161411411411412,0.00011336579875054209,0.005063365798750552
v6+DS_regularized@w=0.10,2,DS_regularized,0.1000,0.9,0.4090568756075887,0.2400972400972401,0.6238023738023738,6.178321178321179,9.687560758869784e-05,0.005046875607588708
v6+rank_xendcg_regularized@0.05+CP_regularized@0.1+DS_regularized@0.1,4,rank_xendcg_regularized+CP_regularized+DS_regularized,"0.0500,0.1000,0.1000",0.75,0.40905136491862404,0.2399184899184899,0.6241241241241241,6.164342914342915,9.136491862404839e-05,0.005041364918624058
v6+CP_regularized@w=0.05,2,CP_regularized,0.0500,0.95,0.40902737398873906,0.24034749034749034,0.6239811239811239,6.180394680394681,6.73739887390723e-05,0.005017373988739082
v6+lg_0_2_15@w=0.05,2,lg_0_2_15,0.0500,0.95,0.409018099406048,0.24038324038324038,0.6237308737308738,6.183790933790934,5.8099406048006674e-05,0.005008099406048017
v6+lg_0_2_15@w=0.10,2,lg_0_2_15,0.1000,0.9,0.4090058987986433,0.2402044902044902,0.6237308737308738,6.185828685828686,4.5898798643306815e-05,0.004995898798643317
v6+DS_regularized@w=0.15,2,DS_regularized,0.1500,0.85,0.40899448948922523,0.23995423995423995,0.6235521235521235,6.17942942942943,3.448948922524231e-05,0.004984489489225252
v6+lg_0_3_15@w=0.05,2,lg_0_3_15,0.0500,0.95,0.4089644991593645,0.24038324038324038,0.6238738738738738,6.181431431431432,4.499159364512728e-06,0.004954499159364523
v6_loo9_baseline,1,,,1.0,0.4089632047378948,0.24013299013299014,0.6238738738738738,6.181824681824682,3.204737894835219e-06,0.004953204737894845
v6+DS_regularized@w=0.05,2,DS_regularized,0.0500,0.95,0.4089429168135226,0.2397039897039897,0.6238738738738738,6.17967967967968,-1.708318647741791e-05,0.004932916813522592
v6+ipw_clip3_bal15@w=0.05,2,ipw_clip3_bal15,0.0500,0.95,0.40893975554640083,0.24013299013299014,0.6237666237666237,6.183790933790934,-2.0244453599160828e-05,0.004929755546400849
v6+CP_regularized@w=0.15,2,CP_regularized,0.1500,0.85,0.4089308968188541,0.24074074074074073,0.6239096239096239,6.177069927069927,-2.9103181145906376e-05,0.004920896818854104
v6+lg_0_1_20@w=0.05,2,lg_0_1_20,0.0500,0.95,0.40890744542497437,0.24013299013299014,0.6234091234091234,6.181681681681682,-5.2554575025620665e-05,0.004897445424974389
v6+CP_regularized@w=0.20,2,CP_regularized,0.2000,0.8,0.40889969508846835,0.24106249106249106,0.6236951236951237,6.176533676533676,-6.030491153163897e-05,0.004889695088468371
v6+lg_0_1_10@w=0.05,2,lg_0_1_10,0.0500,0.95,0.4088761862172818,0.24024024024024024,0.6236951236951237,6.183361933361933,-8.381378271821172e-05,0.004866186217281798
v6+rank_xendcg_regularized@w=0.20,2,rank_xendcg_regularized,0.2000,0.8,0.4088567678035414,0.2400972400972401,0.6232661232661233,6.157979407979408,-0.00010323219645858028,0.00484676780354143
