feature,gain,split
prop_location_score2,1189428.6205062866,3024
prop_dest_book_rate,543597.891872406,2546
location2_rank_norm,407276.2007331848,2145
prop_price_zscore,376868.15829849243,2365
price_vs_prop_mean,376675.54610061646,1987
location2_rank,369150.9329185486,1447
prop_avg_position,366355.397567749,2772
price_ratio_to_hist,309327.0005531311,2449
prop_click_rate,294130.0938644409,1768
value_score_rank,252740.75661468506,1142
prop_rel_rate,225054.28136444092,1496
loc2_vs_mean,218443.24914169312,2290
price_z_score,207425.94066619873,1817
price_vs_median,204445.95510101318,1700
prop_click_rate_pos_adj_s40_oof,198804.01622009277,1952
dest_count,191582.75467300415,2036
value_score_rank_norm,188772.32139587402,1696
price_diff_from_hist,187326.82291030884,1903
prop_location_score1,175174.95319366455,1868
price_rank,160754.51586532593,993
prop_site_book_rate,148797.85928344727,1804
loc1_vs_mean,146325.4039993286,1993
review_vs_mean,145255.35681533813,1745
location_total,144541.34023284912,1795
log_price_z_score,136502.67012786865,1441
orig_destination_distance,133062.30096817017,2132
promo_x_cheap,132571.56382369995,1017
prop_count,123953.02080917358,1757
query_hotel_count,122326.05221176147,1132
price_per_night_per_star,116339.29524230957,1726
query_star_mean,115268.85969924927,1668
review_percentile,115235.1123046875,1562
prop_mean_price,114830.72584915161,1542
prop_std_price,114764.80438995361,1745
price_vs_mean,113192.61837768555,1255
prop_book_rate,108540.25911712646,1583
price_vs_dest_mean,106167.34915161133,1630
price_vs_max,103044.24753952026,1563
price_per_night,100642.68307495117,1539
prop_log_historical_price,100222.5214767456,1559
prop_book_given_click,99339.85775756836,1638
quality_rank_avg,98384.30004501343,1556
srch_booking_window,97229.93160629272,1506
prop_click_count,96398.98571395874,1010
price_per_guest,94169.84924697876,1541
review_vs_dest_mean,93783.122215271,1393
dest_click_rate,93712.10316467285,1515
location_total_rank_norm,90930.61947631836,1475
dest_mean_price,90656.92867660522,1378
value_score,89933.47207641602,1291
total_cost,89920.9670715332,1436
price_percentile,89330.7873878479,1144
query_price_std,89067.45788574219,1362
dest_mean_star,88440.69268035889,1356
review_rank_norm,85133.48369979858,1232
star_vs_mean,85083.48958587646,1248
price_to_min_ratio,84742.91244506836,1347
dest_mean_review,83995.005153656,1366
site_dest_book_rate,82451.84537506104,1370
location1_rank_norm,79716.56746292114,1302
dest_book_rate,79338.62363433838,1255
star_vs_dest_mean,76702.8341140747,1246
star_percentile,76624.02122879028,1146
srch_destination_id,76528.57244491577,1350
comp_advantage_rank_norm,74761.13668060303,1295
price_per_person,73282.23638534546,1250
review_rank,71579.78058242798,867
price_per_star,71488.32024765015,1179
price_rank_norm,70741.34220504761,957
site_book_rate,70002.47370147705,1091
site_country_book_rate,69636.9056892395,1184
price_vs_min,69548.36047744751,1091
query_price_mean,69092.03771591187,1090
starrating_rank_norm,68940.91124343872,1090
value_gap,68075.21698379517,1116
comp_rate_pct_mean,64499.300594329834,1094
price_usd,60859.72828292847,922
cpair_book_rate,60854.71380996704,1075
comp_rate_pct_max,58346.384216308594,983
srch_query_affinity_score,57906.261489868164,775
country_book_rate,56876.4928894043,922
price_per_room,56569.76247406006,926
log_distance,54126.450035095215,921
log_prop_count,53908.663635253906,839
hour,51519.98184967041,914
query_affinity_exp,50801.306396484375,689
comp_rate_pct_min,50599.616790771484,869
comp_advantage_rank,50131.379901885986,789
price_ratio_to_visitor_hist,44895.77944946289,579
starrating_rank,44866.03327178955,586
location1_rank,43648.47330856323,725
price_diff_from_visitor_hist,43102.21800994873,539
location_total_rank,41909.04479598999,709
star_review_product,40927.84720993042,421
distance_x_international,33485.85759353638,555
prop_review_score,33326.39110183716,307
prop_country_id,33118.956508636475,513
visitor_location_country_id,32786.7737121582,552
visitor_hist_adr_usd,31756.216861724854,455
site_id,31140.09659576416,515
star_diff,30737.233116149902,455
is_discounted,30237.39785003662,43
abs_star_diff,30146.365604400635,399
star_x_brand,28064.63233947754,293
visitor_hist_starrating,25965.515605926514,381
log_price,25649.246517181396,410
month,24136.06898880005,434
dayofweek,21404.777500152588,385
promotion_flag,20605.405796051025,113
srch_length_of_stay,20306.34733581543,316
comp_rate_count,17750.904014587402,303
total_guests,17227.969409942627,286
prop_brand_bool,15438.229675292969,148
comp_inv_count,15143.153701782227,249
comp_rate_sum,13922.446716308594,242
srch_adults_count,12657.890113830566,203
srch_children_count,12598.838207244873,208
is_overpriced,11955.813789367676,44
prop_starrating,9106.198890686035,66
n_best_flags,8910.143096923828,119
is_domestic,7791.97342300415,105
comp_more_expensive_count,6935.501762390137,122
has_location_score2,6127.735622406006,10
comp_rate_advantage,5802.62219619751,101
is_last_minute,5762.918716430664,72
comp_cheaper_count,5377.310398101807,95
comp_no_inv_count,4933.218696594238,91
srch_room_count,4184.951690673828,78
srch_saturday_night_bool,2738.207893371582,52
is_family,2717.5481872558594,41
review_is_zero,1851.3882141113281,26
is_short_window,1773.0502128601074,32
is_long_window,1508.893798828125,27
is_weekend_search,957.5839080810547,16
is_best_star,588.2833023071289,9
is_best_location1,582.4973983764648,9
is_best_review,440.4151954650879,7
has_distance,410.74939727783203,6
is_cheapest,332.6689910888672,2
starrating_is_zero,328.22601318359375,1
has_query_affinity,312.15639877319336,6
has_visitor_history,0.0,0
has_historical_price,0.0,0
is_most_expensive,0.0,0
