feature,gain,split
prop_location_score2,1202579.4570617676,3448
prop_dest_book_rate,476793.3079185486,2635
location2_rank_norm,432252.04923820496,2586
price_vs_prop_mean,414563.88614082336,2389
prop_avg_position,399460.71107673645,3233
location2_rank,386782.4468898773,1736
prop_price_zscore,383267.0457992554,2624
prop_click_rate,357386.0107460022,2347
price_ratio_to_hist,316851.59070396423,2733
value_score_rank,255348.56330490112,1271
loc2_vs_mean,248838.34042739868,2867
prop_dest_book_rate_safe,247316.2907562256,1992
dest_count,222994.54662513733,2567
price_vs_median,221299.84306144714,2027
price_z_score,217519.94581985474,1964
price_diff_from_hist,208384.33784294128,2192
prop_rel_rate,207314.40673446655,1850
value_score_rank_norm,201705.43617630005,1997
prop_location_score1,180940.78633117676,2029
prop_site_book_rate,163023.68972587585,2098
loc1_vs_mean,162303.10206985474,2365
price_rank,161676.76838302612,1057
review_vs_mean,158319.6081867218,1978
orig_destination_distance,156423.20467567444,2597
location_total,153345.9547920227,1988
prop_count,143016.0408859253,2097
promo_x_cheap,137628.79791641235,1130
log_price_z_score,137193.19777488708,1597
query_hotel_count,137167.33994293213,1367
price_per_night_per_star,132299.6951560974,2066
prop_std_price,128923.82781410217,2068
review_percentile,128630.58492660522,1835
query_star_mean,128024.35510063171,1917
prop_mean_price,123375.99683380127,1756
price_per_night,122184.21048736572,1989
price_vs_mean,121755.08208656311,1478
price_vs_dest_mean,119039.41107177734,1916
prop_book_rate,118825.21993637085,1840
srch_booking_window,111468.60509681702,1808
price_vs_max,111115.45307159424,1793
quality_rank_avg,110185.34190368652,1802
price_per_guest,109418.2995223999,1843
review_vs_dest_mean,109401.83861351013,1747
dest_click_rate,108981.65601348877,1893
prop_log_historical_price,108779.41107559204,1740
prop_book_given_click,108209.08650398254,1787
value_score,107576.41425704956,1580
dest_mean_star,103005.45079612732,1659
price_to_min_ratio,102732.42632293701,1722
prop_click_count,102106.70907592773,1111
query_price_std,101511.13008499146,1671
total_cost,99799.11417007446,1654
dest_mean_review,99396.52242279053,1709
dest_mean_price,98395.35006332397,1554
location_total_rank_norm,97327.64526176453,1650
price_percentile,95330.65531921387,1294
dest_book_rate,94274.61311721802,1602
location1_rank_norm,93576.35234642029,1612
review_rank_norm,93227.19005584717,1430
star_vs_mean,88884.23107910156,1342
site_dest_book_rate,88741.96939277649,1562
comp_advantage_rank_norm,88697.69248390198,1591
price_per_person,86492.11047172546,1509
query_price_mean,85337.1234703064,1390
star_percentile,84255.92408180237,1305
site_book_rate,83516.557762146,1356
price_per_star,83512.16739654541,1446
star_vs_dest_mean,82730.50235748291,1381
srch_destination_id,82723.17205810547,1530
value_gap,82584.91805458069,1412
price_rank_norm,80056.31465911865,1132
starrating_rank_norm,77706.44451332092,1299
price_vs_min,77369.8627319336,1267
review_rank,76365.2135810852,986
site_country_book_rate,74907.93208694458,1331
comp_rate_pct_mean,73171.48670578003,1285
cpair_book_rate,70800.47504615784,1278
price_per_room,67427.61131668091,1161
price_usd,67221.43811225891,1096
srch_query_affinity_score,66185.40467262268,920
log_prop_count,65633.34888076782,1053
comp_rate_pct_max,65054.294956207275,1154
country_book_rate,62831.306102752686,1069
hour,60418.07822036743,1119
log_distance,59477.665771484375,1044
comp_rate_pct_min,57781.094104766846,1032
query_affinity_exp,57560.647356033325,816
comp_advantage_rank,53021.53276824951,869
location1_rank,51955.186363220215,895
price_ratio_to_visitor_hist,48695.62018585205,626
location_total_rank,47053.09628677368,820
starrating_rank,46318.49888801575,640
price_diff_from_visitor_hist,44105.1598815918,599
star_review_product,43234.42381286621,496
distance_x_international,38454.89499282837,672
visitor_location_country_id,35918.14119529724,614
site_id,35456.861682891846,587
prop_country_id,34552.26817512512,553
abs_star_diff,33564.41970062256,478
visitor_hist_adr_usd,31683.60782623291,465
prop_review_score,31646.63625717163,308
star_diff,30502.363187789917,463
star_x_brand,30266.141441345215,326
visitor_hist_starrating,28635.702606201172,423
month,28488.26131629944,534
log_price,27428.642654418945,454
dayofweek,24062.26731109619,465
srch_length_of_stay,22760.224294662476,374
promotion_flag,21647.6180267334,115
comp_rate_count,20140.83610343933,363
total_guests,19765.13836669922,342
is_discounted,19001.319789886475,42
comp_inv_count,18023.781871795654,306
prop_brand_bool,17342.8989944458,161
comp_rate_sum,14246.407806396484,252
srch_children_count,13899.496578216553,236
srch_adults_count,12680.441505432129,222
n_best_flags,10169.692691802979,145
is_overpriced,9687.508464813232,35
comp_more_expensive_count,8843.964588165283,152
prop_starrating,8334.36446762085,65
is_domestic,6807.516311645508,99
comp_cheaper_count,6571.204174041748,122
comp_no_inv_count,6003.031902313232,117
comp_rate_advantage,5893.21630859375,108
srch_room_count,4636.923408508301,86
is_last_minute,4323.154991149902,61
has_location_score2,4054.328010559082,9
is_family,2904.6019897460938,47
is_long_window,2346.8978843688965,44
srch_saturday_night_bool,2046.2553062438965,40
is_short_window,1989.0294036865234,34
review_is_zero,1383.028694152832,19
is_weekend_search,882.5952033996582,15
is_best_location1,645.5080947875977,12
starrating_is_zero,596.3324127197266,2
is_cheapest,522.5129013061523,6
has_query_affinity,361.22859954833984,5
is_best_star,338.84119415283203,4
has_distance,311.73019790649414,6
is_best_review,252.41400527954102,5
has_visitor_history,0.0,0
has_historical_price,0.0,0
is_most_expensive,0.0,0
