feature,gain,split
prop_dest_book_rate,374332.78701877594,650
location2_rank,333389.13076877594,297
value_score_rank,246087.48812389374,572
location2_rank_norm,156601.04561424255,433
price_rank,142918.14784049988,633
prop_location_score2,132576.13372421265,879
prop_rel_rate,102065.62951946259,388
prop_avg_position,81979.30205631256,763
query_hotel_count,70772.14528465271,312
price_ratio_to_hist,47986.84620952606,705
prop_price_zscore,44196.91287136078,664
review_rank,42708.107860565186,463
dest_count,41648.11717891693,401
price_z_score,40326.74898529053,786
price_vs_prop_mean,40226.94626045227,577
promo_x_cheap,39461.24194717407,516
prop_location_score1,39456.69498252869,353
loc2_vs_mean,38280.28612136841,498
price_vs_median,37227.78235626221,699
price_diff_from_hist,34901.72597026825,512
prop_book_rate,30945.73720741272,332
prop_click_rate,29556.935715675354,307
total_cost,26340.775431632996,371
prop_site_book_rate,25471.128986358643,393
price_vs_mean,25371.060856819153,410
srch_booking_window,24694.633290290833,587
location_total,23497.576161384583,330
star_percentile,22095.3106508255,257
value_score_rank_norm,21946.324626922607,320
review_percentile,19436.18390083313,516
log_price_z_score,17112.879079818726,338
price_vs_min,15090.636582374573,149
review_vs_mean,14894.103332519531,356
loc1_vs_mean,14489.008708000183,428
price_per_night,12841.945520401001,370
prop_click_count,12112.530037879944,247
review_vs_dest_mean,10635.43588924408,323
query_star_mean,10249.458986282349,327
price_per_night_per_star,9982.393615722656,288
star_vs_mean,9948.396575927734,278
starrating_rank,9928.675401687622,101
price_ratio_to_visitor_hist,9473.10958480835,261
price_per_star,8974.810302734375,129
prop_mean_price,8908.68730354309,253
price_vs_dest_mean,8618.31972694397,303
prop_count,8279.58742427826,252
dest_click_rate,8224.97491645813,297
srch_length_of_stay,8172.917489051819,162
price_percentile,7961.496622085571,220
review_rank_norm,7598.217171669006,222
price_to_min_ratio,7461.735300064087,189
location_total_rank,7091.17663192749,103
starrating_rank_norm,6683.635188102722,186
is_discounted,5924.305173873901,46
comp_rate_pct_mean,5889.9104080200195,201
dest_mean_price,5854.687508583069,211
price_rank_norm,5759.962533950806,137
dest_mean_star,5520.582807540894,165
dest_book_rate,5493.776182174683,206
price_usd,5430.12498664856,121
prop_std_price,5337.374508857727,181
srch_query_affinity_score,5307.792398452759,195
site_dest_book_rate,5234.041394233704,181
orig_destination_distance,5178.0744972229,207
star_vs_dest_mean,5171.12269115448,171
location1_rank_norm,5061.904913902283,155
comp_rate_pct_max,4967.191896438599,153
quality_rank_avg,4890.93810749054,165
price_diff_from_visitor_hist,4818.735723495483,165
prop_log_historical_price,4622.226784706116,162
star_review_product,4505.374796867371,111
value_score,4475.254188537598,149
dest_mean_review,4334.798593521118,148
abs_star_diff,4331.18839263916,146
query_price_mean,4241.04749584198,155
price_per_room,4204.714119911194,125
prop_review_score,4078.609532356262,81
visitor_hist_adr_usd,3910.4370040893555,122
country_book_rate,3801.076976776123,139
site_country_book_rate,3780.7512969970703,132
srch_adults_count,3721.275993347168,85
site_book_rate,3666.3775939941406,151
query_price_std,3637.280906677246,142
promotion_flag,3504.4958000183105,83
price_vs_max,3502.238500595093,140
location_total_rank_norm,3470.714779853821,107
price_per_guest,3305.8784189224243,132
comp_rate_pct_min,3203.3889875411987,102
value_gap,3038.589298248291,99
log_prop_count,2795.5566987991333,94
query_affinity_exp,2700.1366968154907,94
visitor_hist_starrating,2661.9328937530518,91
prop_book_given_click,2624.3636989593506,107
cpair_book_rate,2557.46630191803,111
price_per_person,2535.5745038986206,106
is_long_window,2473.1810913085938,57
comp_advantage_rank_norm,2454.5194911956787,109
star_x_brand,2376.016004562378,57
srch_destination_id,2369.8183002471924,101
location1_rank,2349.5775146484375,71
star_diff,2257.1951084136963,75
log_distance,2206.56689453125,89
comp_inv_count,2176.4251976013184,72
distance_x_international,1811.7995023727417,70
is_last_minute,1601.6179065704346,49
prop_country_id,1587.210699081421,51
is_overpriced,1556.4582958221436,29
comp_advantage_rank,1371.9176969528198,50
srch_room_count,1335.5142040252686,35
prop_brand_bool,1248.2843036651611,39
n_best_flags,1085.4689826965332,26
total_guests,942.0552940368652,37
hour,930.2359962463379,39
log_price,893.1275053024292,33
srch_children_count,870.0959987640381,33
comp_rate_advantage,861.4794044494629,29
site_id,859.9914064407349,38
comp_rate_sum,852.9244031906128,35
visitor_location_country_id,804.6898002624512,34
month,774.6921968460083,35
prop_starrating,673.7435035705566,16
comp_more_expensive_count,614.6292972564697,22
is_family,542.9871988296509,19
comp_rate_count,541.8352003097534,24
is_domestic,515.5026988983154,17
has_location_score2,466.8697872161865,10
dayofweek,340.40379905700684,17
has_query_affinity,335.0649948120117,14
is_best_review,132.11230087280273,4
srch_saturday_night_bool,55.72830009460449,3
comp_no_inv_count,55.05620002746582,2
is_best_star,52.298401832580566,3
is_cheapest,49.98080062866211,1
has_historical_price,42.74760055541992,2
is_weekend_search,39.42809867858887,2
comp_cheaper_count,20.12070083618164,1
starrating_is_zero,0.0,0
has_distance,0.0,0
has_visitor_history,0.0,0
review_is_zero,0.0,0
is_short_window,0.0,0
is_most_expensive,0.0,0
is_best_location1,0.0,0
