feature,gain,split
prop_location_score2,1020983.6602745056,2893
location2_rank_norm,554426.8608016968,2080
prop_dest_book_rate,507433.6231021881,2557
price_vs_prop_mean,428114.27974128723,2113
prop_click_rate,411117.40367126465,2047
prop_price_zscore,338370.0876865387,2234
price_ratio_to_hist,305991.82713127136,2812
location2_rank,254511.02329063416,1246
prop_avg_position,249053.68648910522,2626
price_z_score,205865.27046585083,2224
loc2_vs_mean,202680.27207946777,2409
value_score_rank,192449.2573776245,1338
price_diff_from_hist,186611.266040802,2167
prop_rel_rate,186193.4919204712,1674
price_vs_median,178916.11519432068,1902
value_score_rank_norm,173875.1231842041,1715
prop_site_book_rate,151797.80102920532,2257
prop_location_score1,138530.20854187012,1856
loc1_vs_mean,133329.362947464,2284
promo_x_cheap,129315.47842788696,1269
review_vs_mean,124335.95800971985,2012
dest_count,123223.40454101562,1801
location_total,117851.5227432251,1802
price_vs_mean,113004.63062286377,1494
log_price_z_score,103992.6913986206,1513
price_rank,101585.78511047363,1028
review_percentile,100576.27857208252,1689
prop_count,96552.68208312988,1826
prop_click_count,91168.11470603943,1170
prop_std_price,89002.6602268219,1734
query_star_mean,84942.22800827026,1544
orig_destination_distance,84062.11656951904,1855
price_percentile,84041.68592834473,1317
price_vs_dest_mean,83404.18340301514,1526
prop_log_historical_price,79632.50768470764,1601
prop_book_rate,79469.96293258667,1500
price_per_night_per_star,78423.62013244629,1509
review_rank_norm,78388.45066070557,1390
price_per_night,75701.96687698364,1532
price_vs_max,75647.89723587036,1488
price_per_guest,75636.61096763611,1671
prop_book_given_click,75096.77280044556,1669
review_vs_dest_mean,72695.64783477783,1451
prop_mean_price,72248.70160102844,1325
srch_booking_window,71860.45895004272,1501
quality_rank_avg,70680.01754379272,1488
dest_click_rate,69559.81987762451,1482
total_cost,69428.86815834045,1523
star_vs_mean,69405.15646743774,1275
star_percentile,66828.45632362366,1233
dest_mean_price,66654.88351631165,1300
price_to_min_ratio,65440.38579559326,1355
dest_book_rate,64659.90579032898,1388
value_score,64305.9188747406,1262
dest_mean_star,64287.62984085083,1249
location_total_rank_norm,64022.57001686096,1381
site_book_rate,61905.65604972839,1271
dest_mean_review,60540.03273200989,1275
location1_rank_norm,59752.66456413269,1338
query_price_std,59297.33531951904,1243
site_dest_book_rate,57153.81981468201,1310
star_vs_dest_mean,57134.08005523682,1235
srch_destination_id,56691.53665351868,1345
starrating_rank_norm,56524.61689376831,1085
price_rank_norm,55630.493701934814,1072
price_per_person,54046.11229133606,1259
country_book_rate,53049.97066497803,1070
comp_advantage_rank_norm,51860.08348083496,1213
comp_rate_pct_mean,51398.34344100952,1154
value_gap,51292.19747924805,1152
query_price_mean,50755.78169631958,1057
price_per_star,50655.225900650024,1128
price_ratio_to_visitor_hist,50097.138246536255,835
review_rank,49499.14511680603,801
site_country_book_rate,49116.321268081665,1101
price_vs_min,48988.87966156006,1065
comp_rate_pct_max,46977.834087371826,1027
srch_query_affinity_score,46721.99053192139,867
price_usd,45093.832637786865,928
price_per_room,41972.689796447754,891
log_prop_count,41200.144969940186,825
log_distance,40027.83581161499,907
cpair_book_rate,38713.47988319397,882
query_affinity_exp,36791.06687164307,673
price_diff_from_visitor_hist,36177.55175590515,646
comp_advantage_rank,36020.774112701416,784
query_hotel_count,34791.061294555664,692
hour,34158.903200149536,835
comp_rate_pct_min,34018.93601226807,768
location1_rank,30959.535676956177,674
location_total_rank,29680.9068069458,680
abs_star_diff,29238.902740478516,554
prop_review_score,28924.390838623047,319
distance_x_international,28031.375997543335,596
starrating_rank,27825.69816017151,547
star_review_product,27631.816301345825,421
visitor_hist_adr_usd,27084.341316223145,522
prop_country_id,24709.0652217865,504
visitor_location_country_id,24122.759689331055,556
star_diff,24106.315158843994,483
site_id,22400.49485015869,480
visitor_hist_starrating,21692.782802581787,429
star_x_brand,20501.96332359314,292
is_discounted,19745.919284820557,46
month,14569.137166976929,344
promotion_flag,14549.396631240845,97
prop_brand_bool,13605.306118011475,171
log_price,13497.1911277771,319
dayofweek,13391.7333984375,338
srch_length_of_stay,12689.082736968994,268
total_guests,11518.420637130737,261
prop_starrating,11260.259441375732,81
srch_adults_count,10397.658311843872,229
comp_inv_count,10049.738887786865,229
srch_children_count,10022.348308563232,217
comp_rate_count,10005.711797714233,229
comp_rate_sum,9045.781803131104,214
is_overpriced,6771.027906417847,46
has_location_score2,5907.569480895996,10
comp_more_expensive_count,5629.003383636475,136
n_best_flags,5602.942808151245,112
is_domestic,4565.415729522705,85
is_last_minute,4290.0807056427,76
srch_room_count,3688.7519130706787,79
comp_rate_advantage,3586.8886013031006,81
comp_no_inv_count,3556.509786605835,94
comp_cheaper_count,3391.286901473999,74
srch_saturday_night_bool,2249.3866062164307,50
review_is_zero,1774.8597927093506,33
is_long_window,1649.5186004638672,35
is_family,1319.8084888458252,28
is_short_window,1202.6381931304932,26
is_weekend_search,1010.8668003082275,22
is_best_location1,505.3617973327637,12
starrating_is_zero,497.73010635375977,5
is_best_star,406.69499588012695,5
has_query_affinity,312.0355033874512,8
is_cheapest,129.77270126342773,3
has_distance,120.57460021972656,3
is_most_expensive,108.41000366210938,1
is_best_review,90.17269897460938,3
has_historical_price,0.0,0
has_visitor_history,0.0,0
