feature,gain,split
prop_location_score2,1475494.7630882263,2707
location2_rank_norm,710530.6741371155,1912
prop_dest_book_rate,697047.5087471008,2483
prop_click_rate,593314.1421165466,1804
price_vs_prop_mean,506244.5671424866,1933
prop_price_zscore,448840.9589500427,2130
location2_rank,434667.8686943054,1256
prop_avg_position,411436.186252594,2726
price_ratio_to_hist,401987.3420410156,2580
value_score_rank,378341.692653656,1326
price_z_score,264936.01401138306,1954
loc2_vs_mean,263817.3423805237,2143
price_diff_from_hist,253353.13050079346,2004
prop_rel_rate,246373.30694580078,1482
price_vs_median,233342.83897018433,1695
price_rank,228585.58443832397,1087
prop_location_score1,201219.61604309082,1837
prop_site_book_rate,187558.36095428467,1981
dest_count,181256.52460479736,1654
value_score_rank_norm,174375.93381118774,1433
loc1_vs_mean,170698.15225982666,2014
promo_x_cheap,163112.89080429077,1055
review_vs_mean,162281.34422302246,1744
price_vs_mean,161506.79724121094,1351
location_total,150749.8063621521,1531
log_price_z_score,142117.4179649353,1374
review_percentile,134577.49795532227,1517
prop_count,124599.81729507446,1577
prop_click_count,121877.40906143188,1137
orig_destination_distance,120623.9358291626,1728
prop_std_price,119203.78324890137,1572
query_star_mean,118643.09594345093,1421
price_per_night_per_star,113311.59712219238,1468
query_hotel_count,112913.90497970581,927
prop_book_rate,112337.63050079346,1354
price_vs_dest_mean,110587.6476097107,1374
review_vs_dest_mean,105013.61989593506,1391
price_per_night,104681.17527770996,1387
price_percentile,103104.7582359314,1122
price_per_guest,100664.31076812744,1480
prop_log_historical_price,100539.72301483154,1331
price_vs_max,100221.18661880493,1343
total_cost,99223.70358657837,1431
dest_click_rate,98324.13637161255,1405
dest_mean_star,97673.97666549683,1220
price_to_min_ratio,96355.1842880249,1266
prop_book_given_click,96334.28649139404,1410
prop_mean_price,96025.51986694336,1204
srch_booking_window,95726.29300689697,1299
quality_rank_avg,95101.07758331299,1346
review_rank_norm,95001.81631851196,1177
dest_mean_price,93120.46537780762,1248
query_price_std,87901.39276885986,1176
review_rank,87468.17568969727,870
star_vs_mean,86687.62102127075,1085
dest_book_rate,86559.24050140381,1250
star_percentile,83579.42539596558,1012
location_total_rank_norm,83138.7822227478,1187
value_score,82523.115234375,1063
site_dest_book_rate,80209.55980300903,1205
dest_mean_review,78734.4196472168,1118
site_book_rate,78367.69407272339,1086
query_price_mean,77726.7606086731,1048
price_per_person,76580.83781051636,1159
price_per_star,75747.99028396606,1062
srch_destination_id,74432.07660675049,1144
star_vs_dest_mean,73317.77117919922,1010
starrating_rank_norm,70026.12622833252,937
location1_rank_norm,69914.2620010376,1027
comp_advantage_rank_norm,69619.3438949585,1106
value_gap,69579.91424560547,1040
site_country_book_rate,69173.87227249146,1018
price_rank_norm,67162.35303115845,838
srch_query_affinity_score,64435.71426773071,756
comp_rate_pct_mean,63899.63180923462,943
country_book_rate,63018.20737075806,891
price_vs_min,63011.61413574219,893
comp_rate_pct_max,61220.71960449219,908
price_ratio_to_visitor_hist,60131.52435684204,642
log_prop_count,57150.67736053467,729
price_per_room,56873.2138671875,813
cpair_book_rate,56039.11720275879,848
log_distance,55063.31652832031,805
price_usd,53189.70164871216,729
comp_advantage_rank,52401.1374130249,746
query_affinity_exp,52055.62944793701,620
hour,49669.62772369385,791
comp_rate_pct_min,48907.05445098877,724
star_review_product,44708.48537826538,370
starrating_rank,44401.653369903564,560
price_diff_from_visitor_hist,42722.15898132324,529
abs_star_diff,42322.04286956787,510
location1_rank,41006.314224243164,601
location_total_rank,38428.08927154541,594
prop_review_score,37689.886474609375,316
visitor_hist_adr_usd,37228.7511177063,486
distance_x_international,35459.586181640625,505
star_diff,32871.747859954834,435
visitor_location_country_id,32081.042098999023,492
visitor_hist_starrating,30108.763370513916,377
prop_country_id,28530.29786300659,399
is_discounted,28422.559600830078,46
site_id,27989.539180755615,391
star_x_brand,27841.352184295654,254
srch_length_of_stay,24182.58123397827,316
month,23049.38206100464,357
log_price,21292.350311279297,329
promotion_flag,20890.373516082764,117
dayofweek,19139.6360206604,319
prop_brand_bool,17048.513206481934,133
prop_starrating,16240.30883026123,59
comp_inv_count,15740.842334747314,239
srch_adults_count,15437.362422943115,221
comp_rate_count,14507.657470703125,218
total_guests,13958.682987213135,216
comp_rate_sum,13349.437690734863,206
srch_children_count,12277.892795562744,170
is_overpriced,11501.955764770508,44
has_location_score2,9561.245574951172,7
n_best_flags,8252.820693969727,97
is_domestic,7603.833724975586,92
is_last_minute,6351.740516662598,69
comp_no_inv_count,5359.905197143555,87
comp_rate_advantage,5299.587917327881,84
comp_more_expensive_count,4997.360511779785,77
comp_cheaper_count,4377.513790130615,70
srch_room_count,4004.290481567383,58
is_family,3452.090721130371,46
srch_saturday_night_bool,3135.0180854797363,52
is_long_window,2429.7444190979004,35
review_is_zero,1711.8401107788086,18
is_short_window,1175.7155952453613,19
is_weekend_search,1028.180004119873,18
is_best_star,873.8172988891602,7
has_query_affinity,399.8266067504883,4
is_best_location1,371.2005043029785,6
starrating_is_zero,317.233097076416,4
is_most_expensive,243.18769454956055,4
is_best_review,218.36980056762695,3
has_distance,192.27650451660156,4
has_historical_price,82.01580047607422,1
has_visitor_history,0.0,0
is_cheapest,0.0,0
