feature,gain,split
prop_location_score2,2209467.0556526184,3547
prop_dest_book_rate,1048067.6539764404,3265
location2_rank_norm,981262.0415496826,2571
prop_click_rate,814162.4691047668,2420
price_vs_prop_mean,769703.1578216553,2804
prop_avg_position,657963.6327056885,3641
prop_price_zscore,644734.4994544983,2768
location2_rank,644492.5604362488,1766
price_ratio_to_hist,584719.0291175842,3498
value_score_rank,575954.1719055176,1708
loc2_vs_mean,382622.99199676514,2648
price_z_score,380638.96645355225,2555
price_diff_from_hist,355446.15479278564,2614
prop_rel_rate,336546.8865852356,1885
price_vs_median,326552.1350746155,2139
price_rank,311060.22496032715,1392
prop_location_score1,283720.66063690186,2338
dest_count,264265.7164993286,2197
prop_site_book_rate,258411.50588607788,2491
promo_x_cheap,243944.183467865,1460
value_score_rank_norm,233635.6138420105,1772
price_vs_mean,232234.01894378662,1756
loc1_vs_mean,227681.87070465088,2559
review_vs_mean,222358.23150253296,2217
location_total,208954.32466888428,2007
log_price_z_score,196020.56203460693,1733
review_percentile,191951.1728668213,2021
prop_click_count,186843.0309638977,1473
query_hotel_count,186631.7451019287,1415
prop_count,168061.83850479126,2051
query_star_mean,161461.71451187134,1870
price_per_night_per_star,156233.68210983276,1951
orig_destination_distance,153817.94031906128,2208
prop_std_price,147960.421333313,1905
price_vs_dest_mean,145462.15771102905,1721
price_per_night,144502.44061660767,1800
price_percentile,141529.91331100464,1439
prop_book_rate,141419.54106521606,1652
price_vs_max,137013.5869026184,1812
prop_mean_price,134469.34772872925,1593
prop_log_historical_price,133692.71170043945,1678
srch_booking_window,133465.15007019043,1785
review_vs_dest_mean,133458.32635498047,1636
prop_book_given_click,129674.82853317261,1904
price_per_guest,124733.54629898071,1725
review_rank_norm,122591.13074874878,1425
value_score,122583.6463356018,1435
quality_rank_avg,122405.04323577881,1640
total_cost,122003.08229064941,1692
dest_mean_star,119790.993019104,1481
dest_click_rate,118467.85669326782,1631
star_vs_mean,118174.35926055908,1344
price_to_min_ratio,116151.01836395264,1520
location_total_rank_norm,112440.87642288208,1530
query_price_std,111972.30313491821,1485
site_book_rate,110770.17357635498,1499
review_rank,110029.47322845459,1074
dest_mean_price,109754.44367218018,1431
dest_book_rate,106334.6110534668,1531
dest_mean_review,104154.06797409058,1421
star_percentile,102756.45252990723,1191
location1_rank_norm,97319.81420516968,1411
star_vs_dest_mean,94879.29934692383,1280
price_per_star,94116.4444770813,1334
price_per_person,93048.6270980835,1407
site_dest_book_rate,92677.29251480103,1371
srch_destination_id,91544.39804458618,1450
srch_query_affinity_score,89533.05918121338,1024
query_price_mean,89423.47579193115,1193
value_gap,89152.45106124878,1287
price_vs_min,87875.85831451416,1185
price_ratio_to_visitor_hist,86050.03455352783,909
starrating_rank_norm,86032.057472229,1115
comp_advantage_rank_norm,85113.90292739868,1291
price_rank_norm,83587.0594367981,991
site_country_book_rate,80373.5412864685,1155
comp_rate_pct_mean,79856.95146179199,1199
price_per_room,75263.16494750977,1061
country_book_rate,74831.45115661621,992
query_affinity_exp,71968.06448364258,837
comp_rate_pct_max,71141.97075653076,1034
log_prop_count,70386.79304504395,882
price_usd,69824.1987915039,981
cpair_book_rate,69577.82015228271,1054
log_distance,68294.60186386108,958
hour,65222.3098487854,1037
comp_advantage_rank,61613.85548019409,852
comp_rate_pct_min,61583.73553085327,934
price_diff_from_visitor_hist,60825.42784500122,715
star_review_product,59720.43877029419,493
abs_star_diff,55844.95998764038,666
prop_review_score,54591.76746368408,414
starrating_rank,53047.133041381836,647
visitor_hist_adr_usd,52340.951541900635,619
location_total_rank,51827.820011138916,756
location1_rank,50359.879623413086,722
distance_x_international,45602.94448471069,609
star_diff,44635.02667617798,555
star_x_brand,41227.013889312744,362
site_id,40598.11140060425,564
visitor_location_country_id,39754.9391746521,573
prop_country_id,39440.16355895996,539
is_discounted,38274.62424468994,58
visitor_hist_starrating,35805.39373397827,456
prop_brand_bool,29880.94221496582,218
promotion_flag,29032.907711029053,153
month,28253.954566955566,440
has_location_score2,27058.884658813477,15
srch_length_of_stay,25896.896976470947,351
log_price,23998.976078033447,340
prop_starrating,20919.934452056885,113
dayofweek,20341.811069488525,338
total_guests,18544.42177581787,280
comp_rate_count,18195.09380722046,265
comp_inv_count,17715.341930389404,266
srch_adults_count,17298.32532119751,246
srch_children_count,16040.294994354248,223
is_overpriced,15766.457809448242,55
comp_rate_sum,15437.998649597168,232
n_best_flags,11404.820930480957,131
is_domestic,11188.27452468872,137
comp_rate_advantage,8979.209617614746,137
is_last_minute,7540.777019500732,95
comp_more_expensive_count,6832.843399047852,102
comp_cheaper_count,5928.4324951171875,92
srch_room_count,5811.848213195801,90
comp_no_inv_count,5417.391799926758,97
is_family,4057.4609909057617,56
srch_saturday_night_bool,3597.9416007995605,55
review_is_zero,3234.992790222168,35
is_long_window,2754.8413124084473,35
is_cheapest,1247.2342834472656,10
is_weekend_search,1098.1428985595703,17
starrating_is_zero,944.9281044006348,7
is_short_window,622.3766975402832,11
is_best_star,590.8160934448242,6
has_query_affinity,546.5382041931152,6
has_distance,289.0364990234375,5
is_best_location1,235.24170303344727,3
is_best_review,193.03900146484375,2
is_most_expensive,135.7030029296875,1
has_historical_price,0.0,0
has_visitor_history,0.0,0
