feature,gain,split
prop_location_score2,499425.72669410706,2755
location2_rank_norm,298517.8656387329,2100
prop_dest_book_rate,293186.17866134644,2648
price_vs_prop_mean,221663.93564891815,2155
prop_click_rate,185490.12069416046,2071
prop_price_zscore,181521.08056354523,2278
price_ratio_to_hist,139946.27077960968,2649
prop_avg_position,129893.55262756348,2383
loc2_vs_mean,124733.05180740356,2476
location2_rank,124723.32017040253,1178
price_z_score,105507.54543685913,2261
price_diff_from_hist,100170.6300125122,2287
value_score_rank_norm,100073.43247699738,1751
value_score_rank,93756.87711048126,1299
prop_rel_rate,84463.1882276535,1530
price_vs_median,84452.79549789429,1897
prop_location_score1,81174.20151615143,1906
loc1_vs_mean,73138.12797737122,2357
prop_site_book_rate,72845.44989299774,2047
promo_x_cheap,68468.32837963104,1240
review_vs_mean,64156.89719867706,2115
location_total,62449.79285240173,1789
price_vs_mean,54855.88408946991,1496
review_percentile,50211.42042350769,1752
log_price_z_score,47652.06235122681,1458
price_rank,47432.79919338226,1086
prop_std_price,46679.223799705505,1779
prop_count,46343.500975608826,1792
price_vs_dest_mean,45168.916091918945,1598
price_vs_max,43718.90788555145,1704
star_vs_mean,43086.31725502014,1535
price_per_night_per_star,41900.7302904129,1602
prop_mean_price,41828.47437667847,1502
orig_destination_distance,40448.35699558258,1841
price_percentile,40274.121015548706,1284
price_per_night,40215.7150850296,1664
price_per_guest,39129.45455932617,1765
review_rank_norm,38653.71111011505,1414
prop_click_count,38243.86933326721,1116
star_percentile,37730.6229429245,1342
prop_book_rate,37395.86014652252,1333
prop_log_historical_price,37330.16793346405,1488
total_cost,36742.77487850189,1624
value_score,36330.427859306335,1434
review_vs_dest_mean,36309.58489227295,1489
prop_book_given_click,35563.761591911316,1578
price_to_min_ratio,33983.711782455444,1413
quality_rank_avg,32905.06260967255,1440
country_book_rate,32669.656525611877,1283
location_total_rank_norm,29911.469820976257,1324
site_country_book_rate,29516.274697303772,1339
location1_rank_norm,28051.808504104614,1247
price_per_person,27584.257093429565,1333
star_vs_dest_mean,27230.66612148285,1219
starrating_rank_norm,27002.564714431763,1037
value_gap,25221.661100387573,1140
price_ratio_to_visitor_hist,24977.704016685486,857
price_rank_norm,24618.42968559265,1003
comp_advantage_rank_norm,24506.8824968338,1141
price_per_star,24089.88844871521,1063
cpair_book_rate,23260.902821540833,1110
price_usd,23078.654379844666,921
price_vs_min,22563.878390312195,1013
price_per_room,21983.694809913635,956
comp_rate_pct_mean,21896.251288414,1005
review_rank,20936.34304523468,742
log_distance,20875.049383163452,997
comp_rate_pct_max,20274.11611843109,913
price_diff_from_visitor_hist,19105.130116462708,733
srch_query_affinity_score,17938.294374465942,684
log_prop_count,17366.292501449585,708
location1_rank,16312.171478271484,678
star_review_product,14939.367761611938,486
comp_rate_pct_min,14869.069478988647,667
prop_country_id,14608.480101585388,611
query_affinity_exp,14431.634308815002,551
comp_advantage_rank,14346.060606002808,661
distance_x_international,13852.279990196228,641
location_total_rank,13646.463787078857,608
abs_star_diff,12993.213782310486,540
prop_review_score,12852.972980499268,364
star_diff,11755.285307884216,464
starrating_rank,11605.916311264038,469
star_x_brand,10893.58906173706,337
is_discounted,10066.672316551208,60
log_price,8000.263303756714,358
promotion_flag,7641.5417766571045,147
comp_rate_count,5755.973092079163,268
prop_brand_bool,5246.654004096985,158
prop_starrating,5205.04421043396,116
comp_inv_count,4687.384015083313,234
comp_rate_sum,4189.684512138367,198
is_overpriced,3350.4873933792114,38
has_location_score2,3333.911085128784,12
n_best_flags,3068.0185976028442,127
comp_more_expensive_count,2134.0691995620728,96
comp_rate_advantage,1641.3892917633057,74
comp_no_inv_count,1634.2492027282715,88
is_domestic,1619.4055967330933,59
comp_cheaper_count,1309.887191772461,64
starrating_is_zero,687.0252952575684,13
review_is_zero,434.72809982299805,14
is_best_location1,311.86430072784424,9
is_best_star,232.2558012008667,11
is_best_review,113.024001121521,6
is_most_expensive,98.7249002456665,4
has_query_affinity,59.0310001373291,3
is_cheapest,42.19419860839844,2
visitor_location_country_id,0.0,0
visitor_hist_starrating,0.0,0
visitor_hist_adr_usd,0.0,0
srch_length_of_stay,0.0,0
srch_destination_id,0.0,0
site_id,0.0,0
query_hotel_count,0.0,0
has_historical_price,0.0,0
srch_booking_window,0.0,0
srch_children_count,0.0,0
srch_room_count,0.0,0
srch_adults_count,0.0,0
dayofweek,0.0,0
srch_saturday_night_bool,0.0,0
month,0.0,0
hour,0.0,0
has_distance,0.0,0
has_visitor_history,0.0,0
is_weekend_search,0.0,0
is_family,0.0,0
is_long_window,0.0,0
is_short_window,0.0,0
is_last_minute,0.0,0
query_price_mean,0.0,0
query_star_mean,0.0,0
query_price_std,0.0,0
total_guests,0.0,0
site_dest_book_rate,0.0,0
site_book_rate,0.0,0
dest_book_rate,0.0,0
dest_click_rate,0.0,0
dest_count,0.0,0
dest_mean_price,0.0,0
dest_mean_star,0.0,0
dest_mean_review,0.0,0
