feature,gain,split
prop_location_score2,563731.9938793182,2219
location2_rank_norm,356223.5766849518,1960
prop_dest_book_rate,330093.8898525238,2274
price_vs_prop_mean,265746.7006473541,1902
prop_click_rate,242037.5826625824,1957
prop_price_zscore,201931.15224647522,2007
price_ratio_to_hist,159497.86864089966,2272
location2_rank,152000.90126419067,988
prop_avg_position,139922.0403251648,2148
loc2_vs_mean,135870.7439441681,2192
value_score_rank_norm,128717.7465801239,1537
price_z_score,127531.97707366943,2039
price_diff_from_hist,123365.91143035889,1978
price_vs_median,107742.35205078125,1744
value_score_rank,103062.60814857483,1098
loc1_vs_mean,102060.65820503235,2272
prop_location_score1,100217.77137947083,1691
prop_rel_rate,90787.12205123901,1403
prop_site_book_rate,87320.69210624695,1638
location_total,81358.04039955139,1556
review_vs_mean,74907.77787017822,1807
price_vs_mean,68750.6158657074,1389
log_price_z_score,66960.86246109009,1356
promo_x_cheap,66091.9867515564,995
price_vs_dest_mean,61230.13537788391,1514
review_percentile,61119.25333023071,1455
prop_std_price,60254.121574401855,1563
price_per_night_per_star,59595.689668655396,1458
prop_count,59247.87623023987,1536
price_vs_max,58573.40773773193,1513
total_cost,57246.22189903259,1605
star_vs_mean,57190.844621658325,1366
price_per_night,56859.42902946472,1591
price_percentile,54343.46313667297,1187
orig_destination_distance,53430.9348487854,1577
prop_book_given_click,53194.97777748108,1463
price_rank,53034.2096118927,865
prop_mean_price,52687.45535469055,1287
review_vs_dest_mean,52253.78667449951,1441
star_percentile,51552.06294822693,1230
prop_log_historical_price,51441.747285842896,1360
country_book_rate,51016.177587509155,1264
price_per_guest,50995.86169052124,1521
value_score,49072.195751190186,1271
review_rank_norm,48164.47213554382,1212
price_to_min_ratio,46106.43317985535,1315
prop_book_rate,45739.40935707092,1149
prop_click_count,45113.33931350708,971
site_country_book_rate,42523.22369766235,1220
quality_rank_avg,41587.90459442139,1226
star_vs_dest_mean,39654.046001434326,1157
location_total_rank_norm,39467.62684059143,1163
price_per_person,39172.8746547699,1205
starrating_rank_norm,38305.764488220215,986
location1_rank_norm,36371.93362617493,1056
price_vs_min,35660.05081367493,1000
value_gap,35385.64110183716,1051
cpair_book_rate,34809.90255737305,1051
price_per_star,34210.40694618225,979
price_rank_norm,32717.148712158203,830
price_per_room,32135.838985443115,864
price_usd,31285.492835998535,868
comp_advantage_rank_norm,31061.27731513977,957
comp_rate_pct_mean,26604.11169242859,832
price_ratio_to_visitor_hist,26129.30850791931,607
review_rank,25977.100021362305,619
comp_rate_pct_max,24816.963569641113,760
log_prop_count,23488.24219894409,626
log_distance,23225.87632751465,734
location1_rank,23112.30936050415,626
distance_x_international,19554.020862579346,599
prop_country_id,18835.080110549927,526
comp_advantage_rank,18670.227884292603,539
comp_rate_pct_min,18504.47068786621,578
location_total_rank,18438.912092208862,547
price_diff_from_visitor_hist,17874.1833820343,470
starrating_rank,15649.397504806519,410
star_review_product,15634.302089691162,362
srch_query_affinity_score,15066.050283432007,408
prop_review_score,14222.719091415405,283
star_x_brand,14084.455499649048,298
abs_star_diff,14032.522603988647,369
query_affinity_exp,13795.195634841919,362
star_diff,10422.342084884644,277
log_price,9887.669200897217,304
is_discounted,9473.28010559082,33
prop_starrating,8502.031524658203,122
promotion_flag,7900.762809753418,119
comp_rate_count,6382.408601760864,192
has_location_score2,6314.549800872803,10
prop_brand_bool,5953.6573848724365,123
comp_inv_count,5619.314308166504,169
comp_rate_sum,5133.121030807495,150
is_overpriced,3674.7215156555176,36
n_best_flags,3374.9561100006104,95
comp_more_expensive_count,2856.147512435913,85
comp_no_inv_count,2256.136501312256,78
is_domestic,2180.0771980285645,62
comp_rate_advantage,1786.2254009246826,53
comp_cheaper_count,1753.5144939422607,55
review_is_zero,852.802095413208,20
is_best_star,652.1709022521973,14
is_best_location1,522.3840980529785,12
starrating_is_zero,366.22160148620605,7
is_best_review,319.8397960662842,8
has_query_affinity,316.20630073547363,8
is_most_expensive,169.91490364074707,3
has_historical_price,31.319799423217773,1
is_cheapest,25.265300750732422,1
visitor_hist_starrating,0.0,0
visitor_location_country_id,0.0,0
srch_length_of_stay,0.0,0
srch_destination_id,0.0,0
site_id,0.0,0
visitor_hist_adr_usd,0.0,0
query_hotel_count,0.0,0
srch_booking_window,0.0,0
srch_room_count,0.0,0
is_weekend_search,0.0,0
srch_adults_count,0.0,0
srch_children_count,0.0,0
srch_saturday_night_bool,0.0,0
month,0.0,0
hour,0.0,0
has_distance,0.0,0
dayofweek,0.0,0
has_visitor_history,0.0,0
is_family,0.0,0
is_long_window,0.0,0
is_short_window,0.0,0
is_last_minute,0.0,0
query_price_mean,0.0,0
query_star_mean,0.0,0
query_price_std,0.0,0
total_guests,0.0,0
site_dest_book_rate,0.0,0
site_book_rate,0.0,0
dest_book_rate,0.0,0
dest_click_rate,0.0,0
dest_count,0.0,0
dest_mean_price,0.0,0
dest_mean_star,0.0,0
dest_mean_review,0.0,0
