feature,gain,split
prop_dest_book_rate,32530.778889775276,3384
location2_rank_norm,21630.407935738564,3262
prop_location_score2,20721.273691892624,3900
price_ratio_to_hist,11375.69162762165,3155
price_vs_prop_mean,11283.591853559017,2694
prop_price_zscore,10946.299666643143,3156
value_score_rank,10114.640991151333,1730
prop_avg_position,10007.278024494648,3360
prop_click_rate,9857.344683945179,2452
location2_rank,9425.667337596416,1936
loc2_vs_mean,8998.982780456543,3406
price_z_score,8077.491039097309,2685
value_score_rank_norm,7913.695270657539,2217
query_hotel_count,7899.710226714611,2566
prop_rel_rate,7740.298870027065,2179
price_diff_from_hist,7161.335828959942,2470
price_vs_median,7006.862958073616,2585
dest_count,6430.401875436306,2315
prop_site_book_rate,6315.3724801540375,2882
price_vs_mean,5901.740583717823,2201
review_vs_mean,5475.186389863491,2543
loc1_vs_mean,5386.251546263695,2742
prop_location_score1,5289.337882399559,1823
review_percentile,4613.979396224022,2118
log_price_z_score,4565.738724350929,2044
prop_book_rate,4545.481683254242,2167
promo_x_cheap,4522.816416323185,1331
location_total,4337.184857547283,1933
price_rank,4211.664316475391,1368
orig_destination_distance,4210.353068888187,2609
prop_count,4121.239539325237,2319
prop_click_count,4024.082696199417,1405
query_star_mean,3922.7925065159798,2201
prop_std_price,3804.175080060959,2209
price_per_night_per_star,3646.493095457554,2111
quality_rank_avg,3630.7269483208656,1992
price_per_night,3527.746773183346,2072
prop_mean_price,3519.9793211221695,1870
price_to_min_ratio,3501.8365957140923,1916
price_vs_dest_mean,3473.6116758584976,1991
price_percentile,3468.4382024407387,1565
star_vs_mean,3418.0489428043365,1739
dest_click_rate,3413.9622936844826,1972
review_vs_dest_mean,3355.1209919452667,1892
value_score,3347.671210348606,1860
price_vs_max,3329.3763304948807,1968
star_percentile,3302.9059228897095,1683
total_cost,3265.891152024269,1972
prop_log_historical_price,3215.4708246588707,1901
price_per_guest,3208.7163004279137,1937
review_rank_norm,3168.8073946237564,1722
dest_book_rate,3136.8417477607727,1840
prop_book_given_click,3046.5156703591347,1937
star_vs_dest_mean,2958.291169524193,1749
srch_booking_window,2944.440845489502,1781
dest_mean_price,2931.677996635437,1789
location_total_rank_norm,2910.542325258255,1778
price_per_person,2909.3571215867996,1803
price_per_star,2830.6646134853363,1669
dest_mean_star,2806.48762434721,1675
query_price_std,2791.4797351956367,1700
value_gap,2767.936138212681,1657
srch_destination_id,2757.120284974575,1809
location1_rank_norm,2742.8479045033455,1649
dest_mean_review,2687.9601143598557,1638
price_vs_min,2580.6984670758247,1444
site_dest_book_rate,2549.0009830594063,1595
comp_advantage_rank_norm,2504.667025744915,1591
query_price_mean,2476.9293398857117,1455
price_rank_norm,2431.809349179268,1311
starrating_rank_norm,2416.4130182266235,1341
location_total_rank,2348.7232304811478,1195
price_per_room,2280.5308817625046,1355
site_book_rate,2172.512310564518,1375
review_rank,2149.704414010048,989
comp_rate_pct_mean,2116.6070303320885,1261
price_usd,2047.9750288128853,1175
log_distance,1860.9455551505089,1145
country_book_rate,1825.7540358901024,1115
site_country_book_rate,1824.110653102398,1169
hour,1818.9019930362701,1198
comp_rate_pct_max,1717.057981967926,1010
log_prop_count,1670.4696270823479,916
cpair_book_rate,1654.8435295820236,1080
location1_rank,1603.0707808732986,885
comp_rate_pct_min,1571.436791241169,990
srch_query_affinity_score,1501.8679867982864,852
price_ratio_to_visitor_hist,1495.3194193840027,728
star_review_product,1351.0082990527153,582
query_affinity_exp,1305.9055486917496,739
price_diff_from_visitor_hist,1295.869615972042,678
prop_review_score,1248.1198396086693,417
starrating_rank,1238.95029515028,701
comp_advantage_rank,1048.8031078577042,658
visitor_hist_adr_usd,1017.4533403515816,565
abs_star_diff,963.3145827651024,542
site_id,926.6971510052681,565
distance_x_international,895.8702726364136,532
prop_country_id,848.00261926651,534
star_x_brand,825.070558309555,344
visitor_location_country_id,797.2738100886345,511
month,790.5919833183289,514
dayofweek,765.3824592828751,511
is_discounted,689.9768325090408,39
visitor_hist_starrating,660.8683320879936,388
log_price,659.7891933321953,395
star_diff,652.207724750042,395
srch_length_of_stay,581.6987483501434,356
comp_inv_count,580.983774960041,352
comp_rate_count,572.8393633365631,378
srch_children_count,496.73292684555054,301
srch_adults_count,468.9790222644806,263
n_best_flags,463.0583727955818,242
total_guests,449.8845946788788,293
promotion_flag,420.2777928709984,122
comp_rate_sum,383.67096465826035,242
prop_brand_bool,378.74131643772125,139
is_overpriced,298.15220046043396,36
srch_room_count,283.6697425842285,146
prop_starrating,272.3580528497696,85
comp_more_expensive_count,226.204343855381,132
is_domestic,225.4151948094368,125
comp_rate_advantage,193.14979737997055,116
is_last_minute,125.12577623128891,66
comp_no_inv_count,122.83157813549042,84
is_family,112.2058310508728,60
comp_cheaper_count,109.65715837478638,77
has_location_score2,101.81479239463806,12
srch_saturday_night_bool,99.30258911848068,63
starrating_is_zero,60.97727060317993,8
review_is_zero,54.052850008010864,31
is_cheapest,46.77559947967529,11
is_long_window,40.29896008968353,25
is_short_window,22.8029887676239,11
is_best_star,19.55795007944107,11
is_weekend_search,18.56933981180191,12
is_best_review,16.422106981277466,10
is_best_location1,14.51835012435913,9
has_distance,12.330835044384003,5
is_most_expensive,6.98714017868042,2
has_query_affinity,5.604619979858398,2
has_historical_price,0.0,0
has_visitor_history,0.0,0
