feature,gain,split
prop_location_score2,1036903.256690979,2347
location2_rank_norm,526087.2376937866,1847
prop_dest_book_rate,509074.7662086487,2200
prop_click_rate,403010.6534423828,1651
price_vs_prop_mean,377242.1344680786,1821
prop_price_zscore,342911.14503860474,1884
prop_avg_position,329837.2621612549,2323
location2_rank,312412.13217926025,1202
price_ratio_to_hist,293049.7183227539,2197
value_score_rank,281542.0346183777,1069
loc2_vs_mean,206314.917011261,1965
price_diff_from_hist,205436.32383346558,1695
price_z_score,199686.15166854858,1693
price_vs_median,178058.4751625061,1495
price_rank,164350.46585845947,876
prop_site_book_rate,158204.78396606445,1847
prop_book_rate,157453.35679244995,1291
prop_location_score1,154107.45790481567,1492
prop_rel_rate,146268.2126159668,1328
dest_count,145457.87195968628,1475
value_score_rank_norm,141455.93143844604,1309
loc1_vs_mean,134162.310005188,1722
price_vs_mean,129599.48075866699,1208
review_vs_mean,127760.7643623352,1488
promo_x_cheap,127027.10028839111,927
location_total,121768.74034881592,1464
review_percentile,112123.9421005249,1369
prop_count,111469.43195343018,1520
prop_click_count,110353.24285888672,979
orig_destination_distance,103690.75592422485,1602
log_price_z_score,102748.36214828491,1126
prop_std_price,102240.33123397827,1439
price_per_night_per_star,101671.01085281372,1442
query_hotel_count,100826.27256393433,899
query_star_mean,98403.73456573486,1315
price_vs_max,94444.56995391846,1351
price_per_night,94175.0583076477,1335
price_vs_dest_mean,94155.73922348022,1261
price_per_guest,88456.32828903198,1339
price_percentile,87480.09531021118,965
prop_mean_price,86223.59114837646,1159
prop_book_given_click,85704.72208786011,1309
total_cost,85696.78566741943,1304
srch_booking_window,83309.06010818481,1237
dest_mean_star,82765.64242553711,1169
prop_log_historical_price,82733.25748825073,1205
quality_rank_avg,81227.13636016846,1244
price_to_min_ratio,80625.14613342285,1095
value_score,80281.83902359009,1068
review_vs_dest_mean,79552.33095169067,1138
dest_mean_price,79075.2644996643,1156
dest_click_rate,78957.27956008911,1210
location_total_rank_norm,76717.18865203857,1122
review_rank_norm,76041.00008773804,1040
location1_rank_norm,74445.16718673706,1156
query_price_std,72323.99452972412,1082
review_rank,71329.67834472656,805
dest_mean_review,71134.1730003357,1091
dest_book_rate,69830.200466156,1091
price_per_person,68627.4171218872,1123
star_percentile,67762.50672912598,882
site_book_rate,66360.32744979858,1003
value_gap,65857.14497375488,1021
star_vs_dest_mean,65456.49862289429,996
site_dest_book_rate,65140.38129425049,1086
star_vs_mean,64273.67534637451,921
query_price_mean,63901.466930389404,910
srch_destination_id,63687.05389404297,1073
comp_advantage_rank_norm,63208.17086791992,1045
price_vs_min,60741.09181976318,884
starrating_rank_norm,59513.583656311035,846
price_per_star,59379.22246551514,921
comp_rate_pct_mean,57621.167625427246,946
price_rank_norm,57195.39013290405,781
srch_query_affinity_score,56134.07780456543,705
site_country_book_rate,54740.579776763916,867
country_book_rate,52692.33614349365,735
comp_rate_pct_max,52393.25107192993,810
log_distance,52326.432273864746,801
log_prop_count,51792.855964660645,725
price_usd,51358.85626220703,774
price_per_room,49524.109897613525,759
hour,47999.672271728516,792
cpair_book_rate,47858.58800506592,793
price_ratio_to_visitor_hist,44738.64860916138,539
query_affinity_exp,44220.079860687256,560
comp_rate_pct_min,42836.432388305664,692
comp_advantage_rank,40013.31095504761,605
starrating_rank,38785.355434417725,537
location1_rank,37256.10098648071,576
location_total_rank,37182.98578643799,617
price_diff_from_visitor_hist,35111.628887176514,460
abs_star_diff,34206.31750488281,442
star_review_product,32494.827980041504,328
distance_x_international,31442.27347946167,454
prop_review_score,29877.238830566406,251
visitor_hist_adr_usd,29646.180862426758,397
visitor_location_country_id,29489.11460494995,463
site_id,26818.31451034546,408
star_diff,24292.83806991577,338
prop_country_id,24020.067260742188,375
star_x_brand,23812.19086456299,244
log_price,22184.77428817749,355
is_discounted,22161.37295150757,37
has_location_score2,21674.854484558105,17
visitor_hist_starrating,20967.628128051758,274
month,20664.74104309082,349
promotion_flag,18663.739360809326,88
srch_length_of_stay,17079.3426361084,258
dayofweek,16119.671012878418,270
prop_brand_bool,15644.556144714355,150
comp_inv_count,15036.816394805908,238
total_guests,12880.707416534424,208
comp_rate_count,11687.03328704834,195
comp_rate_sum,11385.421421051025,191
srch_adults_count,11353.62219619751,180
srch_children_count,10866.320541381836,161
n_best_flags,7704.559494018555,105
prop_starrating,7605.508327484131,61
is_overpriced,6661.943645477295,32
is_domestic,5263.074214935303,74
comp_no_inv_count,4978.644306182861,91
comp_more_expensive_count,4889.943103790283,84
comp_rate_advantage,4850.127403259277,77
is_last_minute,4265.859691619873,54
comp_cheaper_count,3967.7615814208984,67
srch_room_count,3367.7776107788086,58
srch_saturday_night_bool,2640.051689147949,43
is_family,2379.1332931518555,37
is_long_window,1816.5730056762695,28
review_is_zero,1543.4604873657227,19
is_short_window,887.9831008911133,16
is_weekend_search,764.5523071289062,13
starrating_is_zero,473.5005073547363,4
is_cheapest,376.2487106323242,3
has_query_affinity,357.15809631347656,6
is_best_review,286.0180015563965,6
has_distance,253.92039489746094,4
is_best_star,223.37799835205078,4
has_visitor_history,104.72869873046875,2
is_best_location1,101.64619827270508,2
has_historical_price,0.0,0
is_most_expensive,0.0,0
