config_name,label_gain,seed,num_leaves,learning_rate,best_iter_random,n_features,n_features_reported,random_ndcg5,temporal_ndcg5,temporal_recall1,temporal_recall5,temporal_mbr,delta_temporal_vs_anchor,delta_temporal_vs_random
B6,"0,2,15",456,400,0.03,694,143,143,0.4219650903839774,0.5395586194290115,0.367009867009867,0.766016016016016,4.133025883025883,0.13554861942901153,0.11759352904503412
E3,"0,2,15",456,512,0.03,551,143,143,0.4218449069584134,0.5327438010818607,0.3733733733733734,0.777027027027027,4.024167024167024,0.12873380108186072,0.11089889412344728
D13,"0,2,15",456,400,0.03,484,80,80,0.3999875509363152,0.5249926699913362,0.3790576290576291,0.7552195052195052,4.30055055055055,0.12098266999133622,0.12500511905502099
I6,"0,2,15",456,400,0.03,-1,143,143,0.4216251993909822,0.5152390548054684,0.35238810238810236,0.755934505934506,4.294151294151294,0.11122905480546841,0.09361385541448619
C9,"0,3,15",2024,400,0.03,591,143,143,0.4214494378548917,0.5140846192960087,0.35435435435435436,0.7538610038610039,4.278886028886029,0.1100746192960087,0.09263518144111699
E7,"0,2,15",456,400,0.02,821,143,143,0.4225068692440406,0.5116412947997914,0.34974259974259975,0.7525025025025025,4.31031031031031,0.10763129479979139,0.0891344255557508
A2,"0,2,18",456,400,0.03,539,143,143,0.4211473384948694,0.507662827439292,0.3435578435578436,0.7493207493207493,4.350815100815101,0.10365282743929205,0.08651548894442262
F8,"0,2,15",456,400,0.03,437,143,143,0.4216600219154528,0.5068977860239071,0.3238953238953239,0.722079222079222,4.734448734448734,0.10288778602390714,0.0852377641084543
E4,"0,2,15",456,400,0.03,518,143,143,0.4229054038189159,0.5058424503604046,0.34248534248534246,0.746031746031746,4.407693407693408,0.10183245036040467,0.08293704654148876
C6,"0,3,15",42,400,0.03,518,143,143,0.4210580763147767,0.5054470316508366,0.34227084227084226,0.7458172458172458,4.403903903903904,0.10143703165083662,0.08438895533605989
B12,"0,2,20",456,400,0.03,491,143,143,0.42056238378676,0.5044048914986188,0.33701558701558704,0.737094237094237,4.50082225082225,0.1003948914986188,0.0838425077118588
D11,"0,2,15",456,400,0.03,514,140,140,0.4214466832259077,0.504370374635606,0.3406263406263406,0.7434219934219934,4.418346918346918,0.10036037463560599,0.08292369140969824
A13,"0,1,30",456,400,0.03,514,143,143,0.4216881431978045,0.5042699988875793,0.3404118404118404,0.7442799942799943,4.415236665236665,0.1002599988875793,0.08258185568977477
D4,"0,2,15",456,400,0.03,523,120,120,0.4222849173966679,0.5040498270839252,0.341019591019591,0.7437794937794938,4.4130559130559135,0.10003982708392523,0.0817649096872573
