feature,adv_gain,adv_split
country_book_rate,5384699.423983951,1645
site_book_rate,4009040.0268707164,2308
site_country_book_rate,841564.8253986109,443
cpair_book_rate,407427.41804613173,410
prop_country_id,191710.6973237805,708
site_id,79872.63761347532,393
dest_count,29808.021818220615,195
visitor_location_country_id,24496.63841867447,205
dest_mean_price,21544.640951916575,126
dest_mean_star,19376.28624864295,90
dest_click_rate,11170.30445420742,85
is_domestic,8400.654057331383,34
dest_mean_review,8367.948806881905,87
prop_count,6454.935790300369,56
dest_book_rate,5342.246695723094,66
distance_x_international,4958.055146187544,18
srch_destination_id,3369.7310531139374,65
orig_destination_distance,3314.338914871216,40
log_distance,3004.286169052124,15
prop_location_score1,2710.9746084213257,19
query_price_mean,1973.069235920906,30
log_prop_count,1182.1345302164555,13
location_total,813.7380886077881,10
has_distance,780.0519008636475,15
price_per_star,512.1161626577377,11
prop_avg_position,413.7799987792969,2
site_dest_book_rate,395.8453345298767,7
query_hotel_count,334.1301216483116,35
prop_std_price,325.1978818923235,7
query_star_mean,306.37026447057724,5
price_vs_dest_mean,274.2084232568741,6
prop_starrating,86.49240112304688,1
prop_mean_price,70.4120714738965,2
query_price_std,63.896915316581726,10
prop_click_rate,62.519901275634766,1
prop_log_historical_price,32.7263103723526,2
prop_location_score2,31.067660242319107,5
prop_site_book_rate,29.483099937438965,2
srch_booking_window,15.63287878781557,8
hour,15.569030046463013,5
comp_inv_count,12.821000099182129,1
price_vs_max,5.507415860891342,2
price_diff_from_hist,3.498110055923462,1
price_per_room,2.560580015182495,1
price_per_guest,2.5392119884490967,3
month,1.7251299619674683,1
comp_advantage_rank_norm,1.6869200468063354,1
loc2_vs_mean,1.5905729681253433,3
comp_rate_count,1.2522499561309814,1
is_short_window,0.8012609779834747,2
