feature_group,n,sum_adv_gain,sum_ranker_gain,adv_share,ranker_share,adv_minus_ranker
hotel_agg_TE_single,7,9410314.521905873,1574784,0.8497367232119316,0.08152483007118534,0.7682118931407462
hotel_agg_TE_cross,5,1249417.57187921,1351053,0.11282045791143509,0.06994252306485535,0.04287793484657974
missing_flag,5,780.0519008636475,16655,7.043746993069362e-05,0.0008622109729560319,-0.0007917735030253382
hotel_agg_TE_book_given_click,1,0.0,129315,0.0,0.0066944948644736876,-0.0066944948644736876
temporal,4,17.430307015776634,140473,1.573929535902937e-06,0.007272132212792115,-0.007270558283256213
hotel_agg_TE_count,1,0.0,162104,0.0,0.008391945215254555,-0.008391945215254555
visitor,4,0.4447770118713379,216890,4.0162670413167036e-08,0.011228155984655284,-0.011228115821984871
hotel_agg_dest_stat,3,49288.87600744143,361679,0.004450708623167252,0.018723722755194516,-0.014273014132027265
quality,6,9214.392145939171,381944,0.0008320452382599363,0.019772819444894545,-0.01894077420663461
hotel_agg_count,3,37445.09213873744,499773,0.0033812334136410368,0.02587269676296337,-0.022491463349322335
competitor,12,15.9498291015625,487560,1.440244689484311e-06,0.025240443228726685,-0.0252390029840372
hotel_agg_position,1,413.7799987792969,512985,3.7363688479792316e-05,0.026556667424908437,-0.026519303736428645
interaction,14,5473.511781811714,803582,0.0004942495763676782,0.04160055347162738,-0.0411063038952597
hotel_agg_price_stat,3,395.60995336622,889782,3.572296172044985e-05,0.04606303235897712,-0.046027309397256674
price,8,3010.8683741390705,1308717,0.0002718767178618391,0.06775083505818669,-0.06747895834032484
raw,22,305640.9371828623,2981664,0.027598899891880475,0.1543574553268072,-0.12675855543492673
listwise_within_query,44,2959.3751321434975,7497658,0.00026722695842829194,0.3881454817815417,-0.3878782548231134
