feature,adv_gain,adv_split,feature_group,ranker_gain,adv_share,ranker_share
country_book_rate,5384699.423983951,1645,hotel_agg_TE_single,85011,0.48622995898447463,0.0044009256692864145
site_book_rate,4009040.0268707164,2308,hotel_agg_TE_single,103370,0.3620100611651662,0.005351350842057342
site_country_book_rate,841564.8253986109,443,hotel_agg_TE_cross,77850,0.07599199106894526,0.004030208600698114
cpair_book_rate,407427.41804613173,410,hotel_agg_TE_cross,77377,0.03679006034828054,0.004005721912603956
prop_country_id,191710.6973237805,708,raw,39683,0.017311176939874565,0.0020543451239756357
site_id,79872.63761347532,393,raw,39022,0.007212374591941135,0.0020201258833197405
dest_count,29808.021818220615,195,hotel_agg_count,251612,0.0026916178759256466,0.013025675612573588
visitor_location_country_id,24496.63841867447,205,raw,41239,0.002212008239590291,0.002134897527092993
dest_mean_price,21544.640951916575,126,hotel_agg_dest_stat,128450,0.0019454474728387088,0.006649714768910376
dest_mean_star,19376.28624864295,90,hotel_agg_dest_stat,122178,0.0017496484253114704,0.006325020249403907
dest_click_rate,11170.30445420742,85,hotel_agg_TE_single,136184,0.0010086610688837506,0.007050095415253333
is_domestic,8400.654057331383,34,quality,13794,0.0007585659581193316,0.0007141001597691687
dest_mean_review,8367.948806881905,87,hotel_agg_dest_stat,111051,0.0007556127250170721,0.0057489877368802345
prop_count,6454.935790300369,56,hotel_agg_count,176501,0.0005828706335186742,0.00913726201967653
dest_book_rate,5342.246695723094,66,hotel_agg_TE_single,119564,0.0004823965438398678,0.006189696353678475
distance_x_international,4958.055146187544,18,interaction,48069,0.0004477046461750133,0.0024884790909050435
srch_destination_id,3369.7310531139374,65,raw,102148,0.00030428145802278744,0.005288089250406049
orig_destination_distance,3314.338914871216,40,raw,175459,0.0002992796343395829,0.009083318829414135
log_distance,3004.286169052124,15,price,79883,0.00027128235500934665,0.0041354547674960496
prop_location_score1,2710.9746084213257,19,raw,229192,0.0002447967785888771,0.011865016950689816
query_price_mean,1973.069235920906,30,listwise_within_query,97973,0.00017816507442964196,0.005071954107080235
log_prop_count,1182.1345302164555,13,hotel_agg_count,71660,0.00010674490419671593,0.0037097591307132544
location_total,813.7380886077881,10,quality,189036,7.347928014060472e-05,0.009786185138620021
has_distance,780.0519008636475,15,missing_flag,316,7.043746993069362e-05,1.6358971327175388e-05
price_per_star,512.1161626577377,11,interaction,102998,4.624329069423291e-05,0.005332092812520287
