feature,spearman_with_position,abs_corr
prop_avg_position,0.4105892334281294,0.4105892334281294
location2_rank,0.3743612660998499,0.3743612660998499
value_score_rank,0.3106981602639966,0.3106981602639966
query_hotel_count,0.3062900006692789,0.3062900006692789
location2_rank_norm,0.2586949424475071,0.2586949424475071
location_total_rank,0.24099684742202307,0.24099684742202307
starrating_rank,0.23983565106548607,0.23983565106548607
prop_dest_book_rate,-0.22663764192614952,0.22663764192614952
prop_location_score2,-0.2234575807179305,0.2234575807179305
prop_click_rate,-0.21953797693007865,0.21953797693007865
prop_rel_rate,-0.21719367959152644,0.21719367959152644
prop_book_rate,-0.20875234687415548,0.20875234687415548
location1_rank,0.197374818314086,0.197374818314086
star_percentile,-0.18192590146619853,0.18192590146619853
prop_site_book_rate,-0.1797435088077238,0.1797435088077238
star_vs_mean,-0.17830542343819977,0.17830542343819977
value_score_rank_norm,0.17375569312342454,0.17375569312342454
loc2_vs_mean,-0.16954129916335722,0.16954129916335722
star_vs_dest_mean,-0.1678002180556476,0.1678002180556476
review_rank,0.16464639853475094,0.16464639853475094
dest_click_rate,-0.1528578573262714,0.1528578573262714
is_best_star,-0.14807552202824284,0.14807552202824284
n_best_flags,-0.1460722139944666,0.1460722139944666
quality_rank_avg,0.14153936946305679,0.14153936946305679
has_location_score2,-0.134258165576397,0.134258165576397
starrating_rank_norm,0.13276428728931183,0.13276428728931183
star_diff,0.11905160357754285,0.11905160357754285
query_affinity_exp,-0.11412939921799667,0.11412939921799667
srch_query_affinity_score,-0.11412927058381635,0.11412927058381635
price_rank,0.11316264227729825,0.11316264227729825
