feature,gain,split
prop_location_score2,1670127.0559101105,4103
prop_dest_book_rate,744746.9049835205,3577
location2_rank_norm,591040.5807476044,2920
price_vs_prop_mean,553501.9557609558,2742
location2_rank,508111.467880249,1873
prop_avg_position,493269.22081565857,4006
prop_price_zscore,491556.43766212463,3170
prop_click_rate,461556.5868396759,2417
price_ratio_to_hist,452173.7557106018,3429
value_score_rank,332997.5062713623,1508
prop_rel_rate,301516.75566864014,2095
loc2_vs_mean,297945.78396224976,3155
prop_click_rate_pos_adj_s40_oof,291117.0329170227,2877
price_vs_median,289530.41566085815,2492
price_z_score,274670.2514343262,2503
price_diff_from_hist,272378.7873439789,2781
dest_count,267270.28138923645,2877
value_score_rank_norm,260496.62491989136,2352
prop_location_score1,257100.18784332275,2587
price_rank,230965.37469100952,1357
prop_site_book_rate,205471.40837669373,2612
loc1_vs_mean,199365.36081886292,2675
review_vs_mean,195800.96564865112,2395
orig_destination_distance,192904.51846122742,3051
log_price_z_score,184912.32902908325,1914
prop_count,175884.53484344482,2533
promo_x_cheap,174403.78248023987,1387
location_total,172113.39046096802,2306
review_percentile,167116.6519050598,2201
query_hotel_count,165522.23063850403,1566
prop_book_rate,160105.43398666382,2260
prop_mean_price,160019.30231285095,2227
prop_std_price,157842.2175540924,2421
query_star_mean,156275.57437896729,2233
price_per_night_per_star,155244.38469314575,2357
price_vs_dest_mean,154603.75858306885,2374
price_vs_mean,152950.8319416046,1722
price_per_night,148940.87351989746,2255
srch_booking_window,142240.75902748108,2246
price_vs_max,139994.795917511,2168
prop_log_historical_price,134703.19982528687,2078
price_per_guest,131648.0549507141,2220
prop_book_given_click,131377.98231506348,2191
prop_click_count,130644.90623664856,1380
quality_rank_avg,128439.13839912415,2036
dest_click_rate,126021.41460227966,2094
review_vs_dest_mean,125368.52798652649,1952
total_cost,123670.54015922546,2021
dest_mean_price,123526.46379852295,1888
location_total_rank_norm,122607.08078193665,2061
price_to_min_ratio,121445.17588996887,1984
dest_mean_review,120500.25773239136,2017
value_score,120089.66985321045,1701
review_rank_norm,119771.18392753601,1773
dest_mean_star,119505.24684906006,1859
query_price_std,116383.07128715515,1808
price_percentile,116374.57342147827,1470
star_percentile,115736.59729576111,1648
dest_book_rate,114115.83598709106,1878
site_dest_book_rate,111740.10906028748,1917
comp_advantage_rank_norm,109731.96570777893,1924
location1_rank_norm,109499.10127258301,1811
price_per_person,107428.28374481201,1860
srch_destination_id,106116.38555908203,1877
query_price_mean,105250.9528388977,1685
site_book_rate,103330.0047454834,1664
star_vs_mean,102307.7518119812,1533
star_vs_dest_mean,101546.63339614868,1637
value_gap,100671.08592224121,1668
price_rank_norm,99899.24959564209,1325
price_per_star,97928.81078720093,1618
review_rank,94442.10419464111,1160
price_vs_min,94375.03288269043,1484
site_country_book_rate,91690.72311019897,1530
starrating_rank_norm,87562.32667160034,1357
srch_query_affinity_score,84379.98369216919,1142
comp_rate_pct_mean,83934.33522796631,1470
cpair_book_rate,83215.3067817688,1490
comp_rate_pct_max,81979.97640228271,1372
price_per_room,79982.48425102234,1326
country_book_rate,78983.29633903503,1274
hour,74596.5875377655,1338
price_usd,73088.61724090576,1173
log_distance,72033.71130943298,1262
comp_rate_pct_min,67205.26356506348,1170
log_prop_count,66821.29200172424,1051
query_affinity_exp,64675.259143829346,899
price_ratio_to_visitor_hist,64552.37766265869,834
comp_advantage_rank,62002.3036441803,972
location1_rank,57168.80912780762,950
location_total_rank,55883.507818222046,927
price_diff_from_visitor_hist,55478.87502861023,676
starrating_rank,54595.262966156006,704
star_review_product,51581.59708404541,548
visitor_location_country_id,43904.56892776489,746
distance_x_international,43576.39695549011,675
prop_country_id,42120.00159454346,615
abs_star_diff,41739.705686569214,562
visitor_hist_adr_usd,41188.36820220947,574
star_diff,39978.084857940674,589
prop_review_score,39572.40587043762,384
site_id,38914.22171020508,624
visitor_hist_starrating,35455.21000671387,493
month,34280.47568511963,622
star_x_brand,34000.44659233093,344
dayofweek,31585.36393547058,595
log_price,31356.376472473145,496
is_discounted,28736.677577972412,55
promotion_flag,27556.8603515625,143
comp_rate_count,23792.85647201538,423
srch_length_of_stay,23507.59640312195,368
comp_inv_count,21523.19977760315,358
prop_brand_bool,19706.162071228027,184
total_guests,19417.838584899902,328
comp_rate_sum,17496.332178115845,295
srch_children_count,17225.66291999817,284
srch_adults_count,17057.419471740723,280
prop_starrating,15414.765098571777,70
has_location_score2,14520.119846343994,8
is_overpriced,12356.708740234375,47
n_best_flags,12187.23399734497,161
is_domestic,9775.978507995605,147
comp_more_expensive_count,9047.430925369263,152
comp_rate_advantage,8382.41497039795,151
is_last_minute,7210.412300109863,80
comp_no_inv_count,7106.290180206299,134
comp_cheaper_count,6556.281200408936,121
srch_room_count,6237.886501312256,108
is_family,5276.604389190674,74
srch_saturday_night_bool,2766.924575805664,47
review_is_zero,2241.7171020507812,29
is_short_window,1993.1907005310059,39
is_weekend_search,1584.7685871124268,29
is_long_window,1328.4388008117676,26
starrating_is_zero,1241.917106628418,7
is_best_star,623.8136901855469,9
is_cheapest,569.8234977722168,5
is_best_location1,543.8901901245117,6
has_query_affinity,345.1814079284668,7
is_best_review,245.97069931030273,4
has_distance,153.7104949951172,4
has_historical_price,80.00679779052734,1
has_visitor_history,0.0,0
is_most_expensive,0.0,0
