feature,gain,split
prop_location_score2,1662294.7260055542,3800
prop_dest_book_rate,615029.9882068634,2932
location2_rank_norm,572665.0702819824,2590
price_vs_prop_mean,539251.2422485352,2571
prop_click_rate,522193.485244751,2471
location2_rank,505614.89573669434,1787
prop_price_zscore,494600.7795314789,2890
prop_avg_position,479864.34668922424,3736
price_ratio_to_hist,443058.95432281494,3160
value_score_rank,337497.328250885,1430
prop_dest_book_rate_safe,301457.3296146393,2066
loc2_vs_mean,292659.05330085754,2793
price_vs_median,282159.6401748657,2255
prop_rel_rate,279008.3525047302,2079
price_z_score,278812.22246551514,2393
value_score_rank_norm,257251.30816841125,2093
prop_location_score1,252864.23197555542,2455
dest_count,249000.30296897888,2547
price_diff_from_hist,247965.1110420227,2421
price_rank,211881.63479614258,1242
loc1_vs_mean,190912.75408554077,2454
review_vs_mean,190699.83405303955,2244
prop_site_book_rate,189237.51565170288,2380
log_price_z_score,177606.5116672516,1752
orig_destination_distance,169752.7616329193,2628
promo_x_cheap,168038.31661224365,1238
prop_count,167522.21387290955,2352
location_total,164695.2139225006,2105
review_percentile,159728.251121521,2015
prop_std_price,150925.12062454224,2220
price_vs_dest_mean,149689.39950942993,2209
query_hotel_count,148978.39549064636,1354
query_star_mean,147575.72141075134,2004
price_per_night_per_star,146229.40209579468,2117
price_vs_mean,141664.34629058838,1582
prop_mean_price,141236.54540634155,1887
prop_book_rate,141231.1379146576,1928
price_per_night,132179.8439693451,1918
srch_booking_window,131687.06483078003,2012
price_vs_max,131477.85563468933,1924
prop_book_given_click,128500.87537574768,1976
price_per_guest,127646.32563209534,2013
total_cost,125940.19177818298,1966
prop_log_historical_price,125653.16828155518,1885
prop_click_count,123073.01930236816,1270
quality_rank_avg,122685.54621887207,1917
value_score,120387.6668548584,1601
review_vs_dest_mean,117879.97274017334,1773
query_price_std,115495.51438522339,1755
dest_click_rate,115163.37621688843,1834
dest_mean_star,114011.60704803467,1665
price_percentile,113259.99763870239,1333
dest_mean_review,112584.28365707397,1768
price_to_min_ratio,112211.53763389587,1768
location_total_rank_norm,111581.58599090576,1836
dest_mean_price,110897.0198020935,1705
review_rank_norm,109595.95992088318,1548
star_percentile,107916.14702033997,1505
dest_book_rate,105581.1573677063,1624
location1_rank_norm,104059.67121505737,1667
query_price_mean,103846.63400650024,1545
site_dest_book_rate,103509.50951004028,1696
srch_destination_id,98233.73784255981,1700
comp_advantage_rank_norm,98015.47480010986,1640
site_book_rate,97720.90899085999,1502
star_vs_mean,97712.19875144958,1432
price_per_person,95242.10085868835,1579
price_rank_norm,92355.88515472412,1228
value_gap,91973.33627510071,1481
price_per_star,90832.1570930481,1463
review_rank,89255.51358413696,1034
star_vs_dest_mean,85498.50914382935,1365
price_vs_min,84733.63540267944,1296
srch_query_affinity_score,83633.81446838379,1065
site_country_book_rate,78542.48388671875,1289
comp_rate_pct_mean,77843.12747383118,1312
cpair_book_rate,75063.8800163269,1288
starrating_rank_norm,75056.13975524902,1173
country_book_rate,74975.868724823,1152
price_usd,73082.00189971924,1134
price_per_room,72614.27099227905,1156
comp_rate_pct_max,69980.76192474365,1138
log_distance,65002.47611618042,1137
hour,63408.17890739441,1121
log_prop_count,63040.633741378784,935
query_affinity_exp,62306.7418384552,811
price_ratio_to_visitor_hist,62037.00313568115,778
comp_advantage_rank,60954.95211029053,937
comp_rate_pct_min,58262.08220291138,986
location_total_rank,55379.42758178711,886
location1_rank,54909.51329040527,855
starrating_rank,54195.009243011475,700
price_diff_from_visitor_hist,52290.85788726807,642
star_review_product,46940.22032165527,476
distance_x_international,45391.743867874146,684
prop_review_score,42979.51047515869,397
star_diff,41750.906604766846,567
prop_country_id,40191.31671524048,596
visitor_hist_adr_usd,39738.02420043945,534
visitor_location_country_id,39374.61107635498,668
abs_star_diff,39258.26821899414,518
visitor_hist_starrating,35599.34316635132,476
site_id,35587.7979259491,568
star_x_brand,33207.30446243286,337
month,32652.536380767822,572
promotion_flag,28001.446689605713,141
dayofweek,27888.825313568115,499
log_price,27546.42477798462,431
comp_rate_count,24329.990562438965,401
srch_length_of_stay,23001.436164855957,336
total_guests,22423.58828353882,354
prop_brand_bool,21964.488384246826,193
is_discounted,20521.65510559082,56
comp_inv_count,19219.016471862793,302
srch_children_count,16672.65061569214,265
srch_adults_count,16671.225847244263,271
comp_rate_sum,15401.227054595947,260
has_location_score2,14319.285732269287,6
prop_starrating,14016.748840332031,77
is_overpriced,10684.372703552246,46
is_domestic,10480.150531768799,151
n_best_flags,9868.220657348633,122
comp_more_expensive_count,8643.966190338135,142
is_last_minute,7623.121227264404,89
comp_rate_advantage,6930.67440032959,124
srch_room_count,6593.338703155518,115
comp_no_inv_count,6343.198818206787,119
comp_cheaper_count,5298.303016662598,97
is_family,4003.7614135742188,57
srch_saturday_night_bool,3239.914207458496,60
review_is_zero,2173.272617340088,28
is_long_window,2163.6761016845703,33
is_short_window,1594.1366004943848,29
is_weekend_search,1095.0282096862793,19
starrating_is_zero,1085.7215881347656,5
is_best_review,801.6148986816406,10
has_query_affinity,516.6572952270508,9
is_best_location1,496.3851013183594,7
is_cheapest,433.914493560791,5
has_distance,315.3991050720215,5
is_best_star,223.16869735717773,4
is_most_expensive,69.3948974609375,1
has_historical_price,0.0,0
has_visitor_history,0.0,0
