feature,gain,split
prop_location_score2,1519338.3142433167,3878
location2_rank_norm,791316.6157836914,3323
prop_dest_book_rate,754293.8535060883,3957
prop_click_rate,633513.7659416199,3025
price_vs_prop_mean,552053.4531574249,2863
prop_avg_position,497444.54322052,4198
prop_price_zscore,494560.0823097229,3087
price_ratio_to_hist,453660.77826309204,3791
location2_rank,443031.3200378418,1778
value_score_rank,385764.84976387024,1766
loc2_vs_mean,313776.1315956116,3363
price_diff_from_hist,294930.8040122986,2929
price_z_score,294899.3275909424,2632
prop_rel_rate,282862.12066841125,2428
price_vs_median,265940.1685810089,2395
dest_count,260703.37936592102,2820
price_rank,249392.89568901062,1417
prop_site_book_rate,245786.68148612976,3254
prop_location_score1,230366.78932762146,2537
loc1_vs_mean,221071.9388103485,3125
value_score_rank_norm,211488.04273223877,2287
location_total,207338.13084983826,2548
review_vs_mean,200289.93782806396,2567
price_vs_mean,187900.67350387573,2125
promo_x_cheap,183025.26892852783,1355
review_percentile,180864.35765647888,2459
orig_destination_distance,180789.3618850708,3028
log_price_z_score,177999.17212295532,1971
prop_count,175991.7148361206,2616
prop_std_price,171491.34575271606,2677
price_per_night_per_star,164172.3141231537,2491
query_hotel_count,156903.58521270752,1459
prop_book_rate,155601.6352043152,2343
query_star_mean,154709.7762775421,2214
prop_click_count,153656.4718875885,1579
price_vs_max,148059.54099273682,2391
price_vs_dest_mean,148005.78926086426,2139
price_per_guest,146268.71052360535,2474
price_per_night,146124.4681148529,2281
total_cost,141913.28424072266,2332
srch_booking_window,140091.31765937805,2248
dest_click_rate,139569.62028694153,2318
prop_book_given_click,138550.62975120544,2332
quality_rank_avg,138401.5474834442,2270
review_vs_dest_mean,137644.22916984558,2089
prop_log_historical_price,136296.00137138367,2110
prop_mean_price,135705.25401687622,2039
dest_mean_price,135506.09499549866,2167
dest_mean_star,130287.33150863647,2015
price_percentile,128952.87090301514,1637
price_to_min_ratio,128635.11291885376,2042
dest_book_rate,127126.09837150574,2125
srch_destination_id,126740.69490432739,2273
review_rank_norm,126174.77945709229,1879
dest_mean_review,124281.96676254272,2052
query_price_std,123291.90384101868,1974
value_score,122273.56837272644,1843
site_dest_book_rate,119245.26584243774,2108
location_total_rank_norm,118895.00505256653,1985
price_per_person,117705.50547409058,2072
location1_rank_norm,116079.19341850281,1950
star_vs_mean,114970.73587036133,1674
site_book_rate,112014.67191886902,1757
star_percentile,111081.89274406433,1633
value_gap,109917.9975681305,1827
comp_advantage_rank_norm,109246.01039123535,1948
price_per_star,108977.6545715332,1795
star_vs_dest_mean,108483.73329734802,1734
query_price_mean,107621.24838256836,1727
comp_rate_pct_mean,99127.77568244934,1739
review_rank,97510.93804740906,1227
starrating_rank_norm,95491.40263366699,1496
price_vs_min,95342.782371521,1591
site_country_book_rate,91892.34922599792,1568
price_per_room,88627.63644218445,1473
country_book_rate,87870.63774108887,1387
cpair_book_rate,84807.35629844666,1441
comp_rate_pct_max,83558.38588523865,1418
srch_query_affinity_score,83189.76037406921,1138
hour,82140.43283843994,1479
log_distance,81580.58047103882,1375
price_rank_norm,80839.31968307495,1256
price_usd,79538.12361526489,1284
log_prop_count,76020.80383872986,1186
price_ratio_to_visitor_hist,71003.51390457153,883
comp_rate_pct_min,68642.74722480774,1219
query_affinity_exp,68232.51999664307,926
location_total_rank,64377.68507003784,1088
comp_advantage_rank,62241.09251976013,995
location1_rank,60928.282121658325,1032
starrating_rank,55027.84139442444,849
star_review_product,52296.762283325195,564
distance_x_international,51727.44213104248,842
price_diff_from_visitor_hist,50521.413484573364,689
abs_star_diff,50310.72523498535,649
visitor_location_country_id,44624.52466201782,761
visitor_hist_adr_usd,42554.538356781006,602
prop_review_score,42320.683809280396,415
site_id,42231.77499961853,682
prop_country_id,40669.097864151,646
visitor_hist_starrating,36847.1367931366,521
month,36239.831632614136,662
star_diff,36200.65025520325,539
star_x_brand,35602.90787124634,385
dayofweek,30075.275791168213,569
is_discounted,29523.715438842773,58
log_price,28552.419122695923,501
srch_length_of_stay,26218.822273254395,403
comp_rate_count,24974.284698486328,438
comp_inv_count,23189.9695892334,416
total_guests,21429.708015441895,357
prop_starrating,20020.375900268555,108
prop_brand_bool,19805.64894104004,182
srch_children_count,18638.022590637207,311
promotion_flag,18636.331787109375,140
comp_rate_sum,17723.84224319458,314
srch_adults_count,17667.453199386597,304
has_location_score2,12937.581661224365,11
n_best_flags,12126.920318603516,169
is_overpriced,10407.369400024414,42
comp_more_expensive_count,10270.84679222107,179
is_domestic,9665.841373443604,135
comp_cheaper_count,8080.968311309814,142
is_last_minute,7417.073501586914,96
comp_no_inv_count,7299.64630317688,140
comp_rate_advantage,6352.424900054932,111
srch_room_count,5694.941993713379,97
is_family,4649.043701171875,84
srch_saturday_night_bool,3991.4609870910645,71
is_long_window,3269.046699523926,51
is_short_window,2025.2463874816895,36
review_is_zero,1985.0089073181152,26
is_weekend_search,1541.3386993408203,27
starrating_is_zero,622.789005279541,5
is_best_location1,618.847599029541,13
is_best_star,432.9231986999512,7
has_query_affinity,297.1331977844238,4
has_distance,285.6822967529297,6
is_best_review,201.09209823608398,3
is_cheapest,105.231201171875,2
is_most_expensive,52.295501708984375,1
has_historical_price,0.0,0
has_visitor_history,0.0,0
