feature,gain,split
prop_location_score2,1558321.4460906982,4952
location2_rank_norm,819323.3256397247,4307
prop_dest_book_rate,792539.3778457642,4795
prop_click_rate,646458.4658641815,3639
price_vs_prop_mean,582426.5796108246,3649
prop_avg_position,539338.5357894897,5346
prop_price_zscore,527099.2972946167,3942
price_ratio_to_hist,480777.4319076538,4325
location2_rank,471227.18641090393,2478
value_score_rank,398355.88631248474,2106
loc2_vs_mean,359871.8890018463,4376
price_z_score,320227.79651641846,3147
prop_rel_rate,317337.1011772156,3147
price_diff_from_hist,313022.770362854,3645
dest_count,308368.2649002075,3600
price_vs_median,298516.71985816956,2993
prop_site_book_rate,279650.4035511017,4125
loc1_vs_mean,254937.207157135,4010
price_rank,253113.22620010376,1616
value_score_rank_norm,245974.75196266174,3093
prop_location_score1,244481.34420204163,3042
location_total,228953.07286834717,3153
review_vs_mean,228059.184343338,3325
orig_destination_distance,223985.36232948303,4119
price_vs_mean,219886.4001083374,2759
prop_count,209548.01739692688,3534
prop_std_price,206832.40548324585,3519
review_percentile,205020.80000686646,3167
promo_x_cheap,197976.6613960266,1680
price_per_night_per_star,189533.83768081665,3190
query_hotel_count,189362.73280143738,1889
price_vs_max,185373.97714614868,3231
query_star_mean,183990.89624404907,2907
price_vs_dest_mean,183158.68147850037,2921
prop_book_rate,177636.2272529602,2975
log_price_z_score,176569.13925552368,2349
price_per_night,174765.06611061096,2968
price_per_guest,173518.77645492554,3161
total_cost,173175.3950061798,3085
prop_book_given_click,169821.3226966858,3108
dest_mean_price,168342.3970489502,2954
dest_click_rate,168185.07111930847,3103
prop_click_count,165476.42971611023,1966
price_to_min_ratio,164831.61902618408,2923
dest_mean_star,164506.92987632751,2777
srch_booking_window,163148.09405899048,2865
prop_log_historical_price,162244.4860687256,2720
quality_rank_avg,161761.89434242249,2934
prop_mean_price,160869.8740386963,2736
review_vs_dest_mean,159797.95025634766,2669
dest_book_rate,155483.1864719391,2859
srch_destination_id,153515.10661125183,2947
value_score,152042.90371704102,2501
review_rank_norm,150232.670419693,2488
location_total_rank_norm,149113.09288406372,2745
query_price_std,145637.1254119873,2603
dest_mean_review,145307.2242088318,2596
price_per_person,144713.14601707458,2805
site_dest_book_rate,143814.09470939636,2789
price_percentile,142918.04031562805,2101
comp_advantage_rank_norm,139901.72032165527,2784
location1_rank_norm,137122.2499923706,2526
star_vs_mean,135988.81721878052,2229
star_percentile,132625.85974884033,2154
value_gap,131983.4014968872,2429
site_book_rate,127636.7195968628,2197
price_per_star,127256.24707221985,2349
query_price_mean,127147.30241584778,2256
star_vs_dest_mean,123543.26026725769,2204
price_vs_min,115524.53748512268,2120
comp_rate_pct_mean,114849.85809326172,2170
review_rank,112790.51015663147,1537
starrating_rank_norm,111599.14937973022,1929
site_country_book_rate,110972.63663482666,2010
price_per_room,106187.60624885559,1972
hour,105124.52029037476,2043
log_distance,104384.83278465271,1931
price_rank_norm,104196.55456733704,1786
country_book_rate,102381.68681907654,1814
cpair_book_rate,100630.70687103271,1887
srch_query_affinity_score,98649.63248634338,1539
comp_rate_pct_max,97412.55857849121,1802
price_usd,89779.27286148071,1627
comp_rate_pct_min,89778.14913749695,1765
log_prop_count,85345.74451446533,1410
comp_advantage_rank,76517.60357284546,1351
location_total_rank,74766.58059501648,1411
query_affinity_exp,74340.86490821838,1128
price_ratio_to_visitor_hist,72208.05075263977,957
location1_rank,69166.65583610535,1275
starrating_rank,62292.6531085968,1021
price_diff_from_visitor_hist,56066.59485435486,829
star_review_product,55503.1242313385,691
distance_x_international,53680.397035598755,923
abs_star_diff,51359.16673088074,731
visitor_location_country_id,49894.71297645569,927
visitor_hist_adr_usd,48226.78427314758,733
site_id,47443.99200439453,836
prop_country_id,46787.57781600952,819
month,45242.67634391785,894
star_diff,44744.51189613342,690
prop_review_score,41783.20154571533,401
dayofweek,41230.9674987793,858
visitor_hist_starrating,37907.82867050171,560
star_x_brand,35525.02218437195,430
log_price,32205.851512908936,603
srch_length_of_stay,31487.819744110107,553
comp_rate_count,30916.371969223022,602
comp_inv_count,29981.263578414917,568
is_discounted,29937.338428497314,49
total_guests,25593.836112976074,463
srch_children_count,23177.55437850952,412
srch_adults_count,21052.295331954956,377
prop_brand_bool,20323.33055305481,206
comp_rate_sum,20278.33896636963,389
promotion_flag,19757.05093574524,130
prop_starrating,14856.298191070557,90
n_best_flags,13922.380002975464,207
is_domestic,13401.99956703186,194
has_location_score2,11953.15881729126,16
comp_more_expensive_count,11607.497787475586,228
comp_no_inv_count,11060.263397216797,230
is_last_minute,9452.390216827393,128
comp_rate_advantage,8706.747385025024,173
comp_cheaper_count,7964.3148021698,157
srch_room_count,7769.046195983887,145
is_overpriced,5979.650035858154,33
is_family,4874.058309555054,78
srch_saturday_night_bool,4636.457294464111,86
is_long_window,3130.455087661743,57
is_short_window,2524.251895904541,49
review_is_zero,2494.3602905273438,30
is_weekend_search,1438.112205505371,28
starrating_is_zero,1170.8135108947754,10
is_best_location1,1104.5537948608398,23
is_cheapest,711.567008972168,8
is_best_star,562.4366092681885,7
has_distance,545.3887062072754,10
is_best_review,468.8654975891113,6
has_query_affinity,414.42530250549316,8
is_most_expensive,117.68779754638672,2
has_historical_price,0.0,0
has_visitor_history,0.0,0
