feature,gain,split
prop_location_score2,1493649.5675811768,3272
location2_rank_norm,755425.6246032715,2404
prop_dest_book_rate,701061.6167984009,2971
prop_click_rate,599884.2925834656,2370
price_vs_prop_mean,535510.6745910645,2340
prop_price_zscore,470483.25636291504,2532
prop_avg_position,467685.5702819824,3493
location2_rank,429844.2991333008,1605
price_ratio_to_hist,415400.86267089844,2950
value_score_rank,360323.5803451538,1391
loc2_vs_mean,291115.0490760803,2650
price_z_score,280436.7977371216,2201
price_diff_from_hist,278969.59914016724,2393
prop_rel_rate,266776.3639907837,1872
price_vs_median,252943.399394989,2039
price_rank,233220.27756500244,1192
dest_count,223625.8998336792,2313
prop_site_book_rate,215842.9980392456,2547
prop_location_score1,208815.5641899109,2050
value_score_rank_norm,198186.31818008423,1790
loc1_vs_mean,195505.63249588013,2468
location_total,182698.3868522644,2074
review_vs_mean,178930.50477600098,2097
price_vs_mean,176033.71085739136,1715
promo_x_cheap,174238.74056625366,1191
orig_destination_distance,156718.55178451538,2386
review_percentile,155211.20013427734,1846
prop_count,154314.76903152466,2060
log_price_z_score,150129.60628509521,1618
prop_std_price,143132.63063430786,2027
price_vs_dest_mean,141450.92532348633,1834
query_star_mean,137127.48053359985,1749
prop_click_count,136121.07231521606,1292
price_per_night_per_star,134887.95392608643,1815
prop_book_rate,134285.12423324585,1804
price_per_night,130537.42837142944,1833
query_hotel_count,130369.98258972168,1130
prop_log_historical_price,124694.21685791016,1796
total_cost,121761.65745925903,1841
dest_click_rate,120158.86482620239,1829
price_vs_max,119274.48363494873,1704
price_percentile,119020.62099456787,1375
srch_booking_window,118995.94140625,1737
review_vs_dest_mean,117724.42151641846,1618
dest_mean_star,116779.37000656128,1606
quality_rank_avg,116503.16521453857,1729
price_per_guest,115804.26441574097,1807
prop_book_given_click,115065.38249206543,1783
prop_mean_price,113594.83319091797,1526
dest_mean_price,110085.99429702759,1616
price_to_min_ratio,109726.47546386719,1581
review_rank_norm,104757.09412384033,1427
dest_book_rate,104572.48299407959,1613
star_vs_mean,103935.69411849976,1318
value_score,103785.73654174805,1396
location_total_rank_norm,102978.87236404419,1585
query_price_std,102522.33961105347,1499
dest_mean_review,101778.8327293396,1524
star_percentile,100599.66960144043,1338
site_dest_book_rate,100519.14617919922,1627
price_per_person,99108.5288734436,1621
srch_destination_id,96492.93103790283,1560
location1_rank_norm,96474.16368103027,1509
site_book_rate,93544.67707443237,1374
review_rank,91457.6296081543,960
star_vs_dest_mean,91376.35886383057,1379
price_per_star,90125.36380386353,1380
value_gap,89905.59171676636,1381
comp_advantage_rank_norm,89197.61126327515,1468
query_price_mean,87085.447265625,1262
starrating_rank_norm,86101.5698890686,1229
comp_rate_pct_mean,79912.11875915527,1291
country_book_rate,79691.17950057983,1151
price_rank_norm,79307.69976425171,1094
site_country_book_rate,78100.90742111206,1210
price_vs_min,73993.51278686523,1127
srch_query_affinity_score,73146.12004089355,926
log_distance,71050.92518234253,1106
price_per_room,70493.0605506897,1077
cpair_book_rate,70391.02794265747,1119
comp_rate_pct_max,67047.45236206055,1066
log_prop_count,65161.351528167725,916
price_ratio_to_visitor_hist,64310.11181259155,718
hour,63338.31901550293,1035
price_usd,63287.706718444824,945
comp_advantage_rank,61420.86381149292,913
comp_rate_pct_min,57919.569049835205,910
query_affinity_exp,56764.67866516113,722
location_total_rank,50868.19524765015,783
starrating_rank,50225.213985443115,685
location1_rank,49262.84941101074,781
star_review_product,47331.41138458252,468
price_diff_from_visitor_hist,47322.58782577515,596
prop_review_score,43531.31003189087,346
distance_x_international,42732.65661239624,633
abs_star_diff,42349.0319519043,524
visitor_hist_adr_usd,41162.45478439331,518
prop_country_id,37005.903900146484,535
visitor_location_country_id,36774.89073181152,594
site_id,36589.629344940186,536
star_diff,35615.847717285156,478
visitor_hist_starrating,31600.710105895996,408
month,31051.87895965576,515
star_x_brand,30123.82307434082,314
srch_length_of_stay,25332.36790084839,349
dayofweek,23903.020599365234,413
log_price,23370.34188079834,366
comp_rate_count,20375.57471847534,332
is_discounted,20152.471363067627,41
promotion_flag,18752.903705596924,107
prop_brand_bool,18468.339679718018,168
comp_inv_count,18362.03426361084,301
prop_starrating,17062.12155532837,80
comp_rate_sum,15998.735305786133,259
srch_adults_count,15901.534042358398,245
total_guests,15264.475929260254,252
srch_children_count,14948.809604644775,229
n_best_flags,11594.229553222656,134
is_domestic,9404.631038665771,117
comp_more_expensive_count,7779.119285583496,127
is_overpriced,6987.4456214904785,45
is_last_minute,6729.385215759277,86
has_location_score2,5688.74137878418,9
comp_rate_advantage,5639.7232093811035,84
comp_no_inv_count,5357.324588775635,98
comp_cheaper_count,4772.847805023193,80
srch_room_count,4430.05192565918,73
srch_saturday_night_bool,4212.292407989502,67
is_family,2822.0369873046875,42
is_long_window,2144.173900604248,31
is_short_window,1771.0263900756836,30
review_is_zero,1525.952995300293,18
is_cheapest,1330.5883827209473,6
is_weekend_search,1039.3856086730957,19
has_query_affinity,629.3423004150391,11
is_best_location1,540.8441963195801,10
starrating_is_zero,520.8680114746094,4
is_best_review,346.4398002624512,4
has_distance,243.56129837036133,5
is_best_star,168.06049728393555,3
is_most_expensive,105.4363021850586,2
has_visitor_history,48.375999450683594,1
has_historical_price,0.0,0
